round,arm,condition,viable,trials,development_proposals,program_bytes,freeze_state,verdict,detail
round_x_x1,grown_experiment_program,matched,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,grown_experiment_program,port_permutation,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,grown_experiment_program,raw_recode,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,grown_experiment_program,temporal_delay,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,grown_experiment_program,noise,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,grown_experiment_program,missing_new_organs,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,grown_experiment_program,actuator_remap,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,fixed_procedure,matched,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,fixed_procedure,port_permutation,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,fixed_procedure,raw_recode,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,fixed_procedure,temporal_delay,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,fixed_procedure,noise,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,fixed_procedure,missing_new_organs,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,fixed_procedure,actuator_remap,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,random_procedure,matched,192,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,random_procedure,port_permutation,192,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,random_procedure,raw_recode,192,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,random_procedure,temporal_delay,192,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,random_procedure,noise,160,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,random_procedure,missing_new_organs,168,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,random_procedure,actuator_remap,192,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,transcript_replay,matched,48,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,transcript_replay,port_permutation,48,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,transcript_replay,raw_recode,48,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,transcript_replay,temporal_delay,64,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,transcript_replay,noise,47,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,transcript_replay,missing_new_organs,57,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,transcript_replay,actuator_remap,48,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,equal_size_static,matched,0,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,equal_size_static,port_permutation,0,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,equal_size_static,raw_recode,0,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,equal_size_static,temporal_delay,0,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,equal_size_static,noise,0,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,equal_size_static,missing_new_organs,0,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,equal_size_static,actuator_remap,0,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,w1_human_protocol,matched,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,w1_human_protocol,port_permutation,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,w1_human_protocol,raw_recode,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,w1_human_protocol,temporal_delay,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,w1_human_protocol,noise,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,w1_human_protocol,missing_new_organs,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,w1_human_protocol,actuator_remap,96,192,1536,24,frozen_before_private_bodies,MEASURED,downstream_resource_viability_only
round_x_x1,attack_suite,all,10,10,1536,24,frozen,MEASURED,reachability_mutator_distribution_freeze_bloat_leak_replay_recode
