iter,T,value,min_pair,best_value,best_min_pair,accepted
0,8.0000,837,17,837,17,1
1,7.9797,837,17,837,17,0
2,7.9595,888,20,888,20,1
3,7.9393,888,20,888,20,1
4,7.9192,881,20,888,20,1
5,7.8991,886,20,888,20,1
6,7.8791,886,20,888,20,1
7,7.8591,886,20,888,20,1
8,7.8392,886,20,888,20,0
9,7.8194,913,20,913,20,1
10,7.7995,913,20,913,20,1
11,7.7798,913,20,913,20,0
12,7.7601,913,20,913,20,0
13,7.7404,913,20,913,20,0
14,7.7208,913,20,913,20,0
15,7.7012,916,20,916,20,1
16,7.6817,916,20,916,20,0
17,7.6622,924,26,924,26,1
18,7.6428,924,26,924,26,0
19,7.6234,924,26,924,26,1
20,7.6041,924,26,924,26,0
21,7.5848,924,26,924,26,0
22,7.5656,924,26,924,26,0
23,7.5464,924,26,924,26,0
24,7.5273,897,23,924,26,1
25,7.5082,899,22,924,26,1
26,7.4892,927,24,927,24,1
27,7.4702,927,24,927,24,0
28,7.4513,947,26,947,26,1
29,7.4324,947,26,947,26,0
30,7.4136,947,26,947,26,0
31,7.3948,947,26,947,26,0
32,7.3761,947,26,947,26,1
33,7.3574,947,26,947,26,0
34,7.3387,947,26,947,26,0
35,7.3201,947,26,947,26,0
36,7.3016,947,26,947,26,0
37,7.2831,947,26,947,26,1
38,7.2646,947,26,947,26,0
39,7.2462,947,26,947,26,0
40,7.2278,947,26,947,26,1
41,7.2095,947,26,947,26,0
42,7.1912,940,26,947,26,1
43,7.1730,956,26,956,26,1
44,7.1548,956,26,956,26,0
45,7.1367,956,26,956,26,0
46,7.1186,956,26,956,26,0
47,7.1006,956,26,956,26,0
48,7.0826,956,26,956,26,0
49,7.0646,959,27,959,27,1
50,7.0467,959,27,959,27,0
51,7.0289,959,27,959,27,0
52,7.0110,959,27,959,27,0
53,6.9933,959,27,959,27,1
54,6.9756,959,27,959,27,0
55,6.9579,959,27,959,27,0
56,6.9402,959,27,959,27,0
57,6.9227,959,27,959,27,0
58,6.9051,959,27,959,27,0
59,6.8876,959,27,959,27,1
60,6.8702,959,27,959,27,0
61,6.8527,959,27,959,27,1
62,6.8354,959,27,959,27,0
63,6.8181,940,26,959,27,1
64,6.8008,940,26,959,27,0
65,6.7835,940,26,959,27,0
66,6.7663,940,26,959,27,0
67,6.7492,932,26,959,27,1
68,6.7321,927,26,959,27,1
69,6.7150,927,26,959,27,0
70,6.6980,927,26,959,27,0
71,6.6810,927,26,959,27,0
72,6.6641,927,26,959,27,0
73,6.6472,927,26,959,27,0
74,6.6304,917,25,959,27,1
75,6.6136,907,25,959,27,1
76,6.5968,907,25,959,27,0
77,6.5801,907,25,959,27,0
78,6.5634,907,25,959,27,1
79,6.5468,907,25,959,27,0
80,6.5302,907,25,959,27,1
81,6.5136,907,25,959,27,0
82,6.4971,907,25,959,27,0
83,6.4807,900,25,959,27,1
84,6.4642,900,25,959,27,0
85,6.4478,900,25,959,27,0
86,6.4315,909,25,959,27,1
87,6.4152,911,24,959,27,1
88,6.3989,911,24,959,27,0
89,6.3827,928,25,959,27,1
90,6.3666,928,25,959,27,0
91,6.3504,928,25,959,27,0
92,6.3343,928,25,959,27,0
93,6.3183,928,25,959,27,0
94,6.3023,928,25,959,27,0
95,6.2863,928,25,959,27,0
96,6.2704,918,25,959,27,1
97,6.2545,918,25,959,27,0
98,6.2386,918,25,959,27,1
99,6.2228,934,25,959,27,1
100,6.2070,934,25,959,27,0
101,6.1913,934,25,959,27,1
102,6.1756,934,25,959,27,0
103,6.1600,928,23,959,27,1
104,6.1443,928,23,959,27,1
105,6.1288,928,23,959,27,0
106,6.1132,933,25,959,27,1
107,6.0977,933,25,959,27,0
108,6.0823,944,25,959,27,1
109,6.0669,944,25,959,27,1
110,6.0515,931,27,959,27,1
111,6.0362,931,27,959,27,0
112,6.0209,931,27,959,27,0
113,6.0056,931,27,959,27,0
114,5.9904,931,27,959,27,0
115,5.9752,939,28,959,27,1
116,5.9601,933,26,959,27,1
117,5.9450,933,26,959,27,0
118,5.9299,939,26,959,27,1
119,5.9149,940,26,959,27,1
120,5.8999,940,26,959,27,1
121,5.8849,940,26,959,27,0
122,5.8700,940,26,959,27,0
123,5.8551,940,26,959,27,0
124,5.8403,940,26,959,27,0
125,5.8255,940,26,959,27,1
126,5.8107,940,26,959,27,0
127,5.7960,940,26,959,27,0
128,5.7813,940,26,959,27,1
129,5.7667,940,26,959,27,0
130,5.7520,940,27,959,27,1
131,5.7375,940,27,959,27,1
132,5.7229,941,27,959,27,1
133,5.7084,935,24,959,27,1
134,5.6940,935,24,959,27,1
135,5.6795,935,24,959,27,0
136,5.6651,935,24,959,27,1
137,5.6508,935,24,959,27,0
138,5.6365,935,24,959,27,0
139,5.6222,935,24,959,27,1
140,5.6079,935,24,959,27,0
