trial,min_dist,nearest,closure,mean_dist,max_dist,past_envelope
0,291,HARDWARE,15685812,300.4000,329,1
1,291,HARDWARE,15847640,300.4000,329,1
2,291,HARDWARE,16485102,300.4000,329,1
3,291,HARDWARE,16794143,300.4000,329,1
4,291,HARDWARE,15618758,300.4000,329,1
5,291,HARDWARE,16103820,300.4000,329,1
6,291,HARDWARE,14940547,300.4000,329,1
7,291,HARDWARE,15968406,300.4000,329,1
8,291,HARDWARE,15029093,300.4000,329,1
9,291,HARDWARE,14755158,300.4000,329,1
10,291,HARDWARE,16832221,300.4000,329,1
11,291,HARDWARE,16300894,300.4000,329,1
12,291,HARDWARE,16304946,300.4000,329,1
13,291,HARDWARE,15450427,300.4000,329,1
14,291,HARDWARE,15840011,300.4000,329,1
15,291,HARDWARE,15916180,300.4000,329,1
