artifact,stage,public_observation,action_class,charged_call,policy_note
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_low,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_high,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_high,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_low,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_high,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_low,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_low,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
policy_memory,observe,anonymous_calibration_context,none,1,no_identity_or_test_outcome
policy_memory,probe,calibration_high,generic_measurement,2,allowed_calibration_reply_unlinked
policy_memory,commit,commitment_recorded_without_name,3,commit_precedes_sealed_evaluation
campaign_closure,aggregate,exact_total_8_of_8,none,0,release_after_all_sessions_closed;unjoinable_total
campaign_closure,aggregate,charged_calls_24,none,0,persistent_budget_accounting
campaign_closure,adversarial_recovery,identity_join=0_of_8;fresh_outcome_recovery=0_of_8,none,0,all_exports_lack_join_keys
campaign_closure,restart_check,restart_budget_reject=8_of_8,none,0,evaluator_owned_persistent_counter
