N,method,evals,best_E,best_F
15,exhaustive,37,95,1.184211
15,exhaustive,39,75,1.500000
15,exhaustive,47,63,1.785714
15,exhaustive,71,43,2.616279
15,exhaustive,138,23,4.891304
15,exhaustive,11194,15,7.500000
15,final,16384,15,7.500000
16,exhaustive,1,1240,0.103226
16,exhaustive,2,772,0.165803
16,exhaustive,3,472,0.271186
16,exhaustive,5,416,0.307692
16,exhaustive,6,308,0.415584
16,exhaustive,10,236,0.542373
16,exhaustive,18,196,0.653061
16,exhaustive,19,176,0.727273
16,exhaustive,23,152,0.842105
16,exhaustive,37,128,1.000000
16,exhaustive,39,112,1.142857
16,exhaustive,47,96,1.333333
16,exhaustive,71,72,1.777778
16,exhaustive,138,44,2.909091
16,exhaustive,315,40,3.200000
16,exhaustive,371,32,4.000000
16,exhaustive,375,24,5.333333
16,final,32768,24,5.333333
17,exhaustive,1,1496,0.096591
17,exhaustive,2,964,0.149896
17,exhaustive,3,612,0.236111
17,exhaustive,5,548,0.263686
17,exhaustive,6,408,0.354167
17,exhaustive,10,328,0.440549
17,exhaustive,11,320,0.451563
17,exhaustive,18,280,0.516071
17,exhaustive,19,240,0.602083
17,exhaustive,23,212,0.681604
17,exhaustive,35,208,0.694712
17,exhaustive,37,176,0.821023
17,exhaustive,39,164,0.881098
17,exhaustive,45,156,0.926282
17,exhaustive,47,144,1.003472
17,exhaustive,71,116,1.245690
17,exhaustive,138,76,1.901316
17,exhaustive,266,60,2.408333
17,exhaustive,270,48,3.010417
17,exhaustive,315,44,3.284091
17,exhaustive,749,40,3.612500
17,exhaustive,1102,36,4.013889
17,exhaustive,11187,32,4.515625
17,final,65536,32,4.515625
18,exhaustive,1,1785,0.090756
18,exhaustive,2,1185,0.136709
18,exhaustive,3,777,0.208494
18,exhaustive,5,705,0.229787
18,exhaustive,6,529,0.306238
18,exhaustive,10,441,0.367347
18,exhaustive,11,409,0.396088
18,exhaustive,18,385,0.420779
18,exhaustive,19,321,0.504673
18,exhaustive,21,313,0.517572
18,exhaustive,23,289,0.560554
18,exhaustive,35,281,0.576512
18,exhaustive,37,241,0.672199
18,exhaustive,39,233,0.695279
18,exhaustive,45,217,0.746544
18,exhaustive,47,209,0.775120
18,exhaustive,71,177,0.915254
18,exhaustive,74,169,0.958580
18,exhaustive,82,161,1.006211
18,exhaustive,138,113,1.433628
18,exhaustive,178,105,1.542857
18,exhaustive,266,97,1.670103
18,exhaustive,270,89,1.820225
18,exhaustive,315,81,2.000000
18,exhaustive,355,73,2.219178
18,exhaustive,551,57,2.842105
18,exhaustive,613,49,3.306122
18,exhaustive,2266,41,3.951220
18,exhaustive,3461,25,6.480000
18,final,131072,25,6.480000
19,exhaustive,1,2109,0.085586
19,exhaustive,2,1437,0.125609
19,exhaustive,3,969,0.186275
19,exhaustive,5,889,0.203037
19,exhaustive,6,673,0.268202
19,exhaustive,10,577,0.312825
19,exhaustive,11,517,0.349130
19,exhaustive,18,513,0.351852
19,exhaustive,19,421,0.428741
19,exhaustive,21,405,0.445679
19,exhaustive,23,385,0.468831
19,exhaustive,35,373,0.483914
19,exhaustive,37,325,0.555385
19,exhaustive,39,321,0.562305
19,exhaustive,42,309,0.584142
19,exhaustive,45,297,0.607744
19,exhaustive,47,293,0.616041
19,exhaustive,71,257,0.702335
19,exhaustive,74,229,0.788210
19,exhaustive,82,213,0.847418
19,exhaustive,138,165,1.093939
19,exhaustive,178,145,1.244828
19,exhaustive,279,141,1.280142
19,exhaustive,282,137,1.317518
19,exhaustive,295,125,1.444000
19,exhaustive,355,109,1.655963
