round,arm,condition,pair_errors,pair_trials,interaction_cost,freeze,verdict,detail
round_w_w3,no_probe,actuator_remap,576,672,0,frozen_before_world,PENDING,anonymous_pair_equivalence
round_w_w3,VERDICT,all,514,4704,5376,snapshot,VALID_NEGATIVE,procedure_not_addresses;best_equal_cost_control=478
round_w_w3,ATTACK,hidden_mapping_unavailable,0,0,0,immutable,PASS,hostile_check
round_w_w3,ATTACK,probe_ablation,0,0,0,immutable,PASS,hostile_check
round_w_w3,ATTACK,post_freeze_edit_denied,0,0,0,immutable,PASS,hostile_check
round_w_w3,ATTACK,address_replay_control,0,0,0,immutable,PASS,hostile_check
round_w_w3,ATTACK,raw_permutation_recode,0,0,0,immutable,PASS,hostile_check
round_w_w3,ATTACK,bloat_equal_cost,0,0,0,immutable,PASS,hostile_check
round_w_w3,ATTACK,lineage_digest,0,0,0,immutable,PASS,hostile_check
round_w_w3,ATTACK,deterministic_replay,0,0,0,immutable,PASS,hostile_check
