phase,seed,target,family_or_arm,members_or_idx,detail,val_or_cov,tst,ladder_pick,cert_or_solved,cov_after_or_probes,r2_or_certs
family_diag,0xF0235A11CE0FF1CE,C09 inv parity,world_sign_mod(k=2..20),19,"sign%19==0",0.5149,0.5120,-1.0000,0,0.4771,-0.0075
family_diag,0xF0235A11CE0FF1CE,C09 inv parity,modsynth slice (count),13,"mod(count,4)",0.5166,0.4863,-1.0000,0,0.0000,99.0000
family_diag,0xF0235A11CE0FF1CE,C09 inv parity,NEW cmp aggregates,1030,"cmp(all28,mod2)",1.0000,1.0000,-1.0000,1,1.0000,-0.0713
basis_ceiling,0xF0235A11CE0FF1CE,C09 inv parity,basis:count3,9,"spectral+modsynth(count)",0.5103,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,C09 inv parity,basis:gridSum,41,"world_sum_mod",0.4943,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,C09 inv parity,basis:signPattern,256,"walsh+world_sign_mod",0.5160,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,C09 inv parity,basis:v1-v0,11,"clifford",0.5051,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,C09 inv parity,basis:inversion,29,"pipeline(inv)/cmp(all)",1.0000,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,C09 inv parity,basis:max_cell,6,"pipeline(max)",0.5171,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,C09 inv parity,basis:sum01,11,"pipeline(sum01)",0.5034,,,,,
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,monomial(deg<=4),162,"phi(0x56)",0.6846,0.6537,-1.0000,0,0.6463,-0.1219
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,monomial(deg<=8),255,"phi(0xCB)",0.6851,0.6537,-1.0000,0,0.6451,-0.1803
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,pair_relation,28,"pair(0,1)",0.6823,0.6554,-1.0000,0,0.6451,-0.0862
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,walsh(sign bits),255,"chi(0x01)",0.6823,0.6554,-1.0000,0,0.6463,0.7601
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,spectral cos(w*count3),800,"cos(w*c3),w=1.9360",1.0000,1.0000,1.0000,1,0.9851,-0.0101
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,clifford sin(th*(v1-v0)),64,"sin(0.049(v1-v0))",0.6823,0.6554,0.6823,0,0.6463,0.9458
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,world_sum_mod(k=2..20),19,"sum%17==0",0.6983,0.6594,-1.0000,0,0.6623,-0.0297
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,world_sign_mod(k=2..20),19,"sign%7==0",0.7474,0.7257,-1.0000,0,0.7211,-0.0473
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,modsynth slice (count),13,"mod(count,3)",1.0000,1.0000,-1.0000,0,0.0000,99.0000
family_diag,0xF0235A11CE0FF1CE,D07 count3%3,NEW cmp aggregates,1030,"cmp(low6,ident)",0.6840,0.6514,-1.0000,0,0.6451,0.7613
basis_ceiling,0xF0235A11CE0FF1CE,D07 count3%3,basis:count3,9,"spectral+modsynth(count)",1.0000,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,D07 count3%3,basis:gridSum,41,"world_sum_mod",0.6800,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,D07 count3%3,basis:signPattern,256,"walsh+world_sign_mod",1.0000,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,D07 count3%3,basis:v1-v0,11,"clifford",0.6554,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,D07 count3%3,basis:inversion,29,"pipeline(inv)/cmp(all)",0.6554,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,D07 count3%3,basis:max_cell,6,"pipeline(max)",0.6589,,,,,
basis_ceiling,0xF0235A11CE0FF1CE,D07 count3%3,basis:sum01,11,"pipeline(sum01)",0.6554,,,,,
ladder,0xF0235A11CE0FF1CE,"B1 random monomial deg2",L0,0,"forge",1.0000,,,1,151,1
ladder,0xF0235A11CE0FF1CE,"B2 random monomial deg3",L0,1,"forge",1.0000,,,1,150,1
ladder,0xF0235A11CE0FF1CE,"B3 sum(g) % 7",L0,2,"world",1.0000,,,1,183,15
ladder,0xF0235A11CE0FF1CE,"B4 sign%mod 11",L0,3,"base",0.9017,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"B5 Walsh χ{S=0x11}",L0,4,"pair",1.0000,,,1,28,1
ladder,0xF0235A11CE0FF1CE,"B6 Walsh χ{S=0xA4}",L0,5,"walsh",1.0000,,,1,287,2
ladder,0xF0235A11CE0FF1CE,"B7 Walsh χ{S=0x0A}",L0,6,"pair",1.0000,,,1,28,1
ladder,0xF0235A11CE0FF1CE,"B8 parity-of-count",L0,7,"walsh",1.0000,,,1,287,2
ladder,0xF0235A11CE0FF1CE,"B9 oriented v1>v0",L0,8,"base",1.0000,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"B10 parity AND sum%5",L0,9,"world",1.0000,,,1,34,13
ladder,0xF0235A11CE0FF1CE,"B11 inversion parity",L0,10,"none",0.4891,,,0,290,13
ladder,0xF0235A11CE0FF1CE,"C01 XOR 0x0F",L0,0,"none",0.4851,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C02 parity XOR 0x33",L0,1,"none",0.5023,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C03 XOR 0x55",L0,2,"none",0.5029,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C04 XOR 0xAA",L0,3,"none",0.5120,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C05 XOR 0x3C",L0,4,"none",0.4971,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C06 XOR 0x66",L0,5,"none",0.5086,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C07 XOR 0x99",L0,6,"none",0.5040,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C08 parity count",L0,7,"walsh",1.0000,,,1,438,3
ladder,0xF0235A11CE0FF1CE,"C09 inv parity",L0,8,"none",0.4766,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C10 parity XOR 0x0F",L0,9,"none",0.4851,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"C11 XOR 0x37",L0,10,"none",0.5074,,,0,441,16
ladder,0xF0235A11CE0FF1CE,"D01 sum%2",L0,0,"world",1.0000,,,1,441,16
ladder,0xF0235A11CE0FF1CE,"D02 sum%3",L0,1,"world",1.0000,,,1,185,15
ladder,0xF0235A11CE0FF1CE,"D03 sum%5",L0,2,"world",1.0000,,,1,185,15
ladder,0xF0235A11CE0FF1CE,"D04 sum%7",L0,3,"world",1.0000,,,1,185,15
ladder,0xF0235A11CE0FF1CE,"D05 sum%11",L0,4,"base",0.9040,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"D06 sum%13",L0,5,"base",0.9269,,,1,0,0
ladder,0xF0235A11CE0FF1CE,"D07 count3%3",L0,6,"menu",1.0000,,,1,185,3
ladder,0xF0235A11CE0FF1CE,"D08 count3%4",L0,7,"none",0.6989,,,0,185,15
ladder,0xF0235A11CE0FF1CE,"D09 count3%5",L0,8,"menu",1.0000,,,1,185,3
ladder,0xF0235A11CE0FF1CE,"D10 count3%6",L0,9,"menu",1.0000,,,1,185,3
ladder,0xF0235A11CE0FF1CE,"D11 subset-parity{0-3}",L0,10,"forge",0.9994,,,1,151,1
ladder,0x00C1B10D20260706,"B1 random monomial deg2",L0,0,"forge",1.0000,,,1,151,1
ladder,0x00C1B10D20260706,"B2 random monomial deg3",L0,1,"forge",1.0000,,,1,150,1
ladder,0x00C1B10D20260706,"B3 sum(g) % 7",L0,2,"world",1.0000,,,1,183,15
ladder,0x00C1B10D20260706,"B4 sign%mod 11",L0,3,"base",0.9046,,,1,0,0
ladder,0x00C1B10D20260706,"B5 Walsh χ{S=0x11}",L0,4,"pair",1.0000,,,1,28,1
ladder,0x00C1B10D20260706,"B6 Walsh χ{S=0xA4}",L0,5,"walsh",1.0000,,,1,287,2
ladder,0x00C1B10D20260706,"B7 Walsh χ{S=0x0A}",L0,6,"pair",1.0000,,,1,28,1
ladder,0x00C1B10D20260706,"B8 parity-of-count",L0,7,"walsh",1.0000,,,1,287,2
