artifact,battery,policy,stage,virtual_epochs,heldout_material,heldout_correct_x4096,charged_contacts,forged_instruments,revised_records,generated_world_visits,component_events,verdict
round_ar,AR3,earned_forge,checkpoint,81792,20950,2095,7852032,1963008,981223,7852032,282673152,curve
round_ar,AR3,earned_forge,checkpoint,81984,20780,2078,7870464,1967616,983499,7870464,283336704,curve
round_ar,AR3,earned_forge,checkpoint,82176,20140,2014,7888896,1972224,985770,7888896,284000256,curve
round_ar,AR3,earned_forge,checkpoint,82368,20370,2037,7907328,1976832,988101,7907328,284663808,curve
round_ar,AR3,earned_forge,checkpoint,82560,20570,2057,7925760,1981440,990410,7925760,285327360,curve
round_ar,AR3,earned_forge,checkpoint,82752,20390,2039,7944192,1986048,992741,7944192,285990912,curve
round_ar,AR3,earned_forge,checkpoint,82944,20600,2060,7962624,1990656,995019,7962624,286654464,curve
round_ar,AR3,earned_forge,checkpoint,83136,20460,2046,7981056,1995264,997301,7981056,287318016,curve
round_ar,AR3,earned_forge,checkpoint,83328,20880,2088,7999488,1999872,999583,7999488,287981568,curve
round_ar,AR3,earned_forge,checkpoint,83520,20790,2079,8017920,2004480,1001861,8017920,288645120,curve
round_ar,AR3,earned_forge,checkpoint,83712,20120,2012,8036352,2009088,1004177,8036352,289308672,curve
round_ar,AR3,earned_forge,checkpoint,83904,20310,2031,8054784,2013696,1006517,8054784,289972224,curve
round_ar,AR3,earned_forge,checkpoint,84096,20250,2025,8073216,2018304,1008823,8073216,290635776,curve
round_ar,AR3,earned_forge,checkpoint,84288,20420,2042,8091648,2022912,1011146,8091648,291299328,curve
round_ar,AR3,earned_forge,checkpoint,84480,20320,2032,8110080,2027520,1013441,8110080,291962880,curve
round_ar,AR3,earned_forge,checkpoint,84672,20330,2033,8128512,2032128,1015762,8128512,292626432,curve
round_ar,AR3,earned_forge,checkpoint,84864,20100,2010,8146944,2036736,1018047,8146944,293289984,curve
round_ar,AR3,earned_forge,checkpoint,85056,20720,2072,8165376,2041344,1020342,8165376,293953536,curve
round_ar,AR3,earned_forge,checkpoint,85248,20620,2062,8183808,2045952,1022663,8183808,294617088,curve
round_ar,AR3,earned_forge,checkpoint,85440,20970,2097,8202240,2050560,1024967,8202240,295280640,curve
round_ar,AR3,earned_forge,checkpoint,85632,20450,2045,8220672,2055168,1027286,8220672,295944192,curve
round_ar,AR3,earned_forge,checkpoint,85824,20250,2025,8239104,2059776,1029572,8239104,296607744,curve
round_ar,AR3,earned_forge,checkpoint,86016,20390,2039,8257536,2064384,1031886,8257536,297271296,curve
round_ar,AR3,earned_forge,checkpoint,86208,19810,1981,8275968,2068992,1034187,8275968,297934848,curve
round_ar,AR3,earned_forge,checkpoint,86400,20710,2071,8294400,2073600,1036534,8294400,298598400,curve
round_ar,AR3,earned_forge,checkpoint,86592,20480,2048,8312832,2078208,1038804,8312832,299261952,curve
round_ar,AR3,earned_forge,checkpoint,86784,20260,2026,8331264,2082816,1041147,8331264,299925504,curve
round_ar,AR3,earned_forge,checkpoint,86976,20110,2011,8349696,2087424,1043437,8349696,300589056,curve
round_ar,AR3,earned_forge,checkpoint,87168,20510,2051,8368128,2092032,1045725,8368128,301252608,curve
round_ar,AR3,earned_forge,checkpoint,87360,20450,2045,8386560,2096640,1048002,8386560,301916160,curve
round_ar,AR3,earned_forge,checkpoint,87552,20310,2031,8404992,2101248,1050368,8404992,302579712,curve
round_ar,AR3,earned_forge,checkpoint,87744,20380,2038,8423424,2105856,1052644,8423424,303243264,curve
round_ar,AR3,earned_forge,checkpoint,87936,20310,2031,8441856,2110464,1054919,8441856,303906816,curve
round_ar,AR3,earned_forge,checkpoint,88128,20820,2082,8460288,2115072,1057230,8460288,304570368,curve
round_ar,AR3,earned_forge,checkpoint,88320,20320,2032,8478720,2119680,1059524,8478720,305233920,curve
round_ar,AR3,earned_forge,checkpoint,88512,20920,2092,8497152,2124288,1061842,8497152,305897472,curve
round_ar,AR3,earned_forge,checkpoint,88704,20140,2014,8515584,2128896,1064105,8515584,306561024,curve
round_ar,AR3,earned_forge,checkpoint,88896,20950,2095,8534016,2133504,1066493,8534016,307224576,curve
round_ar,AR3,earned_forge,checkpoint,89088,20600,2060,8552448,2138112,1068807,8552448,307888128,curve
round_ar,AR3,earned_forge,checkpoint,89280,20720,2072,8570880,2142720,1071159,8570880,308551680,curve
round_ar,AR3,earned_forge,checkpoint,89472,20280,2028,8589312,2147328,1073448,8589312,309215232,curve
round_ar,AR3,earned_forge,checkpoint,89664,20970,2097,8607744,2151936,1075773,8607744,309878784,curve
round_ar,AR3,earned_forge,checkpoint,89856,20690,2069,8626176,2156544,1078094,8626176,310542336,curve
round_ar,AR3,earned_forge,checkpoint,90048,20810,2081,8644608,2161152,1080412,8644608,311205888,curve
round_ar,AR3,earned_forge,checkpoint,90240,20100,2010,8663040,2165760,1082737,8663040,311869440,curve
round_ar,AR3,earned_forge,checkpoint,90432,20290,2029,8681472,2170368,1085028,8681472,312532992,curve
round_ar,AR3,earned_forge,checkpoint,90624,20080,2008,8699904,2174976,1087330,8699904,313196544,curve
round_ar,AR3,earned_forge,checkpoint,90816,20530,2053,8718336,2179584,1089637,8718336,313860096,curve
round_ar,AR3,earned_forge,checkpoint,91008,20250,2025,8736768,2184192,1091953,8736768,314523648,curve
round_ar,AR3,earned_forge,checkpoint,91200,20340,2034,8755200,2188800,1094282,8755200,315187200,curve
round_ar,AR3,earned_forge,checkpoint,91392,19890,1989,8773632,2193408,1096555,8773632,315850752,curve
round_ar,AR3,earned_forge,checkpoint,91584,20490,2049,8792064,2198016,1098853,8792064,316514304,curve
round_ar,AR3,earned_forge,checkpoint,91776,20160,2016,8810496,2202624,1101109,8810496,317177856,curve
round_ar,AR3,earned_forge,checkpoint,91968,20570,2057,8828928,2207232,1103351,8828928,317841408,curve
round_ar,AR3,earned_forge,checkpoint,92160,20440,2044,8847360,2211840,1105720,8847360,318504960,curve
round_ar,AR3,earned_forge,checkpoint,92352,20880,2088,8865792,2216448,1108103,8865792,319168512,curve
round_ar,AR3,earned_forge,checkpoint,92544,20690,2069,8884224,2221056,1110334,8884224,319832064,curve
round_ar,AR3,earned_forge,checkpoint,92736,20210,2021,8902656,2225664,1112622,8902656,320495616,curve
round_ar,AR3,earned_forge,checkpoint,92928,20670,2067,8921088,2230272,1114893,8921088,321159168,curve
round_ar,AR3,earned_forge,checkpoint,93120,20310,2031,8939520,2234880,1117166,8939520,321822720,curve
round_ar,AR3,earned_forge,checkpoint,93312,20100,2010,8957952,2239488,1119433,8957952,322486272,curve
round_ar,AR3,earned_forge,checkpoint,93504,20520,2052,8976384,2244096,1121780,8976384,323149824,curve
round_ar,AR3,earned_forge,checkpoint,93696,20140,2014,8994816,2248704,1124090,8994816,323813376,curve
round_ar,AR3,earned_forge,checkpoint,93888,20830,2083,9013248,2253312,1126376,9013248,324476928,curve
round_ar,AR3,earned_forge,checkpoint,94080,20160,2016,9031680,2257920,1128678,9031680,325140480,curve
round_ar,AR3,earned_forge,checkpoint,94272,20470,2047,9050112,2262528,1130989,9050112,325804032,curve
round_ar,AR3,earned_forge,checkpoint,94464,21150,2115,9068544,2267136,1133311,9068544,326467584,curve
round_ar,AR3,earned_forge,checkpoint,94656,20500,2050,9086976,2271744,1135668,9086976,327131136,curve
round_ar,AR3,earned_forge,checkpoint,94848,19580,1958,9105408,2276352,1138016,9105408,327794688,curve
round_ar,AR3,earned_forge,checkpoint,95040,20870,2087,9123840,2280960,1140238,9123840,328458240,curve
round_ar,AR3,earned_forge,checkpoint,95232,20200,2020,9142272,2285568,1142525,9142272,329121792,curve
round_ar,AR3,earned_forge,checkpoint,95424,20600,2060,9160704,2290176,1144874,9160704,329785344,curve
round_ar,AR3,earned_forge,checkpoint,95616,20060,2006,9179136,2294784,1147157,9179136,330448896,curve
round_ar,AR3,earned_forge,checkpoint,95808,20870,2087,9197568,2299392,1149478,9197568,331112448,curve
round_ar,AR3,earned_forge,checkpoint,96000,20370,2037,9216000,2304000,1151747,9216000,331776000,curve
round_ar,AR3,earned_forge,checkpoint,96192,20350,2035,9234432,2308608,1154064,9234432,332439552,curve
round_ar,AR3,earned_forge,checkpoint,96384,19900,1990,9252864,2313216,1156318,9252864,333103104,curve
round_ar,AR3,earned_forge,checkpoint,96576,20080,2008,9271296,2317824,1158571,9271296,333766656,curve
round_ar,AR3,earned_forge,checkpoint,96768,20190,2019,9289728,2322432,1160913,9289728,334430208,curve
round_ar,AR3,earned_forge,checkpoint,96960,20620,2062,9308160,2327040,1163258,9308160,335093760,curve
round_ar,AR3,earned_forge,checkpoint,97152,20290,2029,9326592,2331648,1165522,9326592,335757312,curve
round_ar,AR3,earned_forge,checkpoint,97344,20480,2048,9345024,2336256,1167866,9345024,336420864,curve
round_ar,AR3,earned_forge,checkpoint,97536,20370,2037,9363456,2340864,1170167,9363456,337084416,curve
round_ar,AR3,earned_forge,checkpoint,97728,20450,2045,9381888,2345472,1172481,9381888,337747968,curve
round_ar,AR3,earned_forge,checkpoint,97920,20340,2034,9400320,2350080,1174748,9400320,338411520,curve
round_ar,AR3,earned_forge,checkpoint,98112,20350,2035,9418752,2354688,1177039,9418752,339075072,curve
round_ar,AR3,earned_forge,checkpoint,98304,20480,2048,9437184,2359296,1179312,9437184,339738624,curve
round_ar,AR3,earned_forge,checkpoint,98496,20610,2061,9455616,2363904,1181609,9455616,340402176,curve
round_ar,AR3,earned_forge,checkpoint,98688,20530,2053,9474048,2368512,1183877,9474048,341065728,curve
round_ar,AR3,earned_forge,checkpoint,98880,20210,2021,9492480,2373120,1186192,9492480,341729280,curve
round_ar,AR3,earned_forge,checkpoint,99072,19920,1992,9510912,2377728,1188462,9510912,342392832,curve
round_ar,AR3,earned_forge,checkpoint,99264,20670,2067,9529344,2382336,1190753,9529344,343056384,curve
round_ar,AR3,earned_forge,checkpoint,99456,21340,2134,9547776,2386944,1193093,9547776,343719936,curve
round_ar,AR3,earned_forge,checkpoint,99648,20340,2034,9566208,2391552,1195445,9566208,344383488,curve
round_ar,AR3,earned_forge,checkpoint,99840,20340,2034,9584640,2396160,1197763,9584640,345047040,curve
round_ar,AR3,earned_forge,checkpoint,100032,21070,2107,9603072,2400768,1200081,9603072,345710592,curve
round_ar,AR3,earned_forge,checkpoint,100224,20690,2069,9621504,2405376,1202381,9621504,346374144,curve
round_ar,AR3,earned_forge,checkpoint,100416,21150,2115,9639936,2409984,1204719,9639936,347037696,curve
round_ar,AR3,earned_forge,checkpoint,100608,20780,2078,9658368,2414592,1207043,9658368,347701248,curve
round_ar,AR3,earned_forge,checkpoint,100800,21170,2117,9676800,2419200,1209380,9676800,348364800,curve
round_ar,AR3,earned_forge,checkpoint,100992,19990,1999,9695232,2423808,1211689,9695232,349028352,curve
round_ar,AR3,earned_forge,checkpoint,101184,20250,2025,9713664,2428416,1214019,9713664,349691904,curve
round_ar,AR3,earned_forge,checkpoint,101376,20890,2089,9732096,2433024,1216317,9732096,350355456,curve
round_ar,AR3,earned_forge,checkpoint,101568,20680,2068,9750528,2437632,1218653,9750528,351019008,curve
round_ar,AR3,earned_forge,checkpoint,101760,20810,2081,9768960,2442240,1220951,9768960,351682560,curve
round_ar,AR3,earned_forge,checkpoint,101952,20150,2015,9787392,2446848,1223291,9787392,352346112,curve
round_ar,AR3,earned_forge,checkpoint,102144,20320,2032,9805824,2451456,1225603,9805824,353009664,curve
round_ar,AR3,earned_forge,checkpoint,102336,19920,1992,9824256,2456064,1227890,9824256,353673216,curve
round_ar,AR3,earned_forge,checkpoint,102528,20250,2025,9842688,2460672,1230159,9842688,354336768,curve
round_ar,AR3,earned_forge,checkpoint,102720,20640,2064,9861120,2465280,1232459,9861120,355000320,curve
round_ar,AR3,earned_forge,checkpoint,102912,20210,2021,9879552,2469888,1234751,9879552,355663872,curve
round_ar,AR3,earned_forge,checkpoint,103104,20270,2027,9897984,2474496,1237073,9897984,356327424,curve
round_ar,AR3,earned_forge,checkpoint,103296,20570,2057,9916416,2479104,1239346,9916416,356990976,curve
round_ar,AR3,earned_forge,checkpoint,103488,20640,2064,9934848,2483712,1241720,9934848,357654528,curve
round_ar,AR3,earned_forge,checkpoint,103680,20880,2088,9953280,2488320,1244037,9953280,358318080,curve
round_ar,AR3,earned_forge,checkpoint,103872,20860,2086,9971712,2492928,1246372,9971712,358981632,curve
round_ar,AR3,earned_forge,checkpoint,104064,20120,2012,9990144,2497536,1248719,9990144,359645184,curve
round_ar,AR3,earned_forge,checkpoint,104256,20560,2056,10008576,2502144,1251012,10008576,360308736,curve
round_ar,AR3,earned_forge,checkpoint,104448,20300,2030,10027008,2506752,1253305,10027008,360972288,curve
round_ar,AR3,earned_forge,checkpoint,104640,20370,2037,10045440,2511360,1255634,10045440,361635840,curve
round_ar,AR3,earned_forge,checkpoint,104832,20340,2034,10063872,2515968,1257959,10063872,362299392,curve
round_ar,AR3,earned_forge,checkpoint,105024,20310,2031,10082304,2520576,1260282,10082304,362962944,curve
round_ar,AR3,earned_forge,checkpoint,105216,20610,2061,10100736,2525184,1262595,10100736,363626496,curve
round_ar,AR3,earned_forge,checkpoint,105408,20180,2018,10119168,2529792,1264906,10119168,364290048,curve
round_ar,AR3,earned_forge,checkpoint,105600,20520,2052,10137600,2534400,1267226,10137600,364953600,curve
round_ar,AR3,earned_forge,checkpoint,105792,20550,2055,10156032,2539008,1269556,10156032,365617152,curve
round_ar,AR3,earned_forge,checkpoint,105984,20420,2042,10174464,2543616,1271928,10174464,366280704,curve
round_ar,AR3,earned_forge,checkpoint,106176,20640,2064,10192896,2548224,1274234,10192896,366944256,curve
