artifact,partition,epoch,world_id,parent_id,life_cycle,viability,diversity,transition_novelty,decision,policy_surface,verdict
round_t_t2,policy_lineage,0,FD656228D2AAD21A,690898C6E7B7B13B,commit,0.000488,1.000000,0.406250,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,1,D6659721834446CD,FD656228D2AAD21A,scratch_discard,0.000000,1.000000,0.625000,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,2,202ABFD374B71413,690898C6E7B7B13B,commit,0.000732,1.000000,0.375000,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,3,DEE1A071C8E73A7D,690898C6E7B7B13B,scratch_discard,0.000000,1.000000,0.406250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,4,D6DFBA41F1939CB4,FD656228D2AAD21A,commit,0.000488,1.000000,0.437500,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,5,F495A436C2010B7F,FD656228D2AAD21A,commit,0.000977,1.000000,0.500000,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,6,68A469D7E89A82E2,FD656228D2AAD21A,commit,0.000244,0.964844,0.500000,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,7,2D8942D1BC37DAC1,FD656228D2AAD21A,scratch_discard,0.000000,1.000000,0.656250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,8,5A71B0B9EB45E2C2,202ABFD374B71413,scratch_discard,0.000000,0.996094,0.281250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,9,C233F7ECE7595ABE,D6DFBA41F1939CB4,commit,0.000244,1.000000,0.437500,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,10,277584022F5891DC,D6DFBA41F1939CB4,scratch_discard,0.000000,0.992188,0.625000,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,11,6365B5ABC4B3E67E,F495A436C2010B7F,scratch_discard,0.000000,1.000000,0.531250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,12,7301024DA7F78094,68A469D7E89A82E2,commit,0.000488,1.000000,0.468750,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,13,B999075470E3BA9A,68A469D7E89A82E2,scratch_discard,0.000000,0.980469,0.406250,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,14,601C9B9FACCA006D,C233F7ECE7595ABE,commit,0.000732,1.000000,0.406250,retain,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,15,73F921748670B331,C233F7ECE7595ABE,scratch_discard,0.000000,0.980469,0.343750,retire_measurement,opaque16_plus_4_pulses,measured
round_t_t2,policy_lineage,16,609CF2CD2C14C460,7301024DA7F78094,scratch_discard,0.000000,1.000000,0.500000,retire_measurement,opaque16_plus_4_pulses,measured
