iter,hits,topo_velocity,stagnation
0,0.00,1.000000,0
100,0.00,1.000000,0
200,0.00,1.000000,0
300,0.00,1.000000,0
400,0.00,1.000000,0
500,1.00,0.000000,7
600,2.00,0.000000,0
700,2.00,0.000000,1
800,2.00,0.000000,2
900,2.00,0.000000,7
1000,2.00,0.000000,0
1100,2.00,0.000000,0
1200,2.00,0.000000,1
1300,2.00,0.000000,1
1400,2.00,0.000000,2
1500,2.00,0.000000,0
1600,2.00,0.000000,1
1700,2.00,0.000000,8
1800,2.00,0.000000,14
1900,2.00,0.000000,3
2000,2.00,0.000000,5
2100,2.00,0.000000,40
2200,2.00,0.000000,11
2300,2.00,0.261719,1
2400,2.00,0.000000,28
2500,2.00,0.000000,22
2600,2.00,0.000000,36
2700,2.00,0.000000,38
2800,2.00,0.000000,17
2900,2.00,0.000000,5
3000,2.00,0.000000,0
3100,2.00,0.000000,8
3200,2.00,0.000000,4
3300,2.00,0.000000,0
3400,2.00,0.000000,23
3500,2.00,0.000000,2
3600,2.00,0.000000,2
3700,2.00,0.000000,1
3800,2.00,0.000000,1
3900,2.00,0.000000,3
4000,2.00,0.000000,0
4100,2.00,0.000000,0
4200,2.00,0.000000,2
4300,2.00,0.000000,2
4400,2.00,0.000000,12
4500,2.00,0.000000,8
4600,2.00,0.000000,1
4700,2.00,0.000000,0
4800,2.00,0.000000,7
4900,2.00,0.269409,1
5000,2.00,0.269409,0
5100,2.00,0.000000,0
5200,2.00,0.000000,1
5300,2.00,0.000000,0
5400,2.00,0.000000,7
5500,2.00,0.000000,39
5600,2.00,0.000000,0
5700,2.00,0.000000,7
5800,2.00,0.000000,4
5900,2.00,0.000000,5
6000,2.00,0.000000,33
6100,2.00,0.000000,11
6200,2.00,0.052734,1
6300,2.00,0.000000,7
6400,2.00,0.000000,4
6500,2.00,0.000000,0
6600,2.00,0.000000,1
6700,2.00,0.000000,0
6800,2.00,0.000000,1
6900,2.00,0.000000,0
7000,2.00,0.000000,39
7100,2.00,0.000000,0
7200,2.00,0.000000,3
7300,2.00,0.270874,0
7400,2.00,0.000000,9
7500,2.00,0.000000,0
7600,2.00,0.000000,1
7700,2.00,0.000000,3
7800,2.00,0.000000,1
7900,2.00,0.000000,2
8000,2.00,0.000000,2
8100,2.00,0.000000,6
8200,2.00,0.000000,10
8300,2.00,0.000000,1
8400,2.00,0.000000,4
8500,2.00,0.000000,3
8600,2.00,0.000000,2
8700,2.00,0.000000,0
8800,2.00,0.000000,0
8900,2.00,0.269409,1
9000,2.00,0.000000,5
9100,2.00,0.000000,1
9200,2.00,0.000000,5
9300,2.00,0.000000,1
9400,2.00,0.000000,4
9500,2.00,0.000000,4
9600,2.00,0.131714,1
9700,2.00,0.000000,1
9800,2.00,0.000000,27
9900,2.00,0.000000,14
10000,2.00,0.000000,0
10100,2.00,0.000000,3
10200,2.00,0.000000,3
10300,2.00,0.000000,1
10400,2.00,0.000000,0
10500,2.00,0.000000,4
10600,2.00,0.000000,6
10700,2.00,0.000000,6
10800,2.00,0.000000,49
10900,2.00,0.000000,52
11000,2.00,0.000000,14
11100,2.00,0.000000,27
11200,2.00,0.000000,6
11300,2.00,0.000000,42
11400,2.00,0.000000,68
11500,2.00,0.000000,73
11600,2.00,0.000000,64
11700,2.00,0.000000,9
11800,2.00,0.000000,44
11900,2.00,0.000000,0
12000,2.00,0.000000,42
12100,2.00,0.000000,4
12200,2.00,0.000000,31
12300,2.00,0.000000,55
12400,2.00,0.000000,54
12500,2.00,0.000000,34
12600,2.00,0.000000,21
12700,2.00,0.000000,4
12800,2.00,0.000000,17
12900,2.00,0.000000,0
13000,2.00,0.000000,2
13100,2.00,0.000000,1
13200,2.00,0.000000,5
13300,2.00,0.000000,61
13400,2.00,0.000000,25
13500,2.00,0.000000,5
13600,2.00,0.000000,14
13700,2.00,0.000000,28
13800,2.00,0.000000,14
13900,2.00,0.000000,57
14000,2.00,0.000000,69
14100,2.00,0.000000,31
14200,2.00,0.000000,0
14300,2.00,0.000000,8
14400,2.00,0.000000,3
14500,2.00,0.000000,0
14600,2.00,0.000000,20
14700,2.00,0.000000,5
14800,2.00,0.000000,7
14900,2.00,0.000000,0
15000,2.00,0.000000,2
15100,2.00,0.000000,24
15200,2.00,0.000000,20
15300,2.00,0.000000,22
15400,2.00,0.000000,0
15500,2.00,0.000000,10
15600,2.00,0.000000,4
15700,2.00,0.000000,8
15800,2.00,0.000000,12
15900,2.00,0.000000,2
16000,2.00,0.000000,1
16100,2.00,0.000000,6
16200,2.00,0.000000,5
16300,2.00,0.000000,4
16400,2.00,0.000000,34
16500,2.00,0.000000,13
16600,2.00,0.000000,92
16700,2.00,0.000000,192
16800,2.00,0.000000,2
16900,2.00,0.000000,34
17000,2.00,0.000000,58
17100,2.00,0.000000,1
17200,2.00,0.000000,3
17300,2.00,0.000000,2
17400,2.00,0.000000,12
17500,2.00,0.000000,82
17600,2.00,0.000000,23
17700,2.00,0.000000,8
17800,2.00,0.000000,3
17900,2.00,0.000000,90
18000,2.00,0.000000,51
18100,2.00,0.000000,0
18200,2.00,0.000000,3
18300,2.00,0.000000,7
18400,2.00,0.000000,39
18500,2.00,0.000000,6
18600,2.00,0.000000,0
18700,2.00,0.000000,25
18800,2.00,0.000000,1
18900,2.00,0.000000,0
19000,2.00,0.000000,1
19100,2.00,0.000000,6
19200,2.00,0.000000,12
19300,2.00,0.000000,1
19400,2.00,0.000000,13
19500,2.00,0.000000,0
19600,2.00,0.000000,76
19700,2.00,0.000000,176
19800,2.00,0.000000,13
19900,2.00,0.000000,4
20000,2.00,0.000000,18
20100,2.00,0.000000,0
20200,2.00,0.000000,37
20300,2.00,0.000000,0
20400,2.00,0.000000,9
20500,2.00,0.000000,2
20600,2.00,0.000000,6
20700,2.00,0.000000,1
20800,2.00,0.000000,1
20900,2.00,0.000000,0
21000,2.00,0.000000,40
21100,2.00,0.000000,0
21200,2.00,0.000000,23
21300,2.00,0.000000,8
21400,2.00,0.000000,20
21500,2.00,0.000000,5
21600,2.00,0.000000,0
21700,2.00,0.000000,43
21800,2.00,0.000000,51
21900,2.00,0.000000,151
22000,2.00,0.000000,5
22100,2.00,0.000000,26
22200,2.00,0.000000,14
22300,2.00,0.000000,57
22400,2.00,0.000000,87
22500,2.00,0.000000,40
22600,2.00,0.000000,1
22700,2.00,0.000000,6
22800,2.00,0.000000,5
22900,2.00,0.000000,9
23000,2.00,0.000000,2
23100,2.00,0.000000,9
23200,2.00,0.000000,109
23300,2.00,0.000000,0
23400,2.00,0.000000,20
23500,2.00,0.000000,3
23600,2.00,0.000000,19
23700,2.00,0.000000,2
23800,2.00,0.000000,0
23900,2.00,0.000000,2
24000,2.00,0.000000,6
24100,2.00,0.000000,0
24200,2.00,0.000000,1
24300,2.00,0.000000,39
24400,2.00,0.000000,5
24500,2.00,0.000000,42
24600,2.00,0.000000,1
24700,2.00,0.000000,36
24800,2.00,0.000000,9
24900,2.00,0.000000,25
25000,2.00,0.000000,12
25100,2.00,0.000000,59
25200,2.00,0.000000,0
25300,2.00,0.000000,12
25400,2.00,0.000000,4
25500,2.00,0.000000,3
25600,2.00,0.000000,5
25700,2.00,0.000000,2
25800,2.00,0.000000,0
25900,2.00,0.000000,2
26000,2.00,0.000000,1
26100,2.00,0.000000,1
26200,2.00,0.000000,0
26300,2.00,0.000000,2
26400,2.00,0.000000,5
26500,2.00,0.000000,4
26600,2.00,0.000000,0
26700,2.00,0.000000,42
26800,2.00,0.000000,0
26900,2.00,0.000000,1
27000,2.00,0.000000,7
27100,2.00,0.000000,7
27200,2.00,0.000000,0
27300,2.00,0.000000,0
27400,2.00,0.000000,5
27500,2.00,0.000000,16
27600,2.00,0.000000,2
27700,2.00,0.000000,3
27800,2.00,0.000000,15
27900,2.00,0.000000,1
28000,2.00,0.000000,7
28100,2.00,0.000000,3
28200,2.00,0.000000,3
28300,2.00,0.000000,11
28400,2.00,0.000000,0
28500,2.00,0.000000,2
28600,2.00,0.000000,2
28700,2.00,0.000000,2
28800,2.00,0.269409,0
28900,2.00,0.000000,17
29000,2.00,0.000000,35
29100,2.00,0.000000,0
29200,2.00,0.000000,11
29300,2.00,0.000000,16
29400,2.00,0.000000,50
29500,2.00,0.000000,150
29600,2.00,0.000000,7
29700,2.00,0.000000,12
29800,2.00,0.000000,6
29900,2.00,0.000000,0
30000,2.00,0.000000,0
30100,2.00,0.000000,1
30200,2.00,0.000000,1
30300,2.00,0.000000,0
30400,2.00,0.000000,94
30500,2.00,0.000000,1
30600,2.00,0.000000,2
30700,2.00,0.000000,1
30800,2.00,0.000000,0
30900,2.00,0.000000,1
31000,2.00,0.000000,69
31100,2.00,0.000000,12
31200,2.00,0.000000,0
31300,2.00,0.000000,48
31400,2.00,0.000000,18
31500,2.00,0.000000,2
31600,2.00,0.000000,4
31700,2.00,0.000000,0
31800,2.00,0.000000,6
31900,2.00,0.000000,3
32000,2.00,0.000000,18
32100,2.00,0.000000,34
32200,2.00,0.000000,134
32300,2.00,0.000000,0
32400,2.00,0.000000,1
32500,2.00,0.000000,3
32600,2.00,0.000000,17
32700,2.00,0.000000,65
32800,2.00,0.000000,5
32900,2.00,0.000000,1
33000,2.00,0.000000,10
33100,2.00,0.000000,57
33200,2.00,0.000000,14
33300,2.00,0.000000,4
33400,2.00,0.000000,1
33500,2.00,0.000000,0
33600,2.00,0.000000,2
33700,2.00,0.000000,5
33800,2.00,0.000000,3
33900,2.00,0.000000,2
34000,2.00,0.000000,8
34100,2.00,0.000000,17
34200,2.00,0.000000,95
34300,2.00,0.000000,1
34400,2.00,0.000000,2
34500,2.00,0.000000,0
34600,2.00,0.000000,11
34700,2.00,0.000000,4
34800,2.00,0.000000,1
34900,2.00,0.000000,2
35000,2.00,0.000000,4
35100,2.00,0.000000,0
35200,2.00,0.000000,3
35300,2.00,0.000000,2
35400,2.00,0.000000,0
35500,2.00,0.000000,0
35600,2.00,0.000000,1
35700,2.00,0.000000,2
35800,2.00,0.048096,1
35900,2.00,0.000000,0
36000,2.00,0.000000,3
36100,2.00,0.000000,0
36200,2.00,0.000000,0
36300,2.00,0.000000,0
36400,2.00,0.000000,1
36500,2.00,0.000000,3
36600,2.00,0.130615,1
36700,2.00,0.000000,2
36800,2.00,0.000000,0
36900,2.00,0.000000,10
37000,2.00,0.000000,0
37100,2.00,0.000000,1
37200,2.00,0.000000,13
37300,2.00,0.000000,0
37400,2.00,0.000000,5
37500,2.00,0.000000,0
37600,2.00,0.000000,0
37700,2.00,0.000000,3
37800,2.00,0.000122,1
37900,2.00,0.000000,0
38000,2.00,0.000000,4
38100,2.00,0.000000,2
38200,2.00,0.000000,9
38300,2.00,0.000000,0
38400,2.00,0.000000,1
38500,2.00,0.000000,0
38600,2.00,0.000000,2
38700,2.00,0.000000,0
38800,2.00,0.000000,6
38900,2.00,0.000000,3
39000,2.00,0.000000,0
39100,2.00,0.000000,2
39200,2.00,0.000000,7
39300,2.00,0.000000,6
39400,2.00,0.000000,2
39500,2.00,0.000000,1
39600,2.00,0.000000,0
39700,2.00,0.000000,4
39800,2.00,0.000000,3
39900,2.00,0.000000,3
40000,2.00,0.000000,8
40100,2.00,0.000000,0
40200,2.00,0.000000,6
40300,2.00,0.000000,1
40400,2.00,0.000000,0
40500,2.00,0.000000,6
40600,2.00,0.000000,0
40700,2.00,0.000000,3
40800,2.00,0.000000,2
40900,2.00,0.000000,2
41000,2.00,0.000000,0
41100,2.00,0.000000,1
41200,2.00,0.000000,0
41300,2.00,0.000000,4
41400,2.00,0.000000,0
41500,2.00,0.000000,0
41600,2.00,0.000000,15
41700,2.00,0.000000,20
41800,2.00,0.000000,2
41900,2.00,0.000000,6
42000,2.00,0.000000,0
42100,2.00,0.000000,3
42200,2.00,0.000000,2
42300,2.00,0.000000,0
42400,2.00,0.000000,3
42500,2.00,0.000000,0
42600,2.00,0.000000,1
42700,2.00,0.000000,2
42800,2.00,0.000000,0
42900,2.00,0.000000,3
43000,2.00,0.000000,0
43100,2.00,0.000000,0
43200,2.00,0.000000,5
43300,2.00,0.000000,2
43400,2.00,0.000000,0
43500,2.00,0.000000,2
43600,2.00,0.000000,0
43700,2.00,0.000000,4
43800,2.00,0.000000,6
43900,2.00,0.000000,0
44000,2.00,0.000000,0
44100,2.00,0.000000,1
44200,2.00,0.000000,0
44300,2.00,0.000000,2
44400,2.00,0.000000,1
44500,2.00,0.000000,0
44600,2.00,0.000000,11
44700,2.00,0.000000,3
44800,2.00,0.000000,0
44900,2.00,0.000000,0
45000,2.00,0.060425,1
45100,2.00,0.000000,11
45200,2.00,0.000000,17
45300,2.00,0.000000,5
45400,2.00,0.000000,37
45500,2.00,0.000000,137
45600,2.00,0.000000,6
45700,2.00,0.000000,24
45800,2.00,0.000000,4
45900,2.00,0.000000,11
46000,2.00,0.000000,6
46100,2.00,0.000000,81
46200,2.00,0.000000,7
46300,2.00,0.000000,16
46400,2.00,0.000000,4
46500,2.00,0.000000,49
46600,2.00,0.000000,87
46700,2.00,0.000000,14
46800,2.00,0.000000,54
46900,2.00,0.000000,5
47000,2.00,0.000000,105
47100,2.00,0.000000,2
47200,2.00,0.000000,2
47300,2.00,0.000000,26
47400,2.00,0.000000,12
47500,2.00,0.000000,46
47600,2.00,0.000000,38
47700,2.00,0.000000,69
47800,2.00,0.000000,27
47900,2.00,0.000000,0
48000,2.00,0.000000,0
48100,2.00,0.000000,0
48200,2.00,0.000000,43
48300,2.00,0.000000,9
48400,2.00,0.000000,10
48500,2.00,0.000000,11
48600,2.00,0.000000,4
48700,2.00,0.000000,6
48800,2.00,0.000000,4
48900,2.00,0.000000,31
49000,2.00,0.000000,14
49100,2.00,0.000000,14
49200,2.00,0.000000,72
49300,2.00,0.000000,36
49400,2.00,0.000000,41
49500,2.00,0.000000,49
49600,2.00,0.000000,14
49700,2.00,0.000000,4
49800,2.00,0.000000,2
49900,2.00,0.000000,17
50000,2.00,0.000000,41
50100,2.00,0.000000,0
50200,2.00,0.000000,3
50300,2.00,0.000000,47
50400,2.00,0.269409,0
50500,2.00,0.000000,30
50600,2.00,0.000000,130
50700,2.00,0.000000,0
50800,2.00,0.000000,0
50900,2.00,0.000000,0
51000,2.00,0.000000,88
51100,2.00,0.000000,37
51200,2.00,0.000000,3
51300,2.00,0.000000,1
51400,2.00,0.000000,8
51500,2.00,0.000000,3
51600,2.00,0.000000,75
51700,2.00,0.000000,11
51800,2.00,0.000000,4
51900,2.00,0.000000,87
52000,2.00,0.000000,29
52100,2.00,0.000000,35
52200,2.00,0.000000,8
52300,2.00,0.000000,3
52400,2.00,0.000000,14
52500,2.00,0.000000,9
52600,2.00,0.000000,43
52700,2.00,0.000000,29
52800,2.00,0.000000,67
52900,2.00,0.000000,26
53000,2.00,0.000000,0
53100,2.00,0.000000,0
53200,2.00,0.000000,18
53300,2.00,0.000000,0
53400,2.00,0.000000,2
53500,2.00,0.000000,9
53600,2.00,0.000000,20
53700,2.00,0.000000,0
53800,2.00,0.000000,2
53900,2.00,0.000000,3
54000,2.00,0.000000,1
54100,2.00,0.000000,8
54200,2.00,0.000000,2
54300,2.00,0.000000,0
54400,2.00,0.000000,1
54500,2.00,0.000000,0
54600,2.00,0.000000,0
54700,2.00,0.000000,0
54800,2.00,0.000000,1
54900,2.00,0.000000,5
55000,2.00,0.000000,0
55100,2.00,0.000000,2
55200,2.00,0.000000,2
55300,2.00,0.000000,2
55400,2.00,0.000000,4
55500,2.00,0.000000,20
55600,2.00,0.000000,8
55700,2.00,0.000000,0
55800,2.00,0.000000,1
55900,2.00,0.000000,6
56000,2.00,0.000000,6
56100,2.00,0.000000,9
56200,2.00,0.000000,0
56300,2.00,0.000000,2
56400,2.00,0.000000,1
56500,2.00,0.000000,1
56600,2.00,0.000000,0
56700,2.00,0.000000,4
56800,2.00,0.000000,4
