protocol,stage,opaque_token,public_diagnostic,candidate,observed_score,rank,charged_call,detail
round_n_n3,history_row,history-0,d0,primitive_a,1,-1,1,pre_freeze_raw_outcome
round_n_n3,history_row,history-1,d0,primitive_b,0,-1,2,pre_freeze_raw_outcome
round_n_n3,history_row,history-2,d0,primitive_c,0,-1,3,pre_freeze_raw_outcome
round_n_n3,history_row,history-3,d0,primitive_a,1,-1,4,pre_freeze_raw_outcome
round_n_n3,history_row,history-4,d0,primitive_b,0,-1,5,pre_freeze_raw_outcome
round_n_n3,history_row,history-5,d0,primitive_c,0,-1,6,pre_freeze_raw_outcome
round_n_n3,history_row,history-6,d1,primitive_a,0,-1,7,pre_freeze_raw_outcome
round_n_n3,history_row,history-7,d1,primitive_b,1,-1,8,pre_freeze_raw_outcome
round_n_n3,history_row,history-8,d1,primitive_c,0,-1,9,pre_freeze_raw_outcome
round_n_n3,history_row,history-9,d1,primitive_a,0,-1,10,pre_freeze_raw_outcome
round_n_n3,history_row,history-10,d1,primitive_b,1,-1,11,pre_freeze_raw_outcome
round_n_n3,history_row,history-11,d1,primitive_c,0,-1,12,pre_freeze_raw_outcome
round_n_n3,history_row,history-12,d2,primitive_a,0,-1,13,pre_freeze_raw_outcome
round_n_n3,history_row,history-13,d2,primitive_b,0,-1,14,pre_freeze_raw_outcome
round_n_n3,history_row,history-14,d2,primitive_c,1,-1,15,pre_freeze_raw_outcome
round_n_n3,history_row,history-15,d2,primitive_a,0,-1,16,pre_freeze_raw_outcome
round_n_n3,history_row,history-16,d2,primitive_b,0,-1,17,pre_freeze_raw_outcome
round_n_n3,history_row,history-17,d2,primitive_c,1,-1,18,pre_freeze_raw_outcome
round_n_n3,history_row,history-18,d3,primitive_a,1,-1,19,pre_freeze_raw_outcome
round_n_n3,history_row,history-19,d3,primitive_b,0,-1,20,pre_freeze_raw_outcome
round_n_n3,history_row,history-20,d3,primitive_c,0,-1,21,pre_freeze_raw_outcome
round_n_n3,history_row,history-21,d3,primitive_a,1,-1,22,pre_freeze_raw_outcome
round_n_n3,history_row,history-22,d3,primitive_b,0,-1,23,pre_freeze_raw_outcome
round_n_n3,history_row,history-23,d3,primitive_c,0,-1,24,pre_freeze_raw_outcome
round_n_n3,public_diagnostic,N3-A9,d2,none,-1,-1,25,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-A9,d2,primitive_c,1,1,26,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-A9,d2,primitive_a,0,2,27,global_history_only
round_n_n3,blind_control,N3-A9,d2,primitive_a,0,3,28,round_robin_no_history
round_n_n3,public_diagnostic,N3-K4,d0,none,-1,-1,29,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-K4,d0,primitive_a,1,1,30,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-K4,d0,primitive_a,1,2,31,global_history_only
round_n_n3,blind_control,N3-K4,d0,primitive_b,0,3,32,round_robin_no_history
round_n_n3,public_diagnostic,N3-R7,d3,none,-1,-1,33,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-R7,d3,primitive_a,1,1,34,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-R7,d3,primitive_a,1,2,35,global_history_only
round_n_n3,blind_control,N3-R7,d3,primitive_c,0,3,36,round_robin_no_history
round_n_n3,public_diagnostic,N3-B1,d1,none,-1,-1,37,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-B1,d1,primitive_b,1,1,38,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-B1,d1,primitive_a,0,2,39,global_history_only
round_n_n3,blind_control,N3-B1,d1,primitive_a,0,3,40,round_robin_no_history
round_n_n3,public_diagnostic,N3-P8,d0,none,-1,-1,41,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-P8,d0,primitive_a,1,1,42,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-P8,d0,primitive_a,1,2,43,global_history_only
round_n_n3,blind_control,N3-P8,d0,primitive_b,0,3,44,round_robin_no_history
round_n_n3,public_diagnostic,N3-C6,d2,none,-1,-1,45,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-C6,d2,primitive_c,1,1,46,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-C6,d2,primitive_a,0,2,47,global_history_only
round_n_n3,blind_control,N3-C6,d2,primitive_c,1,3,48,round_robin_no_history
round_n_n3,public_diagnostic,N3-W2,d1,none,-1,-1,49,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-W2,d1,primitive_b,1,1,50,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-W2,d1,primitive_a,0,2,51,global_history_only
round_n_n3,blind_control,N3-W2,d1,primitive_a,0,3,52,round_robin_no_history
round_n_n3,public_diagnostic,N3-D5,d3,none,-1,-1,53,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-D5,d3,primitive_a,1,1,54,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-D5,d3,primitive_a,1,2,55,global_history_only
round_n_n3,blind_control,N3-D5,d3,primitive_b,0,3,56,round_robin_no_history
round_n_n3,public_diagnostic,N3-H3,d2,none,-1,-1,57,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-H3,d2,primitive_c,1,1,58,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-H3,d2,primitive_a,0,2,59,global_history_only
round_n_n3,blind_control,N3-H3,d2,primitive_c,1,3,60,round_robin_no_history
round_n_n3,public_diagnostic,N3-L0,d0,none,-1,-1,61,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-L0,d0,primitive_a,1,1,62,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-L0,d0,primitive_a,1,2,63,global_history_only
round_n_n3,blind_control,N3-L0,d0,primitive_a,1,3,64,round_robin_no_history
round_n_n3,public_diagnostic,N3-M9,d1,none,-1,-1,65,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-M9,d1,primitive_b,1,1,66,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-M9,d1,primitive_a,0,2,67,global_history_only
round_n_n3,blind_control,N3-M9,d1,primitive_b,1,3,68,round_robin_no_history
round_n_n3,public_diagnostic,N3-X1,d3,none,-1,-1,69,aggregate_only;not_policy_id
round_n_n3,frozen_memory_choice,N3-X1,d3,primitive_a,1,1,70,history_ranked_before_outcome
round_n_n3,family_prior_control,N3-X1,d3,primitive_a,1,2,71,global_history_only
round_n_n3,blind_control,N3-X1,d3,primitive_c,0,3,72,round_robin_no_history
round_n_n3,VERDICT,all,aggregate,history_memory,1,-1,0,CONTROLLED_LIMITED_POSITIVE:memory=12/12;family_prior=6/12;blind=4/12
