trial,phase,min_dist,nearest,closure,mean_dist,max_dist,past_envelope
0,0,291,VOID,16390104,300.2000,331,1
1,0,291,VOID,16965695,300.2000,331,1
2,0,291,VOID,15630869,300.2000,331,1
3,0,291,VOID,16403648,300.2000,331,1
4,0,291,VOID,15720348,300.2000,331,1
5,0,291,VOID,16579545,300.2000,331,1
6,0,291,VOID,14795384,300.2000,331,1
7,0,291,VOID,17011525,300.2000,331,1
8,0,291,VOID,16529926,300.2000,331,1
9,0,291,VOID,17132758,300.2000,331,1
10,0,291,VOID,15404291,300.2000,331,1
11,0,291,VOID,16640668,300.2000,331,1
12,0,291,VOID,16555813,300.2000,331,1
13,0,291,VOID,15395472,300.2000,331,1
14,0,291,VOID,17393901,300.2000,331,1
15,0,291,VOID,15675443,300.2000,331,1
