iter,best_avalanche,best_balance,best_period,best_chisq,best_length,best_composite,accepted,beats_ref
0,21.7236,31.4453,4096,284.6250,5,-58.3334,0,0
1,21.7236,31.4453,4096,284.6250,5,-58.3334,1,0
2,21.7236,31.4453,4096,284.6250,5,-58.3334,2,0
3,21.7236,31.4453,4096,284.6250,5,-58.3334,2,0
4,21.7236,31.4453,4096,284.6250,5,-58.3334,3,0
5,24.5283,32.1992,4096,242.3750,4,-27.7129,4,0
6,24.5283,32.1992,4096,242.3750,4,-27.7129,4,0
7,24.5283,32.1992,4096,242.3750,4,-27.7129,5,0
8,24.5283,32.1992,4096,242.3750,4,-27.7129,6,0
9,24.5283,32.1992,4096,242.3750,4,-27.7129,7,0
10,24.5283,32.1992,4096,242.3750,4,-27.7129,7,0
11,24.5283,32.1992,4096,242.3750,4,-27.7129,8,0
12,24.5283,32.1992,4096,242.3750,4,-27.7129,8,0
13,24.5283,32.1992,4096,242.3750,4,-27.7129,9,0
14,24.5283,32.1992,4096,242.3750,4,-27.7129,10,0
15,24.5283,32.1992,4096,242.3750,4,-27.7129,10,0
16,24.5283,32.1992,4096,242.3750,4,-27.7129,10,0
17,24.5283,32.1992,4096,242.3750,4,-27.7129,11,0
18,24.5283,32.1992,4096,242.3750,4,-27.7129,12,0
19,24.5283,32.1992,4096,242.3750,4,-27.7129,13,0
20,24.5283,32.1992,4096,242.3750,4,-27.7129,14,0
21,24.5283,32.1992,4096,242.3750,4,-27.7129,15,0
22,24.5283,32.1992,4096,242.3750,4,-27.7129,15,0
23,24.5283,32.1992,4096,242.3750,4,-27.7129,16,0
24,24.5283,32.1992,4096,242.3750,4,-27.7129,17,0
25,24.5283,32.1992,4096,242.3750,4,-27.7129,18,0
26,24.5283,32.1992,4096,242.3750,4,-27.7129,18,0
27,24.5283,32.1992,4096,242.3750,4,-27.7129,19,0
28,24.5283,32.1992,4096,242.3750,4,-27.7129,20,0
29,24.5283,32.1992,4096,242.3750,4,-27.7129,21,0
30,24.5283,32.1992,4096,242.3750,4,-27.7129,21,0
31,24.5283,32.1992,4096,242.3750,4,-27.7129,22,0
32,24.5283,32.1992,4096,242.3750,4,-27.7129,23,0
33,24.5283,32.1992,4096,242.3750,4,-27.7129,24,0
34,24.5283,32.1992,4096,242.3750,4,-27.7129,25,0
35,24.5283,32.1992,4096,242.3750,4,-27.7129,26,0
36,24.5283,32.1992,4096,242.3750,4,-27.7129,26,0
37,24.5283,32.1992,4096,242.3750,4,-27.7129,27,0
38,24.5283,32.1992,4096,242.3750,4,-27.7129,28,0
39,24.5283,32.1992,4096,242.3750,4,-27.7129,29,0
40,24.5283,32.1992,4096,242.3750,4,-27.7129,29,0
41,24.5283,32.1992,4096,242.3750,4,-27.7129,29,0
42,24.5283,32.1992,4096,242.3750,4,-27.7129,30,0
43,24.5283,32.1992,4096,242.3750,4,-27.7129,30,0
44,24.5283,32.1992,4096,242.3750,4,-27.7129,31,0
45,27.4443,32.2461,4096,260.3750,4,1.1591,32,0
46,27.4443,32.2461,4096,260.3750,4,1.1591,32,0
47,27.4443,32.2461,4096,260.3750,4,1.1591,33,0
48,27.4443,32.2461,4096,260.3750,4,1.1591,34,0
49,27.4443,32.2461,4096,260.3750,4,1.1591,34,0
50,27.4443,32.2461,4096,260.3750,4,1.1591,35,0
51,27.4443,32.2461,4096,260.3750,4,1.1591,36,0
52,27.4443,32.2461,4096,260.3750,4,1.1591,37,0
53,27.4443,32.2461,4096,260.3750,4,1.1591,37,0
54,27.4443,32.2461,4096,260.3750,4,1.1591,38,0
55,27.4443,32.2461,4096,260.3750,4,1.1591,38,0
56,27.4443,32.2461,4096,260.3750,4,1.1591,39,0
57,27.4443,32.2461,4096,260.3750,4,1.1591,40,0
58,27.4443,32.2461,4096,260.3750,4,1.1591,41,0
59,27.4443,32.2461,4096,260.3750,4,1.1591,42,0
60,27.4443,32.2461,4096,260.3750,4,1.1591,43,0
61,27.4443,32.2461,4096,260.3750,4,1.1591,44,0
62,27.4443,32.2461,4096,260.3750,4,1.1591,45,0
63,27.4443,32.2461,4096,260.3750,4,1.1591,45,0
64,27.4443,32.2461,4096,260.3750,4,1.1591,46,0
65,27.4443,32.2461,4096,260.3750,4,1.1591,46,0
66,27.4443,32.2461,4096,260.3750,4,1.1591,46,0
67,27.4443,32.2461,4096,260.3750,4,1.1591,47,0
68,27.4443,32.2461,4096,260.3750,4,1.1591,48,0
69,27.4443,32.2461,4096,260.3750,4,1.1591,49,0
70,27.4443,32.2461,4096,260.3750,4,1.1591,50,0
71,27.4443,32.2461,4096,260.3750,4,1.1591,50,0
72,27.4443,32.2461,4096,260.3750,4,1.1591,51,0
73,27.4443,32.2461,4096,260.3750,4,1.1591,51,0
74,27.4443,32.2461,4096,260.3750,4,1.1591,52,0
75,27.4443,32.2461,4096,260.3750,4,1.1591,53,0
76,27.4443,32.2461,4096,260.3750,4,1.1591,54,0
77,27.4443,32.2461,4096,260.3750,4,1.1591,55,0
78,27.4443,32.2461,4096,260.3750,4,1.1591,55,0
79,27.4443,32.2461,4096,260.3750,4,1.1591,55,0
