target,seed,budget,order,candidate_calls,best_validation_accuracy,test_accuracy,exact_reach,correct_directed_separation,response_decision
global,0xA300000000000001,8,base,16,0.5746,0.5917,NO,YES,absent
global,0xA300000000000001,8,mask_permuted,16,0.5729,0.6283,NO,YES,absent
global,0xA300000000000001,8,residue_permuted,16,0.5529,0.5633,NO,YES,absent
global,0xA300000000000001,8,random_iid_0,16,0.5213,0.5050,NO,YES,absent
global,0xA300000000000001,8,random_iid_1,16,0.5471,0.5900,NO,YES,absent
global,0xA300000000000001,8,random_iid_2,16,0.5508,0.5550,NO,YES,absent
global,0xA300000000000001,8,random_iid_3,16,0.5483,0.5267,NO,YES,absent
global,0xA300000000000001,16,base,32,0.5746,0.5917,NO,YES,absent
global,0xA300000000000001,16,mask_permuted,32,0.5729,0.6283,NO,YES,absent
global,0xA300000000000001,16,residue_permuted,32,0.5529,0.5633,NO,YES,absent
global,0xA300000000000001,16,random_iid_0,32,0.5379,0.5467,NO,YES,absent
global,0xA300000000000001,16,random_iid_1,32,0.5404,0.5400,NO,YES,absent
global,0xA300000000000001,16,random_iid_2,32,0.5492,0.5550,NO,YES,absent
global,0xA300000000000001,16,random_iid_3,32,0.5438,0.5350,NO,YES,absent
global,0xA300000000000001,32,base,64,0.5746,0.5917,NO,YES,absent
global,0xA300000000000001,32,mask_permuted,64,0.5729,0.6283,NO,YES,absent
global,0xA300000000000001,32,residue_permuted,64,0.5529,0.5633,NO,YES,absent
global,0xA300000000000001,32,random_iid_0,64,0.5554,0.5467,NO,YES,absent
global,0xA300000000000001,32,random_iid_1,64,0.5658,0.5650,NO,YES,absent
global,0xA300000000000001,32,random_iid_2,64,0.5750,0.5867,NO,YES,absent
global,0xA300000000000001,32,random_iid_3,64,0.5708,0.5833,NO,YES,absent
global,0xA300000000000001,64,base,128,0.5746,0.5917,NO,YES,absent
global,0xA300000000000001,64,mask_permuted,128,0.5729,0.6283,NO,YES,absent
global,0xA300000000000001,64,residue_permuted,128,0.5742,0.5867,NO,YES,absent
global,0xA300000000000001,64,random_iid_0,128,0.5721,0.5317,NO,YES,absent
global,0xA300000000000001,64,random_iid_1,128,0.5475,0.5317,NO,YES,absent
global,0xA300000000000001,64,random_iid_2,128,0.5742,0.5867,NO,YES,absent
global,0xA300000000000001,64,random_iid_3,128,0.5742,0.5867,NO,YES,absent
global,0xA300000000000001,128,base,256,0.5746,0.5917,NO,YES,absent
global,0xA300000000000001,128,mask_permuted,256,0.5729,0.6283,NO,YES,absent
