seed,novel,irreducible,killtest_ok
1,4,0,1
2,6,0,1
7,4,0,1
42,4,0,1
99,5,0,1
1000,5,0,1
0x1111,6,0,1
0xBEEF,8,0,1
0xC0FFEE,7,0,1
0xD00D,6,1,1
0xACE,3,0,1
0x5EED,6,0,1
0xFACE,5,0,1
0x1234,6,0,1
0xABCD,6,0,1
0x9999,5,0,1
TOTALS,seeds=16,novel=86,irreducible=1,killtest_ok=16
