trial,seed,closure_initial,closure_relaxed,nearest,nearest_dist,mean_vsa,max_vsa
0,6e789e6aa1b965f4,377232993,7486386,REASON,240,252.8000,264
1,beeb8da1658eec67,385913897,7620839,IDENTITY,241,255.1000,271
2,bfc846100bfc1e42,378951276,7470100,AETHER,239,252.9000,266
3,b3466f8a7b81a989,392913726,7468967,SYNTAX,239,255.8000,272
4,e474c66a4b98b030,380489443,7444336,SHADOW,242,252.7000,265
5,c097314d939736f8,376977059,7567463,IDENTITY,235,254.0000,271
6,72419db23951df99,392610674,7528082,SHADOW,239,253.8000,275
7,44c3cd7f43c661c,384435566,7459903,AETHER,238,254.7000,266
8,9ca8a164477d7801,396351553,7382524,IDENTITY,238,252.8000,269
9,c02d8a5e87afea62,396081551,7450792,AETHER,242,254.1000,268
10,bbff7c596e26ce46,380731043,7452838,NETWORK,243,254.3000,274
11,432a5cd27a6b13a1,387548239,7675897,IDENTITY,241,255.3000,271
12,f080aa269da8a457,392845935,7484694,SYNTAX,242,254.2000,267
13,5424e3deaf36a071,389155958,7438084,SHADOW,236,254.8000,272
14,124119f8f5acc27a,353783783,7501149,IDENTITY,242,252.9000,268
15,c7b81777bba81f50,394943217,7521154,SHADOW,239,253.1000,270
16,145a11cac985644b,383869651,7436339,IDENTITY,242,253.8000,264
17,6434ff62b4e8edd1,402458303,7552280,AETHER,240,255.1000,278
18,b6d46a242257c018,391137716,7542767,SHADOW,232,254.2000,269
19,1ddb4fcdd7c6d93a,396146895,7395598,AETHER,240,252.5000,272
20,4f73460a7fd6485,381369715,7475621,REASON,242,252.1000,270
21,ea4fff2925fed5bf,403074422,7400668,SYNTAX,243,253.0000,269
22,ef9983fb367d464e,416269076,7394933,SHADOW,240,252.7000,272
23,993810e13b72e5f7,380466875,7493492,IDENTITY,239,254.8000,271
24,a56a748bb815cbab,387086087,7502569,AETHER,238,251.8000,266
25,21541a4c43555ce8,405338765,7513570,AETHER,238,253.6000,276
26,74196ed460e5206b,393562410,7503683,IDENTITY,241,252.3000,269
27,abf8064ca5c7fe0a,393343953,7518913,SHADOW,234,254.1000,267
28,b579d288df624bb6,388501084,7434879,AETHER,238,253.2000,276
29,ba57b7db607f9d1a,384224007,7527743,SHADOW,243,252.6000,268
30,b8677ef8de17555c,383383900,7554773,IDENTITY,242,253.1000,265
31,bcd4dd2543bf3fd8,396290878,7528413,IDENTITY,243,253.8000,271
32,98129755f89e39e4,383079742,7533854,IDENTITY,239,254.0000,268
33,134268759688c202,385784966,7556878,IDENTITY,236,254.4000,266
34,ce4c7f759a91ae81,388534625,7414774,IDENTITY,240,253.2000,265
35,9a8c505971939232,376519005,7631675,IDENTITY,241,255.0000,273
36,56bdc90c44f66b09,382566013,7568890,SHADOW,235,254.3000,268
37,b667b9039ae8a58a,382927626,7485720,IDENTITY,241,254.6000,277
38,1ded1ddfeec586e,365829583,7416462,AETHER,238,253.9000,276
39,e60bb9617aa6ed70,406190553,7393298,IDENTITY,238,252.6000,270
40,f8ef8aea0035a71b,378793674,7569872,SYNTAX,237,253.2000,269
41,992ffac69a7acd4c,377170316,7449705,IDENTITY,240,253.7000,270
42,28efe333b266f103,401110599,7505216,IDENTITY,241,252.8000,269
43,9cde98852e60034b,387648666,7418261,IDENTITY,238,253.1000,270
44,90f83af9167b6122,385992673,7499895,IDENTITY,237,254.2000,268
45,fb624bd98f2be6c4,392664202,7453390,SHADOW,238,255.1000,272
46,2d68938cb83c2015,387845970,7572478,SHADOW,240,253.5000,267
47,4a0fc32026e8cb6b,373349704,7543543,SYNTAX,240,255.3000,275
48,a9d2046c27881241,397863997,7452743,SYNTAX,242,255.5000,271
49,5a07ae9ef28d51cb,388360629,7513505,AETHER,241,252.8000,270
50,93eb5f0779e66277,398086489,7486681,IDENTITY,235,253.4000,270
51,5080e4863a45d029,377098202,7493344,SYNTAX,238,256.6000,277
52,37d84341320ed7ec,388568590,7497146,AETHER,239,253.0000,271
53,cc8037f0f65b12,392084209,7500581,SYNTAX,242,253.6000,270
54,4e7520c435bcdebe,380304915,7579343,SHADOW,241,255.1000,274
55,7ed9fb4d4dcc031,387710691,7458248,SHADOW,238,253.3000,271
56,b3d87520d2949899,386078968,7551824,SYNTAX,237,252.6000,271
57,70cfa3bb5ab58416,394321013,7461853,AETHER,241,254.4000,271
58,6d716e8fbd19e98f,381285672,7534346,SHADOW,235,251.9000,267
59,89da4eb3e88436d0,399154350,7465132,SYNTAX,236,254.8000,277
60,22dd9b63a548252f,392667202,7569130,SHADOW,238,255.5000,273
61,afa20b6f26a059f,395941252,7468298,AETHER,237,252.3000,271
62,bcb971f459c962ec,382938097,7578176,SYNTAX,241,253.6000,276
