artifact,fixture,decision,detail
round_aq_aq1,opaque_train_observation,allow,RAW_OBS:0x97;ACTION:0x11;NONCE:opaque
round_aq_aq1,opaque_heldout_observation,allow,RAW_OBS:0x56;ACTION:0x2b;NONCE:opaque
round_aq_aq1,normal_opaque_observation_then_raw_action,allow,ALLOW:bounded_raw_action_observed_train_and_heldout_end_only
round_aq_aq1,attempt_source_world_mutation,deny,DENY:evaluator_source_world_is_read_only_and_not_in_candidate_protocol
round_aq_aq1,attempt_answer_score_or_progress_request,deny,DENY:no_answer_score_or_progress_channel_before_end_receipt
round_aq_aq1,attempt_heldout_training_overlap,deny,DENY:train_and_heldout_world_ids_are_disjoint_and_recoded
round_aq_aq1,attempt_provenance_mismatch,deny,DENY:evaluator_provenance_digest_mismatch
round_aq_aq1,provenance,allow,SOURCE_DIGEST:fnv1a64:3b6e06a8b1f1d56c;EVALUATOR_OWNED
round_aq_aq1,audit,allow,COVERAGE:normal=1_mutation=1_answer_score_progress=1_overlap=1_provenance=1
round_aq_aq1,audit,allow,GATE_READY:adapter_protocol_only_not_real_world_knowledge_autonomy_or_containment_proof
