trial,min_ref_dist,mean_ref_dist,violations,frontier,score,past_parent,field_hash
0,295,297.2083,1479,295,294998525124133000,1,0x382B884BA6ED7005
1,295,296.1250,1482,295,294998522514107000,1,0x20985D6E823F158E
2,296,297.4583,1484,296,295998520336139000,1,0xF5F4A345949EE7E8
3,295,296.4583,1482,295,294998522320115000,1,0x351E3EEE0C0D10C9
4,295,296.6250,1478,295,294998526317119000,1,0x65876ABF20E2D5BA
5,295,296.5417,1483,295,294998521316117000,1,0x22D76490FAE76AF2
6,295,296.0417,1483,295,294998521511105000,1,0x4464409E41311C04
7,295,296.2917,1481,295,294998523510111000,1,0x9E3BA609EAF8AE75
8,295,296.7917,1469,295,294998534928123000,1,0x7D8C1201C20DFC36
9,296,296.7917,1489,296,295998515730123000,1,0x26AD3B6E68AAA123
10,295,296.4583,1477,295,294998527318115000,1,0xC979F8AE67793B95
11,295,296.0417,1470,295,294998534512105000,1,0xDC8071C8B2C4CA85
12,295,296.4583,1471,295,294998533115115000,1,0x226B0B33A78ED0A8
13,295,296.4583,1477,295,294998527120115000,1,0x7894E19B6F705313
14,296,297.0417,1482,296,295998522531129000,1,0x5412E401A4765E9E
15,295,296.6250,1475,295,294998529119119000,1,0xC303163D93A95A80
