artifact,policy,charged_raw_contacts,hidden_unseen_material,exact_portfolio_routes,reuse_authorizations,explores,verdict
round_am_am5,earned_portfolio,4320,5760,288,288,0,FOUNDATION_POSITIVE:earned_cohort_local_portfolio_strictly_beats_all_equal_cost_controls_after_private_recoding_and_causal_law_shift
round_am_am5,am4_single_record,4320,2880,0,255,33,CONTROL:AM4_single_record_chain
round_am_am5,fixed_broad_coverage,4320,1400,0,0,0,CONTROL:fixed_generic_broad_coverage
round_am_am5,fixed_portfolio_schedule,4320,1400,0,0,0,CONTROL:fixed_portfolio_schedule
round_am_am5,random,4320,1500,0,0,0,CONTROL:deterministic_generic_random
round_am_am5,replay,4320,1160,0,245,43,CONTROL:previous_cohort_portfolio
round_am_am5,shuffled_history,4320,1420,0,237,51,CONTROL:provenance_shuffled_history
round_am_am5,blank_no_relevance,4320,1340,0,0,0,CONTROL:blank_no_relevance
round_am_am5,answer_memory_scrubbed,4320,1340,0,0,0,CONTROL:answer_memory_scrubbed_no_trace
round_am_am5,topology_relevance_ablation,4320,1340,0,0,0,CONTROL:topology_relevance_removed
round_am_am5,value_ablation,4320,1540,0,0,0,CONTROL:value_authorization_removed
round_am_am5,arbitration_ablation,4320,1540,0,0,0,CONTROL:reuse_explore_arbitration_removed
round_am_am5,mechanism_misrouting,4320,0,0,288,0,CONTROL:explicit_wrong_mechanism_record
round_am_am5,audit,0,0,0,0,0,MANIFEST_CONDITIONAL_ACCEPT:response_only_append_only_intervention_trace_provenance_only
round_am_am5,audit,0,0,0,0,0,CHECK:records_contain_raw_action_trace_evidence_and_provenance_only
round_am_am5,audit,0,0,0,0,0,CHECK:no_labels_ids_targets_answers_scores_uncertainty_feedback_task_menu_or_answer_retention_in_policy_state
round_am_am5,audit,0,0,0,0,0,CHECK:no_supplied_graph_static_vector_fixed_motif_schedule_or_task_router_in_candidate_path
round_am_am5,audit,0,0,0,0,0,CHECK:cohorts_regimes_have_private_recoding_causal_law_shift_and_disjoint_nonces
round_am_am5,audit,0,0,0,0,0,LIMIT:source_visible_AM3_compatible_manifest_audit_is_not_runtime_or_hostile_containment
round_am_am5,audit,0,0,0,0,0,LIMIT:bounded_synthetic_portfolio_transfer_is_not_open_ended_autonomy
