bulk,seed,round,pool_size,n_d3,n_payoff_pos,n_certified,n_stones_considered,best_payoff,event,promoted_len,agree_s1,agree_s2,f_reach,e_reach,new_f,new_e,ms
300,0xA70F,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
300,0xA70F,1,600,594,0,0,0,0,fallback_promote,17,-1.0000,-1.0000,0,3,0,0,18114
300,0xA70F,2,706,704,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,1,31002
300,0xA70F,3,544,128,0,0,0,0,fallback_promote,23,-1.0000,-1.0000,0,4,0,0,12514
300,0xA70F,4,588,169,0,0,0,0,fallback_promote,25,-1.0000,-1.0000,0,4,0,0,19846
300,0xA70F,5,528,91,0,0,0,0,fallback_promote,5,-1.0000,-1.0000,0,4,0,0,16032
300,0xA70F,6,476,94,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,0,19504
300,0xA70F,7,873,276,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,0,56801
300,0xA70F,8,1447,177,0,0,0,0,fallback_promote,15,-1.0000,-1.0000,0,4,0,0,51096
300,0xA70F,9,568,92,0,0,0,0,fallback_promote,6,-1.0000,-1.0000,0,4,0,0,34022
300,0xA70F,10,552,145,0,0,0,0,fallback_promote,9,-1.0000,-1.0000,0,4,0,0,56365
0,0xA70F,0,0,0,0,0,0,0,baseline,0,0,0,0,3,0,0,0
0,0xA70F,1,300,295,0,0,0,0,fallback_promote,17,-1.0000,-1.0000,0,3,0,0,11953
0,0xA70F,2,406,405,0,0,0,0,fallback_promote,13,-1.0000,-1.0000,0,4,0,1,21206
0,0xA70F,3,244,97,0,0,0,0,fallback_promote,11,-1.0000,-1.0000,0,4,0,0,11087
0,0xA70F,4,288,127,0,0,0,0,fallback_promote,16,-1.0000,-1.0000,0,4,0,0,15934
0,0xA70F,5,228,58,0,0,0,0,fallback_promote,4,-1.0000,-1.0000,0,4,0,0,11817
