pool_id,N,D,entropy,E_total,evals_actual,repeat,reach,ooc6,ooc7,has_req6,has_req7,falsification_pool_solve,falsification_solo_solve,falsification_ooc
0,1,1,0.0000,120,351,0,0.0,false,false,false,false,false,false,false
1,1,1,0.0000,120,45,1,0.0,false,false,false,false,false,false,false
2,1,1,0.0000,120,828,2,0.0,false,false,false,false,false,false,false
3,1,1,0.0000,240,576,0,0.0,false,false,false,false,false,false,false
4,1,1,0.0000,240,828,1,0.0,false,false,false,false,false,false,false
5,1,1,0.0000,240,351,2,0.0,false,false,false,false,false,false,false
6,1,1,0.0000,480,252,0,0.0,false,false,false,false,false,false,false
7,1,1,0.0000,480,45,1,0.0,false,false,false,false,false,false,false
8,1,1,0.0000,480,576,2,0.0,false,false,false,false,false,false,false
9,1,1,0.0000,960,252,0,0.0,false,false,false,false,false,false,false
10,1,1,0.0000,960,576,1,0.0,false,false,false,false,false,false,false
11,1,1,0.0000,960,351,2,0.0,false,false,false,false,false,false,false
12,1,1,0.0000,1920,828,0,0.0,false,false,false,false,false,false,false
13,1,1,0.0000,1920,351,1,0.0,false,false,false,false,false,false,false
14,1,1,0.0000,1920,828,2,0.0,false,false,false,false,false,false,false
15,2,1,0.0000,120,1107,0,0.0,false,false,false,false,false,false,false
16,2,1,0.0000,120,1107,1,0.0,false,false,false,false,false,false,false
17,2,1,0.0000,120,117,2,0.0,false,false,false,false,false,false,false
18,2,1,0.0000,240,1683,0,0.0,false,false,false,false,false,false,false
19,2,1,0.0000,240,729,1,0.0,false,false,false,false,false,false,false
20,2,1,0.0000,240,1683,2,0.0,false,false,false,false,false,false,false
21,2,1,0.0000,480,117,0,0.0,false,false,false,false,false,false,false
22,2,1,0.0000,480,117,1,0.0,false,false,false,false,false,false,false
23,2,1,0.0000,480,1683,2,0.0,false,false,false,false,false,false,false
24,2,1,0.0000,960,729,0,0.0,false,false,false,false,false,false,false
25,2,1,0.0000,960,117,1,0.0,false,false,false,false,false,false,false
26,2,1,0.0000,960,531,2,0.0,false,false,false,false,false,false,false
27,2,1,0.0000,1920,1179,0,0.0,false,false,false,false,false,false,false
28,2,1,0.0000,1920,531,1,0.0,false,false,false,false,false,false,false
29,2,1,0.0000,1920,1683,2,0.0,false,false,false,false,false,false,false
30,2,2,1.0000,120,1107,0,0.0,false,false,false,false,false,false,false
31,2,2,1.0000,120,630,1,0.0,false,false,false,false,false,false,false
32,2,2,1.0000,120,612,2,0.0,false,false,false,false,false,false,false
33,2,2,1.0000,240,324,0,1.0,false,true,false,true,false,false,false
34,2,2,1.0000,240,630,1,0.0,false,false,false,false,false,false,false
35,2,2,1.0000,240,1683,2,0.0,false,false,false,false,false,false,false
