mode,corpus_size,sentences_used,related_mean,overlap_mean,cohens_d,welch_t,p_one_tailed_R_lt_O
byte,0,0,26.573034,9.172414,1.368331,9.051376,1.000000
byte,100,100,31.831461,11.252874,1.678919,11.044020,1.000000
byte,1000,1000,30.539326,9.908046,1.896063,12.478711,1.000000
byte,10000,10000,31.752809,11.160920,1.697783,11.168579,1.000000
