artifact,stage,anonymous_request,public_failure,material_passport,chosen_material,charged_call,arm,detail
round_q_q2,inspect,anonymous_event,residual_cardinality,approved_core:bounded_aggregate,aggregate_fold,1,failure_scout,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_cardinality,approved_core:bounded_aggregate,aggregate_fold,1,failure_scout,pre_evaluation_material_request
round_q_q2,inspect,anonymous_event,residual_cardinality,approved_core:bounded_aggregate,aggregate_fold,1,material_prior,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_cardinality,approved_core:bounded_aggregate,aggregate_fold,1,material_prior,pre_evaluation_material_request
round_q_q2,inspect,anonymous_event,residual_cardinality,approved_core:bounded_aggregate,aggregate_fold,1,blind_cycle,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_cardinality,approved_core:bounded_aggregate,aggregate_fold,1,blind_cycle,pre_evaluation_material_request
round_q_q2,inspect,anonymous_event,residual_pairwise,approved_core:pair_relation,relational_fold,1,failure_scout,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_pairwise,approved_core:pair_relation,relational_fold,1,failure_scout,pre_evaluation_material_request
round_q_q2,inspect,anonymous_event,residual_pairwise,approved_core:bounded_aggregate,aggregate_fold,1,material_prior,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_pairwise,approved_core:bounded_aggregate,aggregate_fold,1,material_prior,pre_evaluation_material_request
round_q_q2,inspect,anonymous_event,residual_pairwise,approved_core:bounded_aggregate,aggregate_fold,1,blind_cycle,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_pairwise,approved_core:bounded_aggregate,aggregate_fold,1,blind_cycle,pre_evaluation_material_request
round_q_q2,inspect,anonymous_event,residual_transition,approved_core:ordered_transition,sequential_fold,1,failure_scout,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_transition,approved_core:ordered_transition,sequential_fold,1,failure_scout,pre_evaluation_material_request
round_q_q2,inspect,anonymous_event,residual_transition,approved_core:bounded_aggregate,aggregate_fold,1,material_prior,typed_public_descriptor
round_q_q2,request,anonymous_event,residual_transition,approved_core:bounded_aggregate,aggregate_fold,1,material_prior,pre_evaluation_material_request
