mode,corpus_size,sentences_used,related_mean,overlap_mean,cohens_d,welch_t,p_one_tailed_R_lt_O
contextual,0,0,30.853933,30.839080,0.003168,0.021015,0.508383
contextual,100,100,31.561798,31.540230,0.005045,0.033477,0.513353
contextual,1000,1000,31.910112,32.011494,-0.024072,-0.159588,0.436603
contextual,10000,10000,31.887640,32.275862,-0.105543,-0.701000,0.241651
contextual,100000,100000,32.505618,32.471264,0.009305,0.061842,0.524656
contextual,1000000,1000000,32.056180,31.563218,0.119357,0.791218,0.785592
