mode,run,seed,iters,pool,pool_seeds,max_len,allow_step,consts,rng,novelty_weight,best_iter,avalanche,balance,period,chisq,length,base_composite,novelty,score,delta_ref,accepted,evaluated,edge_avalanche,fixed_points,zero_outputs,unique_low16,zero_out,one_out,ones_out,program_hash,beats_ref
random,0,0x94AF049176F813D0,300,16,32,8,0,standard,discovered,0.0000,61,25.4172,32.2422,4096,247.5000,6,-20.0386,1.1927,-20.0386,-66.2402,1,301,24.8547,1,1,3987,0x0,0x95886400C0AD8F45,0x75886300C0AD8F44,0xE40372EB24AD38A4,0
random,1,0xD0A1FAB9C695D06D,300,16,32,8,0,standard,discovered,0.0000,272,19.7314,31.9961,4096,268.1250,5,-75.3363,1.0469,-75.3363,-121.5380,8,301,19.6656,0,0,4096,0xF99B75F963A3BC72,0xB61CCB93085751BF,0x3D1A205FBEF02725,0x98652350309442C4,0
anneal,0,0x34108E6947FA7DD2,300,16,32,8,0,standard,discovered,0.0000,250,31.9341,31.9336,4096,259.3750,5,46.4650,0.7917,46.4650,0.2634,94,332,32.1078,1,1,3953,0x0,0x1A5DED5471A0F519,0x7B7B32596402CAA,0x354B8636920DC47C,1
anneal,1,0xF097A027BB1D838D,300,16,32,8,0,standard,discovered,0.0000,232,18.5994,32.0391,4096,242.3750,4,-86.2017,1.0599,-86.2017,-132.4033,157,332,18.2047,1,1,1,0x0,0x9F5D1B5A62900000,0xAA0DB60A2E4A59D7,0x4EA3B1D1FD63447B,0
crossover,0,0x2D52AA4A5D1F7D3B,300,16,32,8,0,standard,discovered,0.0000,285,17.7588,31.9063,4096,268.1250,4,-95.0121,1.0964,-95.0121,-141.2138,188,332,17.7766,0,0,4096,0xE2B5C6A7B195E76B,0x1A08375D5EEBB1EC,0x549CAA0DFBBFE316,0xFA77BFD014AE0D40,0
crossover,1,0x570153EDC65ECC62,300,16,32,8,0,standard,discovered,0.0000,218,25.4150,32.1055,4096,250.2500,8,-20.3770,1.3854,-20.3770,-66.5786,142,332,25.1656,1,1,4096,0x0,0xE5F1B1900E3237CD,0xEB074C0000000000,0x8B7BFB0B483F26A9,0
guided,0,0x5018DCDDA672D287,300,16,32,8,0,standard,discovered,0.0000,212,29.0439,31.7734,4096,224.7500,4,17.3066,1.0156,17.3066,-28.8950,190,332,28.8453,1,1,3928,0x0,0x61B50247B62D5C90,0x3CAD6602DAB89F6D,0xAB444D1F0F538EBF,0
guided,1,0x5706BE23C3D6F7F3,300,16,32,8,0,standard,discovered,0.0000,278,27.0410,32.1445,4096,273.1250,4,-2.4938,0.8802,-2.4938,-48.6954,210,332,25.5438,1,1,4096,0x0,0xC60F52CD685A5345,0x7A5ACBB000000000,0x977404CF8C060CFE,0
