n,label,bits,seed_hex,learned_length,fixed_portfolio_length,fixed_simplification_length,equality_saturation_length,brute_force_length,random_length,replay_length,no_memory_length,no_probe_length,learned_delta_fixed,learned_delta_replay,learned_grammar,learned_base,learned_builds,equality_work,equality_unit,brute_work,brute_unit,random_work,random_unit,replay_work,replay_equal,equivalence_valid,reuse_calls,learned_reuse_multiplications,fixed_reuse_multiplications
203134444,HELDOUT,28,0x4BD9C10F9A08489B,35,35,41,38,41,41,37,35,35,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1470,1470
796832860269,HELDOUT,40,0x07581B1F7C505AD6,49,49,57,54,57,57,51,49,49,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,2058,2058
199000391681,HELDOUT,38,0xA3534BE11C01D81C,44,44,49,49,49,49,47,44,44,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1848,1848
31743527874,HELDOUT,35,0xCEAA7CA5E15253DC,43,43,51,46,51,51,47,43,43,0,4,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1806,1806
42638880,HELDOUT,26,0xE11A0A3CEFBC949C,31,31,34,34,34,34,33,31,31,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1302,1302
10369780,HELDOUT,24,0x7E8AF2DE85307CCA,30,30,36,30,36,36,30,30,30,0,0,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1260,1260
168568595065,HELDOUT,38,0x81E9D84BA903E5D5,48,48,58,52,58,58,51,48,48,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,2016,2016
73762772,HELDOUT,27,0xE540782584ACA91B,34,34,38,35,38,38,37,34,34,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1428,1428
24379472,HELDOUT,25,0x04D5682E4537D237,28,28,30,30,30,30,30,28,28,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1176,1176
59884306795,HELDOUT,36,0x827A44B4509902F3,43,43,51,47,51,51,50,43,43,0,7,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1806,1806
185555106356,HELDOUT,38,0xAC15B742BD007A2A,48,48,56,50,56,56,50,48,48,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,2016,2016
1553443538,HELDOUT,31,0x4B49DC40446B8EC7,38,38,46,43,46,46,42,38,38,0,4,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1596,1596
8517823,HELDOUT,24,0xF38D976D1F35AD6D,30,30,36,32,36,36,32,30,30,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1260,1260
929279036,HELDOUT,30,0x8D1F5004F1426DA6,37,37,45,39,45,45,38,37,37,0,1,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1554,1554
13021961403,HELDOUT,34,0xBE64FD34B4676EA4,43,43,49,45,49,49,45,43,43,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1806,1806
10647169,HELDOUT,24,0x86C7C56FAD844B9B,29,29,32,31,32,32,31,29,29,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1218,1218
8929604804,HELDOUT,34,0x8E6C85887F9745CC,42,42,48,44,48,48,44,42,42,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1764,1764
15390713,HELDOUT,24,0x98789835009F1244,31,31,39,32,39,39,35,31,31,0,4,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1302,1302
2885016031,HELDOUT,32,0x32D004F071297B9D,41,41,53,44,53,53,43,41,41,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1722,1722
16702298,HELDOUT,24,0x33DF750E10AC3FB1,31,31,39,32,39,39,34,31,31,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1302,1302
8301558012,HELDOUT,33,0xFD7BC50B1D9CB393,42,42,54,46,54,54,47,42,42,0,5,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1764,1764
2985004095,HELDOUT,32,0xDAA38DBCC173383B,40,40,49,41,49,49,42,40,40,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1680,1680
10274970795,HELDOUT,34,0x632C27035AEE5387,43,43,51,48,51,51,47,43,43,0,4,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1806,1806
3304952788,HELDOUT,32,0x25EAB88544ECED6C,40,40,48,43,48,48,42,40,40,0,2,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1680,1680
66680237,HELDOUT,26,0x7B0D2CC31D151C7F,34,34,42,36,42,42,37,34,34,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1428,1428
42206557336,HELDOUT,36,0xDC86A44A77A44780,45,45,53,49,53,53,48,45,45,0,3,FIXED_PORTFOLIO,0,4000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,42,1890,1890
