mode,readout,corpus_size,sentences_used,related_mean,overlap_mean,cohens_d,welch_t,p_one_tailed_R_lt_O
trained,fingerprint,0,0,31.719101,31.045977,0.156188,1.035378,0.849754
trained,fingerprint,100,100,31.887640,31.827586,0.014257,0.094761,0.537748
trained,fingerprint,1000,1000,32.123596,32.229885,-0.024812,-0.164847,0.434532
trained,fingerprint,10000,10000,32.640449,32.379310,0.069157,0.458366,0.676655
trained,fingerprint,100000,100000,30.730337,31.793103,-0.271722,-1.804815,0.035552
trained,fingerprint,1000000,1000000,32.168539,31.839080,0.083386,0.553116,0.709908
