phase,seed,lens_or_arm,target,family,deg,attempt,hit,accepted,false_accept,alias,ev_lb,ev_tb,ev_cmp,ev_k0,stat,true_stat,val_stat,consistent,rank,cov_before,cov_after,r2,tax,tax_corr,evals,note
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,4,1,0,0,0,0x09,0x06,0x0000000,0,0.1234,0.1055,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,4,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,4,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,4,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,5,0,0,0,0,0x00,0xC3,0x0000000,0,0.0537,-0.0069,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,5,0,0,0,0,0x20,0x14,0x0000000,0,0.0537,0.0257,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,5,1,0,0,0,0x09,0x06,0x0000000,0,0.1206,0.1046,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,5,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,5,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,5,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,6,0,0,0,0,0x00,0x63,0x0000000,0,0.0560,0.0091,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,6,0,0,0,0,0x80,0x0E,0x0000000,0,0.0571,0.0343,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,6,1,0,0,0,0x0A,0x05,0x0000000,0,0.1423,0.1145,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,6,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,6,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,6,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,7,0,0,0,0,0x00,0x63,0x0000000,0,0.0583,-0.0080,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,7,0,0,0,0,0x80,0x50,0x0000000,0,0.0526,0.0271,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,7,1,0,0,0,0x03,0x0C,0x0000000,0,0.1280,0.1086,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,7,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,7,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,7,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
