artifact,battery,policy,virtual_ticks,heldout_material,heldout_prediction_accuracy_x100000,charged_interventions,revised_records,horizon_ticks,verdict
round_aq,AQ3,earned_provenance,100000,0,0,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,200000,0,0,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,300000,0,0,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,400000,0,0,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,500000,0,0,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,600000,1000000,100000,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,700000,1000000,100000,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,800000,1000000,100000,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,900000,1000000,100000,100000,0,1000000,checkpoint
round_aq,AQ3,earned_provenance,1000000,1000000,100000,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,100000,712710,71271,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,200000,732960,73296,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,300000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,400000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,500000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,600000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,700000,731150,73115,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,800000,714520,71452,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,900000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,blank_fresh,1000000,762430,76243,100000,0,1000000,checkpoint
round_aq,AQ3,replay,100000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,replay,200000,500040,50004,100000,0,1000000,checkpoint
round_aq,AQ3,replay,300000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,replay,400000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,replay,500000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,replay,600000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,replay,700000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,replay,800000,500040,50004,100000,0,1000000,checkpoint
round_aq,AQ3,replay,900000,500030,50003,100000,0,1000000,checkpoint
round_aq,AQ3,replay,1000000,500030,50003,100000,0,1000000,checkpoint
