round,row,arm,encoding,errors,events,energy,tape_bytes,measure,verdict,detail
round_v_v1,reachability,organism_tape,n/a,0,8,0,64,255,MEASURED,layout_exec_data_topology_schedule_development_reproduction_fields_changed
round_v_v1,reachability,all_raw_cells,n/a,0,4096,0,64,64,MEASURED,headers_mutator_program_and_storage_are_all_mutation_targets
round_v_v1,mutation_operator,A_vs_B,n/a,0,256,0,64,1,MEASURED,digest_a=4cf456eba1354868;digest_b=ea4c2a44afc185fe;changed_cells_a=622;changed_cells_b=965
round_v_v1,transfer,self_mutating_vm,raw,543,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,self_mutating_vm,reencoded,576,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,fixed,raw,618,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,fixed,reencoded,596,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,random_growth,raw,617,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,random_growth,reencoded,527,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,replay,raw,583,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,replay,reencoded,583,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,equal_size_static,raw,568,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,equal_size_static,reencoded,569,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,task_aligned,raw,0,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,transfer,task_aligned,reencoded,0,1120,409600,64,0,MEASURED,frozen_before_hidden;equal_energy;independent_arithmetic_world
round_v_v1,audit,bloat_crash_invalid_hidden_postfreeze,n/a,0,6,0,64,6,PASS,bounded_tape;bounded_energy;invalid_is_nonpromotion;no_evaluator_api;copy_freeze;deterministic
round_v_v1,VERDICT,mutation_complete_vm,both,1119,2240,409600,64,0,VALID_NEGATIVE,all_fields_reachable_and_mutator_effect_real;small_transfer_gain_not_promoted_due_shared_byte_arithmetic_bias_and_reencoding_sensitivity
