section,seed,target,round_or_gt,family_or_verdict,detail,metric_val,metric_tst,extra1,extra2
greedy_trace,0x00C1B10D20260706,RUN1,12,clifford,"clifford(th=0.10)",0.7992,0.8095,regress,dedicated
gate_repro,0x00C1B10D20260706,RUN1,-,-,r2_dedicated,0.8143,,cov_dedicated,0.8960
base_rate,0x00C2B10D20260707,RUN1,-,-,base_rate,0.4247,,,
greedy_trace,0x00C2B10D20260707,RUN1,1,spectral,"cos(w=0.157*c3)",0.8109,0.8126,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,2,mono,"phi(0x60)",0.8183,0.8154,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,3,world,"sign%7==0",0.8343,0.8240,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,4,cmp,"cmp(high6,ident)",0.8503,0.8360,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,5,walsh,"chi(0x07)",0.8640,0.8406,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,6,world,"sign%8==0",0.8731,0.8617,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,7,mono,"phi(0xA0)",0.8857,0.8657,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,8,cmp,"cmp(all28,mod5)",0.8914,0.8657,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,9,mono,"phi(0x18)",0.8949,0.8663,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,10,walsh,"chi(0x25)",0.9000,0.8703,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,11,world,"sign%9==0",0.9034,0.8800,class,incidental
greedy_trace,0x00C2B10D20260707,RUN1,12,cmp,"cmp(adj7,ident)",0.9069,0.8777,class,incidental
gate_repro,0x00C2B10D20260707,RUN1,-,-,cov_before,0.8789,,,
gate_repro,0x00C2B10D20260707,RUN1,-,-,cov_after,1.0000,,,
gate_repro,0x00C2B10D20260707,RUN1,-,-,r2_incidental,0.7423,,gate_verdict,reject
greedy_trace,0x00C2B10D20260707,RUN1,1,spectral,"cos(w=0.157*c3)",0.6412,0.6681,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,2,walsh,"chi(0x01)",0.6759,0.6927,regress,dedicated
greedy_trace,0x00C2B10D20260707,RUN1,3,mono,"phi(0x80)",0.6936,0.7181,regress,dedicated
