arm,target_token,truth_audit_only,guess_audit_only,probe_calls,selection_calls,total_calls,exact_solve,enum_unique,perm_checked,policy_audit_isolated,validity
adaptive,K4-00,directed,singleton,254,346,600,YES,1270,pass,pass,pass
fixed,K4-00,directed,singleton,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-00,directed,singleton,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-00,directed,singleton,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-01,threshold,global,254,346,600,YES,1270,pass,pass,pass
fixed,K4-01,threshold,global,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-01,threshold,global,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-01,threshold,global,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-02,adjacency,global,254,346,600,NO,1270,pass,pass,pass
fixed,K4-02,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-02,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-02,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-03,xor_control,global,254,346,600,NO,1270,pass,pass,pass
fixed,K4-03,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-03,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-03,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-04,parity_control,singleton,254,346,600,NO,1270,pass,pass,pass
fixed,K4-04,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-04,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-04,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-05,directed,directed,254,346,600,YES,1270,pass,pass,pass
fixed,K4-05,directed,directed,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-05,directed,directed,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-05,directed,directed,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-06,threshold,global,254,346,600,YES,1270,pass,pass,pass
fixed,K4-06,threshold,global,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-06,threshold,global,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-06,threshold,global,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-07,adjacency,global,254,346,600,NO,1270,pass,pass,pass
fixed,K4-07,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-07,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-07,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-08,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
fixed,K4-08,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-08,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-08,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-09,parity_control,singleton,254,346,600,NO,1270,pass,pass,pass
fixed,K4-09,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-09,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-09,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-10,directed,directed,254,346,600,YES,1270,pass,pass,pass
fixed,K4-10,directed,directed,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-10,directed,directed,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-10,directed,directed,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-11,threshold,global,254,346,600,YES,1270,pass,pass,pass
fixed,K4-11,threshold,global,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-11,threshold,global,254,346,600,YES,1270,pass,pass,pass
blind_coverage,K4-11,threshold,global,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-12,adjacency,adjacency,254,346,600,NO,1270,pass,pass,pass
fixed,K4-12,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-12,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-12,adjacency,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-13,xor_control,global,254,346,600,NO,1270,pass,pass,pass
fixed,K4-13,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-13,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-13,xor_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-14,parity_control,singleton,254,346,600,NO,1270,pass,pass,pass
fixed,K4-14,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
random_iid,K4-14,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-14,parity_control,directed,254,346,600,NO,1270,pass,pass,pass
adaptive,K4-15,directed,directed,254,346,600,YES,1270,pass,pass,pass
fixed,K4-15,directed,directed,254,346,600,YES,1270,pass,pass,pass
random_iid,K4-15,directed,directed,254,346,600,NO,1270,pass,pass,pass
blind_coverage,K4-15,directed,directed,254,346,600,YES,1270,pass,pass,pass
adaptive,K4-16,threshold,global,254,346,600,YES,1270,pass,pass,pass
