artifact,stage,event,program_shape,public_observation,charged_call,comparison,detail
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,calibration,anonymous_event,fold_count_then_compare,canonical_causal_observation,1,forge,charged_raw_atom_evaluation
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,validation,anonymous_event,fold_count_then_compare,sealed_observation,1,forged,charged_execution
round_p_p4,validation,anonymous_event,fold_parity_left,sealed_observation,1,baseline,charged_execution
round_p_p4,closure,aggregate,fold_count_then_compare,aggregate_only,0,forged,validation_separation_12_of_12
round_p_p4,closure,aggregate,fold_parity_left,aggregate_only,0,baseline,validation_separation_6_of_12
round_p_p4,VERDICT,aggregate,fold_count_then_compare,aggregate_only,0,equal_cost,CONTROLLED_POSITIVE:forged=12/12;baseline=6/12;validation_cost=1_per_arm_per_session
