protocol,arm,stage,opaque_token,public_trace,candidate,split,example_index,charged_call,outcome,detail
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,0,1,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,1,2,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,2,3,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,3,4,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,4,5,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,5,6,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,6,7,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_zero,train,7,8,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,0,9,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,1,10,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,2,11,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,3,12,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,4,13,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,5,14,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,6,15,aggregate_train_reply,
round_m_m5,closed_loop,train_query,M5-A8,7:2,bit0_one,train,7,16,aggregate_train_reply,
round_m_m5,closed_loop,frozen_choice,M5-A8,7:2,bit0_zero,train,-1,17,frozen,scores=8:0;after_state_reload
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,0,1,not_scored,equal_budget_pretest
round_m_m5,blind,pretest_charge,M5-A8,7:2,bit0_zero,train,0,1,not_scored,equal_budget_pretest
round_m_m5,fixed_menu,pretest_charge,M5-A8,7:2,existing_menu,train,1,2,not_scored,equal_budget_pretest
