n,method,seed_idx,budget,best_E,best_F,aim_win_pct
61,undirected_eq,0,3200000,230,8.089130,0.000000
61,aimed_eq,0,3200000,230,8.089130,12.403852
61,undirected_eq,1,3200000,230,8.089130,0.000000
61,aimed_eq,1,3200000,230,8.089130,12.200415
61,undirected_eq,2,3200000,246,7.563008,0.000000
61,aimed_eq,2,3200000,230,8.089130,12.359289
61,undirected_eq,3,3200000,230,8.089130,0.000000
61,aimed_eq,3,3200000,230,8.089130,12.306977
61,undirected_eq,4,3200000,230,8.089130,0.000000
61,aimed_eq,4,3200000,230,8.089130,12.421289
61,undirected_eq,5,3200000,230,8.089130,0.000000
61,aimed_eq,5,3200000,230,8.089130,12.212040
61,undirected_big,0,500000000,230,8.089130,0.0
61,aimed_big,0,500000000,230,8.089130,0.0
61,undirected_eq,0,50000,310,6.001613,0.000000
61,aimed_eq,0,50000,262,7.101145,11.648079
61,undirected_eq,1,50000,318,5.850629,0.000000
61,aimed_eq,1,50000,286,6.505245,12.515489
61,undirected_eq,2,50000,334,5.570359,0.000000
61,aimed_eq,2,50000,294,6.328231,12.391574
61,undirected_eq,3,50000,286,6.505245,0.000000
61,aimed_eq,3,50000,302,6.160596,12.515489
61,undirected_eq,4,50000,286,6.505245,0.000000
61,aimed_eq,4,50000,326,5.707055,11.771995
61,undirected_eq,5,50000,294,6.328231,0.000000
61,aimed_eq,5,50000,310,6.001613,14.002478
61,undirected_eq,0,200000,254,7.324803,0.000000
61,aimed_eq,0,200000,230,8.089130,11.779293
61,undirected_eq,1,200000,286,6.505245,0.000000
61,aimed_eq,1,200000,286,6.505245,11.872288
61,undirected_eq,2,200000,262,7.101145,0.000000
61,aimed_eq,2,200000,294,6.328231,12.275263
61,undirected_eq,3,200000,286,6.505245,0.000000
61,aimed_eq,3,200000,230,8.089130,12.678239
61,undirected_eq,4,200000,230,8.089130,0.000000
61,aimed_eq,4,200000,294,6.328231,12.492250
61,undirected_eq,5,200000,230,8.089130,0.000000
61,aimed_eq,5,200000,262,7.101145,12.957223
61,undirected_eq,0,800000,230,8.089130,0.000000
61,aimed_eq,0,800000,230,8.089130,12.112523
61,undirected_eq,1,800000,230,8.089130,0.000000
61,aimed_eq,1,800000,230,8.089130,12.213267
61,undirected_eq,2,800000,262,7.101145,0.000000
61,aimed_eq,2,800000,230,8.089130,12.128022
61,undirected_eq,3,800000,246,7.563008,0.000000
61,aimed_eq,3,800000,230,8.089130,12.763484
61,undirected_eq,4,800000,230,8.089130,0.000000
61,aimed_eq,4,800000,262,7.101145,12.298512
61,undirected_eq,5,800000,230,8.089130,0.000000
61,aimed_eq,5,800000,230,8.089130,12.143521
61,undirected_eq,0,1600000,230,8.089130,0.000000
61,aimed_eq,0,1600000,230,8.089130,12.275739
61,undirected_eq,1,1600000,230,8.089130,0.000000
61,aimed_eq,1,1600000,230,8.089130,12.070369
61,undirected_eq,2,1600000,262,7.101145,0.000000
61,aimed_eq,2,1600000,230,8.089130,12.085868
61,undirected_eq,3,1600000,230,8.089130,0.000000
61,aimed_eq,3,1600000,230,8.089130,12.395862
61,undirected_eq,4,1600000,230,8.089130,0.000000
61,aimed_eq,4,1600000,262,7.101145,12.376487
61,undirected_eq,5,1600000,230,8.089130,0.000000
61,aimed_eq,5,1600000,230,8.089130,12.074243
48,undirected_eq,0,5000000,164,7.024390,0.000000
48,aimed_eq,0,5000000,164,7.024390,6.088242
48,undirected_eq,1,5000000,176,6.545455,0.000000
48,aimed_eq,1,5000000,184,6.260870,6.272560
48,undirected_eq,2,5000000,180,6.400000,0.000000
48,aimed_eq,2,5000000,164,7.024390,6.007603
48,undirected_eq,3,5000000,188,6.127660,0.000000
48,aimed_eq,3,5000000,184,6.260870,6.101682
48,undirected_big,0,100000000,160,7.200000,0.0
48,aimed_big,0,100000000,148,7.783784,0.0
