sampler,seed,prefix,candidate_calls,unique_candidate_keys,unique_masks,mod2,mod3,res2_0,res2_1,res3_0,res3_1,res3_2,mean_pairwise_mask_hamming,integrity
uniform_without_replacement,0xA100000000000001,25,25,25,13,12,7,6,3,3,6,4.080000,pass
uniform_without_replacement,0xA100000000000001,100,100,82,46,54,25,21,19,16,19,3.965657,pass
uniform_without_replacement,0xA100000000000001,300,300,183,118,182,61,57,62,57,63,3.995117,pass
uniform_without_replacement,0xA100000000000001,635,635,243,257,378,135,122,125,128,125,3.999940,pass
uniform_without_replacement,0xA100000000000001,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
stratified_without_replacement,0xA100000000000001,25,25,25,10,15,5,5,5,5,5,4.020000,pass
stratified_without_replacement,0xA100000000000001,100,100,82,40,60,20,20,20,20,20,3.998182,pass
stratified_without_replacement,0xA100000000000001,300,300,182,120,180,60,60,60,60,60,3.995674,pass
stratified_without_replacement,0xA100000000000001,635,635,240,254,381,127,127,127,127,127,4.004014,pass
stratified_without_replacement,0xA100000000000001,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
fixed_affine_permutation_control,0xA100000000000001,25,25,25,10,15,5,5,5,5,5,4.106667,pass
fixed_affine_permutation_control,0xA100000000000001,100,100,100,40,60,20,20,20,20,20,4.036768,pass
fixed_affine_permutation_control,0xA100000000000001,300,300,254,120,180,60,60,60,60,60,4.013200,pass
fixed_affine_permutation_control,0xA100000000000001,635,635,254,254,381,127,127,127,127,127,4.006200,pass
fixed_affine_permutation_control,0xA100000000000001,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
uniform_without_replacement,0xA100000000000002,25,25,25,10,15,5,5,3,8,4,4.093333,pass
uniform_without_replacement,0xA100000000000002,100,100,86,43,57,27,16,16,20,21,4.015556,pass
uniform_without_replacement,0xA100000000000002,300,300,186,124,176,61,63,63,51,62,4.008227,pass
uniform_without_replacement,0xA100000000000002,635,635,242,260,375,123,137,129,123,123,4.003646,pass
uniform_without_replacement,0xA100000000000002,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
stratified_without_replacement,0xA100000000000002,25,25,24,10,15,5,5,5,5,5,3.953333,pass
stratified_without_replacement,0xA100000000000002,100,100,81,40,60,20,20,20,20,20,4.012121,pass
stratified_without_replacement,0xA100000000000002,300,300,183,120,180,60,60,60,60,60,4.007648,pass
stratified_without_replacement,0xA100000000000002,635,635,246,254,381,127,127,127,127,127,4.000179,pass
stratified_without_replacement,0xA100000000000002,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
fixed_affine_permutation_control,0xA100000000000002,25,25,25,10,15,5,5,5,5,5,4.106667,pass
fixed_affine_permutation_control,0xA100000000000002,100,100,100,40,60,20,20,20,20,20,4.036768,pass
fixed_affine_permutation_control,0xA100000000000002,300,300,254,120,180,60,60,60,60,60,4.013200,pass
fixed_affine_permutation_control,0xA100000000000002,635,635,254,254,381,127,127,127,127,127,4.006200,pass
fixed_affine_permutation_control,0xA100000000000002,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
uniform_without_replacement,0xA100000000000003,25,25,25,10,15,4,6,5,6,4,4.046667,pass
uniform_without_replacement,0xA100000000000003,100,100,85,43,57,22,21,17,22,18,4.016970,pass
uniform_without_replacement,0xA100000000000003,300,300,191,126,174,60,66,62,52,60,4.003166,pass
uniform_without_replacement,0xA100000000000003,635,635,250,251,384,119,132,133,129,122,4.005196,pass
uniform_without_replacement,0xA100000000000003,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
stratified_without_replacement,0xA100000000000003,25,25,25,10,15,5,5,5,5,5,4.126667,pass
stratified_without_replacement,0xA100000000000003,100,100,86,40,60,20,20,20,20,20,4.007879,pass
stratified_without_replacement,0xA100000000000003,300,300,188,120,180,60,60,60,60,60,4.001516,pass
stratified_without_replacement,0xA100000000000003,635,635,243,254,381,127,127,127,127,127,4.003597,pass
stratified_without_replacement,0xA100000000000003,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
fixed_affine_permutation_control,0xA100000000000003,25,25,25,10,15,5,5,5,5,5,4.106667,pass
fixed_affine_permutation_control,0xA100000000000003,100,100,100,40,60,20,20,20,20,20,4.036768,pass
fixed_affine_permutation_control,0xA100000000000003,300,300,254,120,180,60,60,60,60,60,4.013200,pass
fixed_affine_permutation_control,0xA100000000000003,635,635,254,254,381,127,127,127,127,127,4.006200,pass
fixed_affine_permutation_control,0xA100000000000003,1270,1270,254,508,762,254,254,254,254,254,4.003152,pass
