seed,arm,target,family,solved,cov_before,cov_after,r2,mono_mask,mono_val,walsh_s,walsh_val,combo_val,chosen_lens,seed_mask,grown_mask,grown_val,grown_rounds,blocked_witnesses,evals,tax_proxy_novel,tax_proxy_best_corr
0x00C2B10D20260707,revision,"C07 XOR 0x99",xor_popcount,0,0.5034,,,,,,,,,,,,,,,,
0x00C2B10D20260707,frozen,"C08 parity count",mod_synthesis,0,0.4960,,,,,,,,,,,,,,,,
0x00C2B10D20260707,revision,"C08 parity count",mod_synthesis,1,1.0000,,,,,,,,,,,,,,,,
0x00C2B10D20260707,frozen,"C09 inv parity",pipeline,0,0.5034,,,,,,,,,,,,,,,,
0x00C2B10D20260707,revision,"C09 inv parity",pipeline,0,0.4857,,,,,,,,,,,,,,,,
0x00C2B10D20260707,frozen,"C10 parity XOR 0x0F",xor_popcount,0,0.5114,,,,,,,,,,,,,,,,
0x00C2B10D20260707,revision,"C10 parity XOR 0x0F",xor_popcount,0,0.5091,,,,,,,,,,,,,,,,
0x00C2B10D20260707,frozen,"C11 XOR 0x37",xor_popcount,0,0.4943,,,,,,,,,,,,,,,,
0x00C2B10D20260707,revision,"C11 XOR 0x37",xor_popcount,0,0.4989,,,,,,,,,,,,,,,,
0x00C2B10D20260707,aimed,"C01 XOR 0x0F",xor_popcount,0,0.5223,0.5229,-0.0622,0x31,0.5297,0xE7,0.5229,0.4989,th2,0x31,0x31,0.4926,1,0,436,novel,0.4831
0x00C2B10D20260707,aimed,"C02 parity XOR 0x33",xor_popcount,0,0.5057,0.4886,0.0036,0xC2,0.5269,0x05,0.5274,0.5051,th5,0xC2,0xC3,0.5057,2,0,444,novel,0.1459
0x00C2B10D20260707,aimed,"C03 XOR 0x55",xor_popcount,0,0.4909,0.4931,-0.0106,0x1B,0.5337,0x1B,0.5366,0.5143,th3,0x1B,0x1B,0.5366,1,0,436,remix,1.0000
0x00C2B10D20260707,aimed,"C04 XOR 0xAA",xor_popcount,1,0.5069,1.0000,-0.0139,0xAA,0.5509,0x35,0.5200,0.5131,mod2,0xAA,0xAA,1.0000,1,0,436,novel,0.0208
0x00C2B10D20260707,aimed,"C05 XOR 0x3C",xor_popcount,0,0.4926,0.4983,-0.0515,0x0E,0.5229,0x4E,0.5103,0.4869,th1,0x0E,0x0E,0.4966,1,0,436,novel,0.0994
0x00C2B10D20260707,aimed,"C06 XOR 0x66",xor_popcount,1,0.4983,1.0000,-0.0225,0x66,0.5326,0x63,0.5314,0.5023,mod2,0x66,0x66,1.0000,1,0,436,novel,0.0255
0x00C2B10D20260707,aimed,"C07 XOR 0x99",xor_popcount,0,0.5189,0.5143,-0.0063,0x8D,0.5297,0x32,0.5251,0.5114,th3,0x8D,0x8D,0.5240,1,0,436,novel,0.5856
0x00C2B10D20260707,aimed,"C09 inv parity",pipeline,0,0.5034,0.4960,-0.0033,0xAA,0.5309,0xC8,0.5303,0.4931,th1,0xAA,0xAA,0.4977,1,0,436,novel,0.0573
0x00C2B10D20260707,aimed,"C10 parity XOR 0x0F",xor_popcount,0,0.4994,0.5137,-0.0063,0x31,0.5297,0xE7,0.5229,0.4989,th2,0x31,0x31,0.4926,1,0,436,novel,0.4831
0x00C2B10D20260707,aimed,"C11 XOR 0x37",xor_popcount,0,0.5051,0.5034,-0.0042,0x63,0.5326,0xB8,0.5331,0.5200,th3,0x63,0x63,0.5286,1,0,436,novel,0.5929
