trial,min_ref_dist,mean_ref_dist,violations,orbit,score,past_target,field_hash
0,289,295.7083,1457,1199,288982399,1,0x41D38407C96D5B7C
1,288,293.7917,1454,1155,287979255,1,0xC3E787CB980F763D
2,289,294.2083,1460,1143,288977243,1,0x9146AEE55C1D6746
3,289,293.6250,1464,1207,288973907,1,0xEABF99DE1D7424C5
4,288,293.5417,1451,1215,287980215,1,0x498597FAB6FB2904
5,288,296.1250,1450,1223,287986923,1,0xEC95E511EB4EEF3B
6,290,294.6250,1463,1133,289976733,1,0x5F4FCA1E02251084
7,287,295.2917,1454,1149,286982849,1,0x40A7D5D5A49BEAF0
8,290,295.7917,1450,1203,289986103,1,0xB998E3CE4E434AB5
9,290,294.6250,1449,1089,289983689,1,0xAF4C1419D1DF1D14
10,289,294.2083,1453,1165,288980765,1,0xAC0BD0474884CD0A
11,291,295.8750,1460,1225,290981325,1,0xF9EDA4BE8C5BB84D
12,290,295.1250,1454,1151,289982451,1,0x7326D9918A991EF0
13,289,296.7917,1467,1161,288979961,1,0x84EE70C587B600FA
14,290,294.2083,1477,1177,289968777,1,0xD7A891A757F61E0F
15,289,295.9583,1461,1135,288980935,1,0x741272B8E544218F
16,291,295.7083,1459,1191,290981391,1,0xFCFF9305FAA37DAA
17,290,295.8750,1458,1109,289982209,1,0xF3662FC9D5B5DA12
18,291,295.7083,1446,1133,290987833,1,0xE47F99B8ABC739EE
19,290,295.2083,1462,1167,289978667,1,0x607165C57B35FCCB
20,289,293.2917,1455,1157,288977557,1,0xD84CC2B82A22DE64
21,290,294.7917,1459,1145,289979145,1,0x17D3065962E61319
22,290,295.7917,1455,1095,289983495,1,0x2952D98E6B89A519
23,290,296.0417,1456,1169,289983669,1,0xCB1980708ECBD68A
