protocol,stage,opaque_token,public_trace,candidate,split,example_index,correct,charged_call,detail
round_m_m4,fresh_test,M4-Q7,9:3,bit0_zero,test,9,1,53,frozen_before_test
round_m_m4,baseline_test,M4-Q7,9:3,existing_menu,test,9,0,54,equal_cost_control
round_m_m4,fresh_test,M4-Q7,9:3,bit0_zero,test,10,1,55,frozen_before_test
round_m_m4,baseline_test,M4-Q7,9:3,existing_menu,test,10,1,56,equal_cost_control
round_m_m4,fresh_test,M4-Q7,9:3,bit0_zero,test,11,1,57,frozen_before_test
round_m_m4,baseline_test,M4-Q7,9:3,existing_menu,test,11,0,58,equal_cost_control
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,0,0,59,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,1,0,60,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,2,0,61,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,3,0,62,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,4,0,63,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,5,0,64,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,6,0,65,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_zero,train,7,0,66,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,0,1,67,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,1,1,68,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,2,1,69,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,3,1,70,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,4,1,71,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,5,1,72,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,6,1,73,aggregate_train_only
round_m_m4,train_query,M4-H2,3:9,bit1_one,train,7,1,74,aggregate_train_only
round_m_m4,frozen_choice,M4-H2,3:9,bit1_one,train,-1,1,75,scores=0:8;before_fresh_test
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,0,0,76,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,1,0,77,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,2,0,78,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,3,0,79,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,4,0,80,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,5,0,81,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,6,0,82,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,7,0,83,equal_cost_padding
round_m_m4,baseline_padding,M4-H2,3:9,existing_menu,train,8,0,84,equal_cost_padding
