split,seed,arm,grammar,mask,modulus,residue,base_rate,fixed_menu_val,random_val,selected_val,test_acc,reconstruction_proxy_test,validity
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,9,3,1,0.2911,,,0.5080,0.5189,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,9,3,2,0.2911,,,0.5920,0.6166,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,10,2,0,0.2911,,,0.4697,0.4691,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,10,2,1,0.2911,,,0.5303,0.5309,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,10,3,0,0.2911,,,0.5817,0.6046,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,10,3,1,0.2911,,,0.5251,0.5183,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,10,3,2,0.2911,,,0.5846,0.5874,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,11,2,0,0.2911,,,0.4691,0.4377,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,11,2,1,0.2911,,,0.5309,0.5623,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,11,3,0,0.2911,,,0.5937,0.5914,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,11,3,1,0.2911,,,0.5520,0.5663,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,11,3,2,0.2911,,,0.5457,0.5526,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,12,2,0,0.2911,,,0.4760,0.4634,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,12,2,1,0.2911,,,0.5240,0.5366,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,12,3,0,0.2911,,,0.6074,0.6029,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,12,3,1,0.2911,,,0.4954,0.5120,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,12,3,2,0.2911,,,0.5886,0.5954,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,13,2,0,0.2911,,,0.4549,0.4640,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,13,2,1,0.2911,,,0.5451,0.5360,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,13,3,0,0.2911,,,0.5714,0.5749,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,13,3,1,0.2911,,,0.5669,0.5583,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,13,3,2,0.2911,,,0.5531,0.5771,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,14,2,0,0.2911,,,0.4691,0.4543,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,14,2,1,0.2911,,,0.5309,0.5457,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,14,3,0,0.2911,,,0.5794,0.5806,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,14,3,1,0.2911,,,0.5646,0.5629,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,14,3,2,0.2911,,,0.5474,0.5669,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,15,2,0,0.2911,,,0.4583,0.4989,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,15,2,1,0.2911,,,0.5417,0.5011,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,15,3,0,0.2911,,,0.5240,0.5554,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,15,3,1,0.2911,,,0.6034,0.6040,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,15,3,2,0.2911,,,0.5640,0.5509,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,16,2,0,0.2911,,,0.4606,0.4531,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,16,2,1,0.2911,,,0.5394,0.5469,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,16,3,0,0.2911,,,0.5109,0.5126,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,16,3,1,0.2911,,,0.6200,0.6360,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,16,3,2,0.2911,,,0.5606,0.5617,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,17,2,0,0.2911,,,0.4817,0.4469,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,17,2,1,0.2911,,,0.5183,0.5531,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,17,3,0,0.2911,,,0.5629,0.5760,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,17,3,1,0.2911,,,0.5629,0.5771,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,17,3,2,0.2911,,,0.5657,0.5571,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,18,2,0,0.2911,,,0.4554,0.4674,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,18,2,1,0.2911,,,0.5446,0.5326,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,18,3,0,0.2911,,,0.5446,0.5766,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,18,3,1,0.2911,,,0.5737,0.5703,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,18,3,2,0.2911,,,0.5731,0.5634,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,19,2,0,0.2911,,,0.4800,0.4571,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,19,2,1,0.2911,,,0.5200,0.5429,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,19,3,0,0.2911,,,0.5480,0.5526,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,19,3,1,0.2911,,,0.5680,0.5754,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,19,3,2,0.2911,,,0.5754,0.5823,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,20,2,0,0.2911,,,0.4331,0.4640,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,20,2,1,0.2911,,,0.5669,0.5360,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,20,3,0,0.2911,,,0.5674,0.5674,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,20,3,1,0.2911,,,0.5611,0.5680,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,20,3,2,0.2911,,,0.5629,0.5749,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,21,2,0,0.2911,,,0.4703,0.4629,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,21,2,1,0.2911,,,0.5297,0.5371,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,21,3,0,0.2911,,,0.5566,0.5686,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,21,3,1,0.2911,,,0.5549,0.5583,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,21,3,2,0.2911,,,0.5800,0.5834,,RAW
