N,config,pool_size,alloc_policy,total_budget,evals_used,best_E,best_F,winner_arm,arms_contributed
44,concentrated_1,1,n/a,50000000,50000055,130,7.446154,tabu_pair_long_tenure,1
44,pool3_equal,3,equal,50000000,50003639,126,7.682540,tabu_pair_long_tenure,1
44,pool3_adaptive,3,adaptive,50000000,50003421,138,7.014493,tabu_pair_long_tenure,2
44,pool9_equal,9,equal,50000000,50014044,134,7.223881,tabu_pair_long_tenure,4
44,pool9_adaptive,9,adaptive,50000000,50017239,122,7.934426,tabu_pair_long_tenure,3
48,concentrated_1,1,n/a,50000000,50000052,168,6.857143,tabu_pair_long_tenure,1
48,pool3_equal,3,equal,50000000,50014875,164,7.024390,tabu_pair_long_tenure,2
48,pool3_adaptive,3,adaptive,50000000,50015351,160,7.200000,tabu_pair_long_tenure,1
48,pool9_equal,9,equal,50000000,50023991,148,7.783784,tabu_pair_long_tenure,4
48,pool9_adaptive,9,adaptive,50000000,50021983,164,7.024390,tabu_pair_long_tenure,2
50,concentrated_1,1,n/a,50000000,50000066,161,7.763975,tabu_pair_long_tenure,1
50,pool3_equal,3,equal,50000000,50007328,185,6.756757,tabu_pair_long_tenure,1
50,pool3_adaptive,3,adaptive,50000000,50006202,169,7.396450,tabu_pair_long_tenure,1
50,pool9_equal,9,equal,50000000,50019083,177,7.062147,tabu_pair_long_tenure,3
50,pool9_adaptive,9,adaptive,50000000,50025622,185,6.756757,tabu_pair_long_tenure,2
52,concentrated_1,1,n/a,50000000,50000026,210,6.438095,tabu_pair_long_tenure,1
52,pool3_equal,3,equal,50000000,50018793,186,7.268817,tabu_pair_long_tenure,1
52,pool3_adaptive,3,adaptive,50000000,50018840,178,7.595506,tabu_pair_long_tenure,1
52,pool9_equal,9,equal,50000000,50015844,194,6.969072,tabu_pair_long_tenure,4
52,pool9_adaptive,9,adaptive,50000000,50019542,198,6.828283,tabu_pair_long_tenure,3
54,concentrated_1,1,n/a,50000000,50000038,231,6.311688,tabu_pair_long_tenure,1
54,pool3_equal,3,equal,50000000,50018904,207,7.043478,tabu_pair_long_tenure,1
54,pool3_adaptive,3,adaptive,50000000,50012705,223,6.538117,tabu_pair_long_tenure,1
54,pool9_equal,9,equal,50000000,50014680,215,6.781395,tabu_pair_long_tenure,4
54,pool9_adaptive,9,adaptive,50000000,50012295,207,7.043478,tabu_pair_long_tenure,5
56,concentrated_1,1,n/a,50000000,50000068,256,6.125000,tabu_pair_long_tenure,1
56,pool3_equal,3,equal,50000000,50010972,252,6.222222,tabu_pair_long_tenure,1
56,pool3_adaptive,3,adaptive,50000000,50012719,252,6.222222,tabu_pair_long_tenure,1
56,pool9_equal,9,equal,50000000,50024184,244,6.426230,tabu_pair_long_tenure,3
56,pool9_adaptive,9,adaptive,50000000,50020116,232,6.758621,tabu_pair_long_tenure,3
58,concentrated_1,1,n/a,50000000,50000067,245,6.865306,tabu_pair_long_tenure,1
58,pool3_equal,3,equal,50000000,50001030,269,6.252788,tabu_pair_long_tenure,1
58,pool3_adaptive,3,adaptive,50000000,50000877,245,6.865306,tabu_pair_long_tenure,1
58,pool9_equal,9,equal,50000000,50004390,253,6.648221,tabu_pair_long_tenure,2
58,pool9_adaptive,9,adaptive,50000000,50003951,245,6.865306,tabu_pair_long_tenure,3
60,concentrated_1,1,n/a,50000000,50000036,278,6.474820,tabu_pair_long_tenure,1
60,pool3_equal,3,equal,50000000,50014151,258,6.976744,tabu_pair_long_tenure,2
60,pool3_adaptive,3,adaptive,50000000,50008328,266,6.766917,tabu_pair_long_tenure,2
60,pool9_equal,9,equal,50000000,50041200,278,6.474820,tabu_pair_long_tenure,4
60,pool9_adaptive,9,adaptive,50000000,50034671,262,6.870229,tabu_pair_long_tenure,2
61,concentrated_1,1,n/a,50000000,50000104,246,7.563008,tabu_pair_long_tenure,1
61,pool3_equal,3,equal,50000000,50005936,230,8.089130,tabu_pair_long_tenure,2
61,pool3_adaptive,3,adaptive,50000000,50007375,230,8.089130,tabu_pair_long_tenure,2
61,pool9_equal,9,equal,50000000,50006095,230,8.089130,tabu_pair_long_tenure,4
61,pool9_adaptive,9,adaptive,50000000,50009290,246,7.563008,tabu_pair_long_tenure,6
62,concentrated_1,1,n/a,50000000,50000009,307,6.260586,tabu_pair_long_tenure,1
62,pool3_equal,3,equal,50000000,50011445,307,6.260586,tabu_pair_long_tenure,1
62,pool3_adaptive,3,adaptive,50000000,50013301,315,6.101587,tabu_pair_long_tenure,2
62,pool9_equal,9,equal,50000000,50012264,283,6.791519,tabu_pair_long_tenure,4
62,pool9_adaptive,9,adaptive,50000000,50015175,315,6.101587,tabu_pair_long_tenure,1
63,concentrated_1,1,n/a,50000000,50000055,327,6.068807,tabu_pair_long_tenure,1
63,pool3_equal,3,equal,50000000,50007844,271,7.322878,tabu_pair_long_tenure,2
63,pool3_adaptive,3,adaptive,50000000,50009151,271,7.322878,tabu_pair_long_tenure,2
63,pool9_equal,9,equal,50000000,50008608,271,7.322878,tabu_pair_long_tenure,3
63,pool9_adaptive,9,adaptive,50000000,50018606,271,7.322878,tabu_pair_long_tenure,4
64,concentrated_1,1,n/a,50000000,50000102,284,7.211268,tabu_pair_long_tenure,1
64,pool3_equal,3,equal,50000000,50019300,320,6.400000,tabu_pair_long_tenure,1
64,pool3_adaptive,3,adaptive,50000000,50016144,320,6.400000,tabu_pair_long_tenure,1
64,pool9_equal,9,equal,50000000,50045196,324,6.320988,tabu_pair_long_tenure,3
64,pool9_adaptive,9,adaptive,50000000,50037976,300,6.826667,tabu_pair_long_tenure,5
