row,cap,seed_idx,grid_seed,battery_seed,target_idx,target_kind,target_solved,target_source,solves,total,evals_consumed,promos_checked,novel_strict,survivors_v4,remix_blocked,final_nlib,prep_sec,battery_sec,prep_cpu_sec,battery_cpu_sec
run,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,,,,,1,11,6,1,0,1,0,12,3.114,1.594,3.089,1.591
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,0,random_monomial,1,forge,,,5,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,1,random_monomial,0,base,,,1,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,2,sum_mod,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,3,sign_mod,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,4,walsh_subset,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,5,walsh_subset,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,6,walsh_subset,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,7,parity_of_count,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,8,oriented,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,6,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,10,inversion_parity,0,base,,,0,,,,,,,,,
run,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,,,,,3,11,18,3,1,3,0,14,3.086,9.852,3.079,9.784
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,0,random_monomial,1,forge,,,5,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,1,random_monomial,1,forge,,,5,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,2,sum_mod,1,world,,,8,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,3,sign_mod,0,base,,,0,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,4,walsh_subset,0,base,,,0,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,5,walsh_subset,0,base,,,0,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,6,walsh_subset,0,base,,,0,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,7,parity_of_count,0,base,,,0,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,8,oriented,0,base,,,0,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,9,composed_parity_and_sum,0,base,,,0,,,,,,,,,
target,12,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,10,inversion_parity,0,base,,,0,,,,,,,,,
run,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,,,,,5,11,24,4,1,4,0,15,3.151,10.453,3.091,10.424
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,0,random_monomial,1,forge,,,5,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,1,random_monomial,1,forge,,,5,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,2,sum_mod,1,world,,,8,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,3,sign_mod,1,base,,,1,,,,,,,,,
target,24,0,0xF0235A11CE0FF1CE,0x0E1B10D20A11CE01,4,walsh_subset,1,pair,,,5,,,,,,,,,
