idx,op_name,imm_hex,used_len
0,ADD_IMM,9B8D9013191669A,16
1,ADD_IMM,8B884592E9B7BB1A,16
2,ADD_IMM,EF3EC48CC9FE9507,16
3,ADD_IMM,2CE3A384960F8545,16
4,ADD_IMM,4C88B34E7707FC14,16
5,ADD_IMM,23C03C3A7B130D9A,16
6,ADD_IMM,E931F57C831A5836,16
7,ADD_IMM,294EF661E6E4CD49,16
8,SHR_XOR,F1D6B11342AC8BAF,16
9,SHR_XOR,38391C20F158296D,16
10,SHL_XOR,76BBE6062BA4919E,16
11,SHR_XOR,71690639DCA7762A,16
12,SHL_XOR,F7227DD35B316ECB,16
13,ADD_IMM,22C61AA30E88EA91,16
14,SHR_XOR,CB72C197E3A434E9,16
15,ADD_IMM,475290D9998CFD6F,16
