trial,min_dist,nearest,closure,mean_dist,max_dist,past_envelope
0,291,VOID,16543071,300.2000,331,1
1,291,VOID,14951956,300.2000,331,1
2,291,VOID,16559332,300.2000,331,1
3,291,VOID,18398244,300.2000,331,1
4,291,VOID,16895537,300.2000,331,1
5,291,VOID,15402723,300.2000,331,1
6,291,VOID,16453261,300.2000,331,1
7,291,VOID,17610685,300.2000,331,1
8,291,VOID,17109897,300.2000,331,1
9,291,VOID,16430078,300.2000,331,1
10,291,VOID,15925714,300.2000,331,1
11,291,VOID,16464477,300.2000,331,1
12,291,VOID,14829513,300.2000,331,1
13,291,VOID,16840861,300.2000,331,1
14,291,VOID,16780800,300.2000,331,1
15,291,VOID,17062505,300.2000,331,1
