idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,8,AND_NOT,6,1,7,0xD580784EA502EE1A,11
1,7,ADD_CONST,5,0,4,0xDD8D6FBB3B6E04BB,11
2,4,SHL_XOR,6,3,5,0xF8DAE1720946C24A,11
3,7,ADD_CONST,4,0,4,0xB6A4A964C01138C9,11
4,7,ADD_CONST,4,5,2,0x251EC6DABFAF6745,11
5,7,ADD_CONST,6,1,7,0xECDF62608C01CC79,11
6,9,OR_SHIFT,7,4,6,0x2AC89F148B5B3517,11
7,5,SHR_XOR,3,4,7,0xEC0F64636E6D0991,11
8,14,ADD_ROT,5,2,6,0xEEE955F3B74E2A1E,11
9,6,SPLITMIX_STEP,2,2,1,0x525AC97F27A28E03,11
10,13,MUM,7,4,0,0x0FE518E6294ED9DD,11
