row,kind,method,endpoint_name,timestamp,status,body_len,printable_bytes,line_count,content_fnv64,raw_body_base64,method_result,detail
1,initial_capture,GET,github_zen,1784571199,200,19,19,1,de6986cab9582a66,"U3BlYWsgbGlrZSBhIGh1bWFuLg==",EVALUATOR_OWNED,candidate_received_opaque_shape_only
2,candidate_precommit,NONE,opaque_frame,1784571199,na,0,10,1,na,,SEALED,nonempty=true;mostly_printable=true;before_second_capture
3,transfer_capture,GET,github_api_root,1784571199,200,2262,2262,1,b755845ab8fc714,"eyJjdXJyZW50X3VzZXJfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS91c2VyIiwiY3VycmVudF91c2VyX2F1dGhvcml6YXRpb25zX2h0bWxfdXJsIjoiaHR0cHM6Ly9naXRodWIuY29tL3NldHRpbmdzL2Nvbm5lY3Rpb25zL2FwcGxpY2F0aW9uc3svY2xpZW50X2lkfSIsImF1dGhvcml6YXRpb25zX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vYXV0aG9yaXphdGlvbnMiLCJjb2RlX3NlYXJjaF91cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL3NlYXJjaC9jb2RlP3E9e3F1ZXJ5fXsmcGFnZSxwZXJfcGFnZSxzb3J0LG9yZGVyfSIsImNvbW1pdF9zZWFyY2hfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9zZWFyY2gvY29tbWl0cz9xPXtxdWVyeX17JnBhZ2UscGVyX3BhZ2Usc29ydCxvcmRlcn0iLCJlbWFpbHNfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS91c2VyL2VtYWlscyIsImVtb2ppc191cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL2Vtb2ppcyIsImV2ZW50c191cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL2V2ZW50cyIsImZlZWRzX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vZmVlZHMiLCJmb2xsb3dlcnNfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS91c2VyL2ZvbGxvd2VycyIsImZvbGxvd2luZ191cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL3VzZXIvZm9sbG93aW5ney90YXJnZXR9IiwiZ2lzdHNfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9naXN0c3svZ2lzdF9pZH0iLCJodWJfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9odWIiLCJpc3N1ZV9zZWFyY2hfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9zZWFyY2gvaXNzdWVzP3E9e3F1ZXJ5fXsmcGFnZSxwZXJfcGFnZSxzb3J0LG9yZGVyfSIsImlzc3Vlc191cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL2lzc3VlcyIsImtleXNfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS91c2VyL2tleXMiLCJsYWJlbF9zZWFyY2hfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9zZWFyY2gvbGFiZWxzP3E9e3F1ZXJ5fSZyZXBvc2l0b3J5X2lkPXtyZXBvc2l0b3J5X2lkfXsmcGFnZSxwZXJfcGFnZX0iLCJub3RpZmljYXRpb25zX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vbm90aWZpY2F0aW9ucyIsIm9yZ2FuaXphdGlvbl91cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL29yZ3Mve29yZ30iLCJvcmdhbml6YXRpb25fcmVwb3NpdG9yaWVzX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vb3Jncy97b3JnfS9yZXBvc3s/dHlwZSxwYWdlLHBlcl9wYWdlLHNvcnR9Iiwib3JnYW5pemF0aW9uX3RlYW1zX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vb3Jncy97b3JnfS90ZWFtcyIsInB1YmxpY19naXN0c191cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL2dpc3RzL3B1YmxpYyIsInJhdGVfbGltaXRfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9yYXRlX2xpbWl0IiwicmVwb3NpdG9yeV91cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL3JlcG9zL3tvd25lcn0ve3JlcG99IiwicmVwb3NpdG9yeV9zZWFyY2hfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9zZWFyY2gvcmVwb3NpdG9yaWVzP3E9e3F1ZXJ5fXsmcGFnZSxwZXJfcGFnZSxzb3J0LG9yZGVyfSIsImN1cnJlbnRfdXNlcl9yZXBvc2l0b3JpZXNfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS91c2VyL3JlcG9zez90eXBlLHBhZ2UscGVyX3BhZ2Usc29ydH0iLCJzdGFycmVkX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vdXNlci9zdGFycmVkey9vd25lcn17L3JlcG99Iiwic3RhcnJlZF9naXN0c191cmwiOiJodHRwczovL2FwaS5naXRodWIuY29tL2dpc3RzL3N0YXJyZWQiLCJ0b3BpY19zZWFyY2hfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS9zZWFyY2gvdG9waWNzP3E9e3F1ZXJ5fXsmcGFnZSxwZXJfcGFnZX0iLCJ1c2VyX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vdXNlcnMve3VzZXJ9IiwidXNlcl9vcmdhbml6YXRpb25zX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vdXNlci9vcmdzIiwidXNlcl9yZXBvc2l0b3JpZXNfdXJsIjoiaHR0cHM6Ly9hcGkuZ2l0aHViLmNvbS91c2Vycy97dXNlcn0vcmVwb3N7P3R5cGUscGFnZSxwZXJfcGFnZSxzb3J0fSIsInVzZXJfc2VhcmNoX3VybCI6Imh0dHBzOi8vYXBpLmdpdGh1Yi5jb20vc2VhcmNoL3VzZXJzP3E9e3F1ZXJ5fXsmcGFnZSxwZXJfcGFnZSxzb3J0LG9yZGVyfSJ9",VALID_NEGATIVE,earned=true;fixed=true;broad=true;random=false;replay=true;shuffled=true;answer_scrub=true
