target,seed,budget,arm,mean_validation_accuracy,mean_or_best_test_accuracy,exact_rate_or_flag,replicates,detail
threshold_control,0xA400000000000003,100,fixed_threshold_menu,1.0000,1.0000,YES,1,25 legal candidates then cycle
threshold_control,0xA400000000000003,300,guided_without_replacement,0.6100,0.5517,NO,1,permuted full grammar
threshold_control,0xA400000000000003,300,blind_random_with_replacement,0.5630,0.6083,0.0000,0,64 iid trials
threshold_control,0xA400000000000003,300,fixed_threshold_menu,1.0000,1.0000,YES,1,25 legal candidates then cycle
threshold_control,0xA400000000000003,635,guided_without_replacement,0.6100,0.5517,NO,1,permuted full grammar
threshold_control,0xA400000000000003,635,blind_random_with_replacement,0.5538,0.6083,0.0000,0,64 iid trials
threshold_control,0xA400000000000003,635,fixed_threshold_menu,1.0000,1.0000,YES,1,25 legal candidates then cycle
threshold_control,0xA400000000000003,1270,guided_without_replacement,0.6417,0.5650,NO,1,permuted full grammar
threshold_control,0xA400000000000003,1270,blind_random_with_replacement,0.5628,0.6083,0.0000,0,64 iid trials
threshold_control,0xA400000000000003,1270,fixed_threshold_menu,1.0000,1.0000,YES,1,25 legal candidates then cycle
