iter,T,value,min_pair,best_value,best_min_pair,accepted
186,5.5178,965,17,965,17,1
187,5.5067,965,17,965,17,1
188,5.4958,965,17,965,17,0
189,5.4848,965,17,965,17,1
190,5.4738,965,17,965,17,1
191,5.4629,965,17,965,17,1
192,5.4520,965,17,965,17,1
193,5.4412,965,17,965,17,1
194,5.4303,965,17,965,17,1
195,5.4195,965,17,965,17,0
196,5.4086,965,17,965,17,1
197,5.3979,965,17,965,17,0
198,5.3871,965,17,965,17,1
199,5.3763,965,17,965,17,1
200,5.3656,965,17,965,17,0
201,5.3549,965,17,965,17,1
202,5.3442,965,17,965,17,1
203,5.3336,965,17,965,17,1
204,5.3229,965,17,965,17,1
205,5.3123,965,17,965,17,1
206,5.3017,965,17,965,17,1
207,5.2911,965,17,965,17,0
208,5.2806,965,17,965,17,1
209,5.2700,965,17,965,17,1
210,5.2595,965,17,965,17,1
211,5.2490,965,17,965,17,0
212,5.2385,965,17,965,17,1
213,5.2281,965,17,965,17,0
214,5.2177,965,17,965,17,1
215,5.2073,965,17,965,17,0
216,5.1969,962,17,965,17,1
217,5.1865,962,17,965,17,1
218,5.1762,962,17,965,17,1
219,5.1658,962,17,965,17,1
220,5.1555,962,17,965,17,0
221,5.1452,962,17,965,17,1
222,5.1350,962,17,965,17,1
223,5.1247,962,17,965,17,1
224,5.1145,962,17,965,17,0
225,5.1043,962,17,965,17,1
226,5.0941,962,17,965,17,1
227,5.0839,962,17,965,17,1
228,5.0738,962,17,965,17,1
229,5.0637,962,17,965,17,1
230,5.0536,962,17,965,17,0
231,5.0435,962,17,965,17,1
232,5.0334,962,17,965,17,1
233,5.0234,962,17,965,17,1
234,5.0134,962,17,965,17,1
235,5.0034,962,17,965,17,1
236,4.9934,962,17,965,17,1
237,4.9834,962,17,965,17,1
238,4.9735,962,17,965,17,0
239,4.9636,962,17,965,17,1
240,4.9536,962,17,965,17,1
241,4.9438,962,17,965,17,1
242,4.9339,962,17,965,17,1
243,4.9241,962,17,965,17,1
244,4.9142,962,17,965,17,0
245,4.9044,962,17,965,17,1
246,4.8946,962,17,965,17,1
247,4.8849,962,17,965,17,1
248,4.8751,962,17,965,17,1
249,4.8654,962,17,965,17,1
250,4.8557,962,17,965,17,0
251,4.8460,962,17,965,17,1
252,4.8363,962,17,965,17,1
253,4.8267,962,17,965,17,1
254,4.8171,962,17,965,17,1
255,4.8075,962,17,965,17,1
256,4.7979,962,17,965,17,1
257,4.7883,962,17,965,17,1
258,4.7787,960,17,965,17,1
259,4.7692,960,17,965,17,1
260,4.7597,960,17,965,17,0
261,4.7502,960,17,965,17,0
262,4.7407,960,17,965,17,1
263,4.7313,960,17,965,17,1
264,4.7218,960,17,965,17,1
265,4.7124,960,17,965,17,0
266,4.7030,960,17,965,17,1
267,4.6936,960,17,965,17,1
268,4.6842,960,17,965,17,1
269,4.6749,960,17,965,17,1
270,4.6656,960,17,965,17,1
271,4.6563,960,17,965,17,1
272,4.6470,960,17,965,17,0
273,4.6377,960,17,965,17,1
274,4.6284,960,17,965,17,1
275,4.6192,960,17,965,17,1
276,4.6100,960,17,965,17,1
277,4.6008,960,17,965,17,1
278,4.5916,960,17,965,17,1
279,4.5825,960,17,965,17,1
280,4.5733,960,17,965,17,1
281,4.5642,960,17,965,17,1
282,4.5551,960,17,965,17,1
283,4.5460,960,17,965,17,1
284,4.5369,960,17,965,17,0
285,4.5279,960,17,965,17,1
286,4.5188,960,17,965,17,1
287,4.5098,960,17,965,17,1
288,4.5008,960,17,965,17,1
289,4.4918,960,17,965,17,1
290,4.4829,960,17,965,17,1
291,4.4739,960,17,965,17,1
292,4.4650,960,17,965,17,1
293,4.4561,960,17,965,17,1
294,4.4472,960,17,965,17,1
295,4.4383,960,17,965,17,0
296,4.4295,960,17,965,17,0
297,4.4206,960,17,965,17,1
298,4.4118,960,17,965,17,0
299,4.4030,960,17,965,17,1
300,4.3942,960,17,965,17,1
301,4.3855,960,17,965,17,1
302,4.3767,960,17,965,17,1
303,4.3680,960,17,965,17,0
304,4.3593,960,17,965,17,1
305,4.3506,960,17,965,17,1
306,4.3419,960,17,965,17,1
307,4.3332,960,17,965,17,0
308,4.3246,960,17,965,17,1
309,4.3160,960,17,965,17,1
310,4.3074,960,17,965,17,1
311,4.2988,960,17,965,17,0
312,4.2902,960,17,965,17,1
313,4.2816,960,17,965,17,1
314,4.2731,960,17,965,17,1
315,4.2646,960,17,965,17,1
316,4.2560,960,17,965,17,1
317,4.2476,960,17,965,17,1
318,4.2391,960,17,965,17,0
319,4.2306,960,17,965,17,1
320,4.2222,960,17,965,17,1
321,4.2138,960,17,965,17,1
322,4.2054,960,17,965,17,1
323,4.1970,960,17,965,17,1
324,4.1886,960,17,965,17,1
325,4.1802,960,17,965,17,1
326,4.1719,960,17,965,17,1
327,4.1636,960,17,965,17,1
328,4.1553,960,17,965,17,1
329,4.1470,960,17,965,17,1
330,4.1387,960,17,965,17,1
331,4.1304,960,17,965,17,1
332,4.1222,960,17,965,17,1
333,4.1140,960,17,965,17,1
334,4.1058,960,17,965,17,1
335,4.0976,960,17,965,17,1
336,4.0894,960,17,965,17,1
