attack,item,detail,depth,n_streams,L,threshold,trials,m1,m2,m3,m4,witness,note
repro,0x1,seed_corpus,4,12,32,0.950,6,4.000000,0.000000,0.000000,0.000000,"","deep=6;novel=4;irreducible=0;self_check_mismatch=0"
repro,0x2,seed_corpus,4,12,32,0.950,9,6.000000,0.000000,0.000000,0.000000,"","deep=9;novel=6;irreducible=0;self_check_mismatch=0"
repro,0x7,seed_corpus,4,12,32,0.950,4,4.000000,0.000000,0.000000,0.000000,"","deep=4;novel=4;irreducible=0;self_check_mismatch=0"
repro,0x2A,seed_corpus,4,12,32,0.950,5,4.000000,0.000000,0.000000,0.000000,"","deep=5;novel=4;irreducible=0;self_check_mismatch=0"
repro,0x63,seed_corpus,4,12,32,0.950,7,5.000000,0.000000,0.000000,0.000000,"","deep=7;novel=5;irreducible=0;self_check_mismatch=0"
repro,0x3E8,seed_corpus,4,12,32,0.950,8,5.000000,0.000000,0.000000,0.000000,"","deep=8;novel=5;irreducible=0;self_check_mismatch=0"
repro,0x1111,seed_corpus,4,12,32,0.950,7,6.000000,0.000000,0.000000,0.000000,"","deep=7;novel=6;irreducible=0;self_check_mismatch=0"
repro,0xBEEF,seed_corpus,4,12,32,0.950,8,8.000000,0.000000,0.000000,0.000000,"","deep=8;novel=8;irreducible=0;self_check_mismatch=0"
repro,0xC0FFEE,seed_corpus,4,12,32,0.950,9,7.000000,0.000000,0.000000,0.000000,"","deep=9;novel=7;irreducible=0;self_check_mismatch=0"
repro,0xD00D,seed_corpus,4,12,32,0.950,9,6.000000,1.000000,0.000000,0.000000,"","deep=9;novel=6;irreducible=1;self_check_mismatch=0"
repro,0xACE,seed_corpus,4,12,32,0.950,5,3.000000,0.000000,0.000000,0.000000,"","deep=5;novel=3;irreducible=0;self_check_mismatch=0"
repro,0x5EED,seed_corpus,4,12,32,0.950,11,6.000000,0.000000,0.000000,0.000000,"","deep=11;novel=6;irreducible=0;self_check_mismatch=0"
repro,0xFACE,seed_corpus,4,12,32,0.950,5,5.000000,0.000000,0.000000,0.000000,"","deep=5;novel=5;irreducible=0;self_check_mismatch=0"
repro,0x1234,seed_corpus,4,12,32,0.950,7,6.000000,0.000000,0.000000,0.000000,"","deep=7;novel=6;irreducible=0;self_check_mismatch=0"
repro,0xABCD,seed_corpus,4,12,32,0.950,9,6.000000,0.000000,0.000000,0.000000,"","deep=9;novel=6;irreducible=0;self_check_mismatch=0"
repro,0x9999,seed_corpus,4,12,32,0.950,7,5.000000,0.000000,0.000000,0.000000,"","deep=7;novel=5;irreducible=0;self_check_mismatch=0"
repro,TOTALS,16seed_corpus,4,12,32,0.950,116,86.000000,1.000000,0.000000,0.000000,"","seeds=16;expect_novel~86;expect_irreducible~1"
A1_constructed,dev_k2,vs_st_gxor,1,12,32,0.950,500,0.000000,0.708000,0.953552,0.953476,"syms=33;pos=1;exp=0;got=1;sseed=0x0","coevo.reducible_d4=irreducible"
A1_constructed,dev_k2or3,vs_st_gxor,1,12,32,0.950,500,0.000000,0.320000,0.941640,0.941711,"syms=33;pos=1;exp=0;got=1;sseed=0x0","coevo.reducible_d4=irreducible"
A1_constructed,dev_k3,vs_st_gxor,1,12,32,0.950,500,1.000000,1.000000,0.988088,0.988235,"syms=333;pos=2;exp=3;got=0;sseed=0x0","coevo.reducible_d4=REDUCIBLE"
A1_constructed,dev_k4,vs_st_gxor,1,12,32,0.950,500,1.000000,1.000000,0.996989,0.997131,"syms=3333;pos=3;exp=0;got=1;sseed=0x0","coevo.reducible_d4=REDUCIBLE"
A1_constructed,dev_k5,vs_st_gxor,1,12,32,0.950,500,1.000000,1.000000,0.999288,0.999161,"syms=33333;pos=4;exp=3;got=0;sseed=0x0","coevo.reducible_d4=REDUCIBLE"
A1_constructed,dev_k6,vs_st_gxor,1,12,32,0.950,500,1.000000,1.000000,0.999776,0.999817,"syms=333333;pos=5;exp=0;got=1;sseed=0x0","coevo.reducible_d4=REDUCIBLE"
A1_constructed,dev_k7,vs_st_gxor,1,12,32,0.950,500,1.000000,1.000000,0.999959,0.999939,"syms=3333333;pos=6;exp=3;got=0;sseed=0x0","coevo.reducible_d4=REDUCIBLE"
A1_constructed,dev_k8,vs_st_gxor,1,12,32,0.950,500,1.000000,1.000000,0.999990,0.999985,"syms=33333333;pos=7;exp=0;got=1;sseed=0x0","coevo.reducible_d4=REDUCIBLE"
A1_constructed,horizon_bomb,vs_st_gxor,1,12,32,0.950,500,1.000000,1.000000,0.333333,0.125000,"syms=000000000000000000000000000000000;pos=32;exp=0;got=1;sseed=0x0","coevo.reducible_d4=REDUCIBLE"
A1_random,aggregate,random_progs_vs_genome_space,4,12,32,0.950,20000,79.000000,0.000000,79.000000,0.000000,"","alive=1238"
A1_census_fe,0x63_cand6,[>>],4,12,32,0.950,1,0.664124,33018.000000,0.000000,0.000000,"syms=220112100231231320123300330213332103;pos=35;exp=1;got=3;sseed=0xD00D3","production coevo.reducible said REDUCIBLE; true agreement < 0.95"
A1_census,aggregate,all_production_reducible_verdicts,4,12,32,0.950,115,114.000000,0.000000,1.000000,1.000000,"","min_true=0.664124;median_true=1.000000;of_86_headline_reducible=115"
A2_equal,aggregate,syntactic_variants_100seeds,0,12,32,0.950,1200,0.000000,1.000000,0.000000,0.000000,"","variant_construction_failures=0;min_frac_over_all=1.000000"
A2_nearband,dev_k2_trueabove,vs_st_gxor,1,12,32,0.950,2000,0.953552,0.709500,0.290500,0.000000,"","true agreement straddles the threshold; verdict is stream-seed noise"
A2_nearband,dev_k2or3_truebelow,vs_st_gxor,1,12,32,0.950,2000,0.941640,0.314000,0.686000,0.000000,"","true agreement straddles the threshold; verdict is stream-seed noise"
A3_seedflip,0x1_cand0,reducible_verdict,4,12,32,0.950,100,0.000000,1.000000,1.000000,0.000000,"","flip = verdict becomes NOT-reducible under an alternative stream seed"
