idx,i,j,size,depth,correctness
0,0,1,23,10,1.000000
1,4,6,23,10,1.000000
2,0,3,23,10,1.000000
3,4,5,23,10,1.000000
4,1,5,23,10,1.000000
5,1,2,23,10,1.000000
6,4,7,23,10,1.000000
7,0,4,23,10,1.000000
8,3,6,23,10,1.000000
9,3,7,23,10,1.000000
10,2,3,23,10,1.000000
11,0,1,23,10,1.000000
12,4,7,23,10,1.000000
13,6,7,23,10,1.000000
14,3,5,23,10,1.000000
15,2,4,23,10,1.000000
16,1,2,23,10,1.000000
17,3,6,23,10,1.000000
18,2,7,23,10,1.000000
19,5,7,23,10,1.000000
20,2,4,23,10,1.000000
21,5,6,23,10,1.000000
22,3,4,23,10,1.000000
