idx,op_id,op_name,dst,src1,src2,imm_hex,used_len,composite,avalanche,balance,period,chisq
0,2,MUL,6,0,2,0x0A241B1E22E9FC8A,4,47.8413,31.9880,32.0078,4096,248.3750
1,6,SPLITMIX_STEP,2,6,1,0xECBF67542D54805B,4,47.8413,31.9880,32.0078,4096,248.3750
2,4,SHL_XOR,7,2,0,0xE63E764286356F21,4,47.8413,31.9880,32.0078,4096,248.3750
3,6,SPLITMIX_STEP,7,7,1,0xAB22A50CADC5DCEC,4,47.8413,31.9880,32.0078,4096,248.3750
