embed done t=10s
head block done t=18s
L00 done off=3747MB t=29s
L01 done off=3958MB t=34s
L02 done off=4174MB t=40s
L03 done off=4390MB t=48s
L04 done off=4610MB t=57s
L05 done off=4827MB t=66s
L06 done off=5047MB t=74s
L07 done off=5263MB t=82s
L08 done off=5483MB t=89s
L09 done off=5699MB t=98s
L10 done off=5919MB t=107s
L11 done off=6136MB t=117s
L12 done off=6356MB t=126s
L13 done off=6572MB t=135s
L14 done off=6792MB t=145s
L15 done off=7008MB t=154s
L16 done off=7228MB t=163s
L17 done off=7445MB t=172s
L18 done off=7665MB t=182s
L19 done off=7881MB t=192s
L20 done off=8101MB t=200s
L21 done off=8317MB t=208s
L22 done off=8537MB t=215s
L23 done off=8754MB t=224s
L24 done off=8974MB t=230s
L25 done off=9190MB t=237s
L26 done off=9410MB t=245s
L27 done off=9626MB t=258s
L28 done off=9846MB t=271s
L29 done off=10063MB t=277s
L30 done off=10283MB t=286s
L31 done off=10499MB t=294s
L32 done off=10719MB t=309s
L33 done off=10935MB t=329s
L34 done off=11155MB t=348s
L35 done off=11372MB t=366s
L36 done off=11592MB t=383s
L37 done off=11808MB t=399s
L38 done off=12028MB t=417s
L39 done off=12244MB t=436s
L40 done off=12464MB t=459s
L41 done off=12681MB t=480s
L42 done off=12901MB t=495s
L43 done off=13117MB t=517s
L44 done off=13337MB t=534s
L45 done off=13553MB t=553s
L46 done off=13773MB t=569s
L47 done off=13990MB t=583s
L48 done off=14210MB t=598s
L49 done off=14426MB t=617s
L50 done off=14646MB t=631s
L51 done off=14862MB t=649s
L52 done off=15082MB t=663s
L53 done off=15299MB t=682s
L54 done off=15519MB t=708s
L55 done off=15735MB t=723s
L56 done off=15955MB t=742s
L57 done off=16171MB t=762s
L58 done off=16391MB t=782s
L59 done off=16608MB t=792s
L60 done off=16828MB t=801s
FORGE COMPLETE: 16828MB in 802s
verify layers.0.attn.wq_a.weight: max|diff|=3.725e-9 cosine=1.000000000
