layer,mean_cos,route_overlap,uniq_experts
0,0.999568,1.0000,48
1,0.999506,1.0000,48
2,0.999531,1.0000,48
3,0.998098,0.9583,41
4,0.993636,0.9167,50
5,0.991793,0.8958,41
6,0.988965,0.7708,46
7,0.986900,0.8750,47
8,0.983387,0.8333,39
9,0.976002,0.7500,49
10,0.968614,0.8542,45
11,0.964929,0.7917,47
12,0.960349,0.8125,48
13,0.961121,0.8542,44
14,0.955381,0.7708,46
15,0.953243,0.8542,46
16,0.951072,0.8125,43
17,0.950438,0.7708,44
18,0.949109,0.7917,39
19,0.946150,0.7917,40
20,0.929505,0.7708,40
21,0.913481,0.7292,41
22,0.846208,0.5833,43
23,0.808403,0.7083,47
24,0.778347,0.6250,47
25,0.780994,0.5000,51
26,0.723900,0.3750,51
27,0.711327,0.4375,54
28,0.693467,0.3750,56
29,0.656890,0.4375,63
30,0.614215,0.3542,59
31,0.591741,0.3125,55
32,0.552815,0.2292,68
33,0.498879,0.2708,69
34,0.442457,0.3542,60
35,0.469435,0.2292,69
36,0.454212,0.1250,67
37,0.445841,0.1042,77
38,0.432261,0.1250,68
39,0.419921,0.2708,74
40,0.405538,0.1250,78
41,0.399831,0.1250,74
42,0.384696,0.1250,80
43,0.377881,0.1667,79
44,0.365132,0.0833,79
45,0.362293,0.2708,73
46,0.363323,0.1458,70
47,0.355034,0.1667,72
48,0.350840,0.1042,77
49,0.342017,0.1875,76
50,0.336379,0.1667,76
51,0.328238,0.2917,67
52,0.324787,0.1250,74
53,0.318655,0.1250,72
54,0.304678,0.1458,70
55,0.292225,0.2083,72
56,0.291534,0.1667,72
57,0.333206,0.2500,64
58,0.303377,0.2708,60
59,0.254393,0.2500,73
60,0.228276,0.1875,66
