layer,mean_cos,route_overlap,uniq_experts
0,0.989167,1.0000,48
1,0.987623,1.0000,48
2,0.987761,1.0000,48
3,0.984854,0.8750,43
4,0.980398,0.8750,52
5,0.979304,0.8542,43
6,0.976124,0.7500,46
7,0.971854,0.7708,51
8,0.964739,0.7500,43
9,0.954476,0.6875,54
10,0.937291,0.6875,51
11,0.926921,0.6250,55
12,0.917092,0.6875,51
13,0.918463,0.7292,47
14,0.917782,0.7917,47
15,0.916630,0.7292,51
16,0.916065,0.7292,46
17,0.916452,0.6875,45
18,0.914621,0.6875,43
19,0.910463,0.6875,42
20,0.883682,0.6250,44
21,0.849177,0.6458,41
22,0.767177,0.5000,46
23,0.693800,0.4583,57
24,0.670707,0.6250,42
25,0.707704,0.4583,55
26,0.647228,0.2083,61
27,0.639648,0.5000,52
28,0.621031,0.2917,58
29,0.584223,0.2708,62
30,0.541752,0.2917,61
31,0.530173,0.2708,58
32,0.501349,0.3750,61
33,0.457560,0.2917,66
34,0.409102,0.2708,60
35,0.449330,0.2708,63
36,0.435878,0.1667,73
37,0.426079,0.1042,69
38,0.414745,0.1458,67
39,0.403358,0.1667,76
40,0.393563,0.0833,78
41,0.385963,0.1250,80
42,0.371229,0.1667,73
43,0.362007,0.1875,68
44,0.347336,0.1458,81
45,0.344149,0.2292,73
46,0.340652,0.2083,69
47,0.336151,0.1875,74
48,0.333564,0.1042,78
49,0.312913,0.2083,75
50,0.308898,0.2500,70
51,0.308635,0.2500,72
52,0.310511,0.1458,72
53,0.296699,0.2292,70
54,0.288033,0.1250,76
55,0.283177,0.2292,73
56,0.279883,0.1667,75
57,0.311767,0.2292,70
58,0.286126,0.2292,65
59,0.238912,0.1458,71
60,0.224782,0.1250,73
