layer,token,stream,e0,e1,e2,e3,e4,e5
0,0,0,255,230,188,168,62,252
0,0,1,255,230,188,168,62,252
0,1,0,266,112,155,15,47,61
0,1,1,266,112,155,15,47,61
0,2,0,150,122,258,324,163,242
0,2,1,150,122,258,324,163,242
0,3,0,247,144,26,340,332,114
0,3,1,247,144,26,340,332,114
0,4,0,147,339,111,167,119,343
0,4,1,147,339,111,167,119,343
0,5,0,188,39,361,289,209,368
0,5,1,188,39,361,289,209,368
0,6,0,322,345,184,135,351,60
0,6,1,322,345,184,135,351,60
0,7,0,203,153,141,34,232,191
0,7,1,203,153,141,34,232,191
1,0,0,52,301,17,298,70,185
1,0,1,52,301,17,298,70,185
1,1,0,237,168,41,118,48,146
1,1,1,237,168,41,118,48,146
1,2,0,211,206,201,283,18,146
1,2,1,211,206,201,283,18,146
1,3,0,375,256,9,145,180,303
1,3,1,375,256,9,145,180,303
1,4,0,274,252,0,191,45,228
1,4,1,274,252,0,191,45,228
1,5,0,101,241,169,78,292,238
1,5,1,101,241,169,78,292,238
1,6,0,134,141,380,31,120,3
1,6,1,134,141,380,31,120,3
1,7,0,195,117,15,138,39,153
1,7,1,195,117,15,138,39,153
2,0,0,342,0,133,309,193,106
2,0,1,342,0,133,309,193,106
2,1,0,69,144,298,8,207,61
2,1,1,69,144,298,8,207,61
2,2,0,242,201,60,328,111,355
2,2,1,242,201,60,328,111,355
2,3,0,203,63,11,234,122,69
2,3,1,203,63,11,234,122,69
2,4,0,117,264,75,18,367,58
2,4,1,117,264,75,18,367,58
2,5,0,46,343,91,164,121,224
2,5,1,46,343,91,164,121,224
2,6,0,248,304,341,19,212,290
2,6,1,248,304,341,19,212,290
2,7,0,195,308,186,25,41,78
2,7,1,195,308,186,25,41,78
3,0,0,100,374,2,67,78,190
3,0,1,100,374,2,67,78,190
3,1,0,10,59,184,93,163,79
3,1,1,10,59,93,184,163,246
3,2,0,274,287,263,79,318,377
3,2,1,274,287,263,79,318,377
3,3,0,79,21,263,200,55,267
3,3,1,79,21,263,200,55,34
3,4,0,80,140,88,329,215,15
3,4,1,80,140,88,329,15,215
3,5,0,53,344,79,213,263,65
3,5,1,53,344,79,213,263,65
3,6,0,212,44,55,86,318,89
3,6,1,212,44,55,86,318,89
3,7,0,259,329,263,79,113,40
3,7,1,259,329,263,79,113,40
4,0,0,155,27,39,162,33,268
4,0,1,155,27,39,162,33,268
4,1,0,233,210,150,148,146,188
4,1,1,233,210,150,148,146,321
4,2,0,323,261,371,175,244,340
4,2,1,323,261,371,175,244,340
4,3,0,106,117,254,80,370,256
4,3,1,106,117,254,155,256,166
4,4,0,357,202,0,26,102,224
4,4,1,357,202,0,102,26,224
4,5,0,74,340,352,275,325,139
4,5,1,74,340,275,325,352,309
4,6,0,134,271,95,341,273,148
4,6,1,134,271,95,341,273,148
4,7,0,184,48,374,314,195,92
4,7,1,184,48,374,314,195,92
5,0,0,91,288,109,77,66,5
5,0,1,91,288,109,77,66,5
5,1,0,230,246,214,216,197,136
5,1,1,230,246,216,214,136,182
5,2,0,375,104,288,364,313,81
5,2,1,375,104,288,364,313,81
5,3,0,260,165,269,206,53,285
5,3,1,260,165,201,53,269,313
5,4,0,161,380,356,226,288,269
5,4,1,161,380,356,288,226,269
5,5,0,20,288,62,165,275,103
5,5,1,20,165,288,62,269,275
5,6,0,316,214,288,265,206,313
5,6,1,316,214,288,265,206,35
5,7,0,288,380,237,286,208,119
5,7,1,288,380,237,286,208,119
6,0,0,114,53,38,184,201,301
6,0,1,114,53,38,184,201,172
6,1,0,64,236,54,242,39,71
6,1,1,64,236,242,318,54,259
6,2,0,182,360,53,268,49,194
6,2,1,182,360,53,268,49,194
6,3,0,16,247,260,54,155,164
6,3,1,16,247,33,371,126,282
6,4,0,372,144,355,237,337,53
6,4,1,372,144,355,237,337,3
6,5,0,53,106,49,194,156,342
6,5,1,53,106,49,364,97,194
6,6,0,268,53,209,196,242,155
6,6,1,268,53,209,242,196,156
6,7,0,53,372,314,102,194,44
6,7,1,53,372,314,102,194,44
7,0,0,164,258,123,261,259,138
7,0,1,164,258,123,261,259,138
7,1,0,299,1,238,360,116,160
7,1,1,299,80,1,36,160,116
7,2,0,26,81,65,103,94,144
7,2,1,26,81,65,103,94,144
7,3,0,48,383,106,249,256,364
7,3,1,383,48,249,256,258,106
7,4,0,115,46,145,75,257,223
7,4,1,115,46,145,75,156,257
7,5,0,211,103,48,123,374,225
7,5,1,211,103,48,225,123,374
7,6,0,274,348,101,230,309,187
7,6,1,274,348,101,230,110,361
7,7,0,123,115,325,258,61,156
7,7,1,123,115,325,258,61,156
8,0,0,294,247,261,65,0,248
8,0,1,294,247,261,65,162,0
8,1,0,0,294,1,41,119,83
8,1,1,0,294,17,1,41,119
8,2,0,83,294,38,24,31,77
8,2,1,83,294,38,24,31,77
8,3,0,294,258,247,281,88,107
8,3,1,258,294,281,107,7,17
8,4,0,153,222,160,281,74,294
8,4,1,153,222,160,281,74,228
8,5,0,294,247,261,156,25,281
8,5,1,294,247,350,261,156,281
8,6,0,294,247,173,70,5,253
8,6,1,294,247,173,268,70,102
8,7,0,294,341,247,375,107,180
8,7,1,294,341,247,375,107,180
9,0,0,267,353,338,218,223,39
9,0,1,267,353,338,218,223,33
9,1,0,332,229,234,257,313,250
9,1,1,229,234,332,257,298,182
9,2,0,331,114,196,138,294,326
9,2,1,331,114,196,138,326,294
9,3,0,39,1,69,59,183,357
9,3,1,1,39,189,357,69,370
9,4,0,1,150,220,27,360,140
9,4,1,1,150,220,360,140,120
9,5,0,214,115,218,114,92,219
9,5,1,214,218,115,114,215,258
9,6,0,266,92,345,258,342,215
9,6,1,266,323,353,92,218,14
9,7,0,161,353,92,271,207,39
9,7,1,161,353,92,271,207,39
10,0,0,13,313,163,120,71,179
10,0,1,120,13,163,313,179,71
10,1,0,57,349,144,198,167,197
10,1,1,57,167,197,198,144,1
10,2,0,194,216,178,266,177,19
10,2,1,194,178,177,216,266,19
10,3,0,256,345,98,66,372,179
10,3,1,256,345,363,98,372,144
10,4,0,230,173,265,159,98,253
10,4,1,230,173,159,98,253,265
10,5,0,194,321,192,31,177,277
10,5,1,321,177,31,189,266,194
10,6,0,237,242,36,177,32,120
10,6,1,237,194,120,255,32,177
10,7,0,321,143,108,230,378,325
10,7,1,143,321,108,378,230,325
11,0,0,164,339,46,377,353,310
11,0,1,339,164,46,377,353,310
11,1,0,79,238,180,377,306,276
11,1,1,79,238,91,180,377,303
11,2,0,303,99,29,163,157,199
11,2,1,303,99,29,163,157,199
11,3,0,191,41,63,228,251,207
11,3,1,191,228,221,240,41,251
11,4,0,68,79,299,208,50,51
11,4,1,68,79,299,50,208,51
11,5,0,159,164,41,27,360,359
11,5,1,159,164,41,171,40,234
11,6,0,233,284,44,48,215,306
11,6,1,233,284,116,98,46,306
11,7,0,310,164,339,263,171,191
11,7,1,310,164,339,263,191,171
12,0,0,189,126,120,185,246,78
12,0,1,189,126,120,185,246,259
12,1,0,18,114,95,78,280,169
12,1,1,18,78,169,122,95,114
12,2,0,187,101,60,280,218,179
12,2,1,187,60,101,280,218,140
12,3,0,2,357,255,239,133,97
12,3,1,2,357,255,97,199,239
12,4,0,307,148,70,239,80,354
12,4,1,307,70,148,80,239,354
12,5,0,318,78,140,138,84,246
12,5,1,318,140,146,78,84,317
12,6,0,120,27,21,246,109,276
12,6,1,120,12,291,246,21,208
12,7,0,167,126,140,4,82,226
12,7,1,167,126,140,4,82,226
13,0,0,157,189,96,127,265,42
13,0,1,157,189,96,127,265,337
13,1,0,329,94,348,258,322,273
13,1,1,329,94,337,258,322,170
13,2,0,297,189,94,205,140,166
13,2,1,297,189,140,205,94,230
13,3,0,165,55,310,230,1,272
13,3,1,55,272,310,1,36,230
13,4,0,263,80,166,156,230,30
13,4,1,263,80,30,230,166,156
13,5,0,90,211,278,309,127,94
13,5,1,90,189,127,145,211,309
13,6,0,12,265,235,238,325,54
13,6,1,12,265,235,325,238,54
13,7,0,378,135,65,272,186,325
13,7,1,378,135,65,272,186,325
14,0,0,85,312,316,95,282,56
14,0,1,85,95,312,316,56,374
14,1,0,167,117,348,236,261,23
14,1,1,167,117,348,375,236,279
14,2,0,164,18,103,56,17,317
14,2,1,164,18,17,116,220,317
14,3,0,308,164,122,56,259,176
14,3,1,308,122,164,259,176,374
14,4,0,365,1,13,296,69,375
14,4,1,365,1,13,296,69,63
14,5,0,164,374,4,122,168,281
14,5,1,164,4,168,374,98,56
14,6,0,227,164,111,85,64,374
14,6,1,164,227,64,85,4,143
14,7,0,247,372,263,374,271,233
14,7,1,247,372,263,374,271,233
15,0,0,362,11,334,52,203,130
15,0,1,362,334,11,52,130,203
15,1,0,288,150,134,110,13,244
15,1,1,244,150,288,191,110,13
15,2,0,96,224,253,143,236,141
15,2,1,96,224,253,236,276,143
15,3,0,109,308,253,281,39,88
15,3,1,109,281,308,123,39,97
15,4,0,328,60,203,353,300,111
15,4,1,328,203,353,60,306,117
15,5,0,301,68,11,264,317,364
15,5,1,301,68,264,364,11,88
15,6,0,362,68,227,317,90,130
15,6,1,68,317,362,90,227,130
15,7,0,362,289,119,129,77,203
15,7,1,362,289,119,129,77,203
16,0,0,114,155,154,187,302,289
16,0,1,114,155,187,289,154,120
16,1,0,9,103,174,187,362,68
16,1,1,103,9,174,362,93,325
16,2,0,362,99,305,125,303,198
16,2,1,362,99,125,198,144,183
16,3,0,181,74,90,362,366,26
16,3,1,181,362,74,26,147,90
16,4,0,360,102,154,362,107,269
16,4,1,360,102,154,269,301,362
16,5,0,262,324,362,178,47,71
16,5,1,262,178,324,47,362,71
16,6,0,49,74,114,203,303,44
16,6,1,49,74,303,203,58,362
16,7,0,341,360,262,362,114,125
16,7,1,341,360,262,362,114,125
17,0,0,91,254,113,267,29,335
17,0,1,91,254,335,29,113,267
17,1,0,255,127,53,235,108,337
17,1,1,255,235,100,337,206,53
17,2,0,175,7,278,190,264,370
17,2,1,175,7,278,249,264,1
17,3,0,82,30,254,233,129,328
17,3,1,82,254,46,129,233,343
17,4,0,288,82,337,255,175,166
17,4,1,288,82,175,337,27,167
17,5,0,175,370,157,116,261,91
17,5,1,175,370,116,157,91,206
17,6,0,119,91,337,175,327,367
17,6,1,327,91,119,175,56,250
17,7,0,337,175,137,80,91,250
17,7,1,337,175,137,80,91,250
18,0,0,192,167,98,376,57,138
18,0,1,192,167,376,98,57,138
18,1,0,119,238,190,280,58,373
18,1,1,190,58,71,119,373,280
18,2,0,365,330,167,343,198,98
18,2,1,167,330,365,98,342,30
18,3,0,50,166,330,360,185,164
18,3,1,166,330,345,153,193,50
18,4,0,361,238,341,330,343,216
18,4,1,361,341,330,59,193,216
18,5,0,167,144,343,330,16,98
18,5,1,167,144,330,343,98,16
18,6,0,167,57,43,271,208,30
18,6,1,167,30,208,271,138,304
18,7,0,167,330,77,43,192,50
18,7,1,167,330,77,43,50,192
19,0,0,159,318,359,188,223,187
19,0,1,159,359,318,188,223,65
19,1,0,24,212,364,180,207,257
19,1,1,24,212,180,364,207,6
19,2,0,64,120,364,365,283,7
19,2,1,64,283,120,365,364,135
19,3,0,9,70,364,84,333,167
19,3,1,9,70,364,64,333,111
19,4,0,24,120,296,64,364,207
19,4,1,296,24,120,92,64,364
19,5,0,120,64,80,68,70,7
19,5,1,120,64,111,68,80,328
19,6,0,120,70,256,193,24,227
19,6,1,120,256,70,193,182,15
19,7,0,120,64,9,153,342,358
19,7,1,120,64,153,9,342,358
20,0,0,319,25,363,116,194,294
20,0,1,319,25,294,369,363,194
20,1,0,191,13,278,235,35,240
20,1,1,278,191,229,35,13,240
20,2,0,353,233,4,194,105,248
20,2,1,233,4,105,347,353,381
20,3,0,327,379,191,26,116,77
20,3,1,327,191,353,116,26,379
20,4,0,191,143,13,284,55,347
20,4,1,143,191,55,13,347,284
20,5,0,347,381,353,194,121,377
20,5,1,194,121,347,353,252,9
20,6,0,4,105,185,369,347,317
20,6,1,4,105,353,91,227,35
20,7,0,347,353,343,324,351,317
20,7,1,347,353,343,324,317,351
21,0,0,158,88,226,23,308,289
21,0,1,158,88,226,23,26,352
21,1,0,45,159,378,227,321,51
21,1,1,159,45,220,121,80,257
21,2,0,121,371,377,352,364,103
21,2,1,121,371,172,352,103,364
21,3,0,226,45,168,47,208,84
21,3,1,47,168,132,15,84,226
21,4,0,65,45,226,277,140,132
21,4,1,65,45,226,277,132,182
21,5,0,45,103,172,121,99,277
21,5,1,45,121,172,103,377,99
21,6,0,158,152,23,250,103,92
21,6,1,23,103,158,47,92,358
21,7,0,158,117,277,87,208,352
21,7,1,158,117,277,87,208,352
22,0,0,316,37,74,111,336,306
22,0,1,229,111,247,306,74,209
22,1,0,356,224,42,126,343,111
22,1,1,356,336,209,76,343,42
22,2,0,207,360,78,343,153,259
22,2,1,207,343,139,360,68,345
22,3,0,207,42,221,360,233,330
22,3,1,207,221,254,110,360,111
22,4,0,356,155,42,321,327,153
22,4,1,155,42,321,285,356,170
22,5,0,207,260,58,141,195,76
22,5,1,207,260,58,275,76,68
22,6,0,207,260,343,141,345,80
22,6,1,207,141,343,260,42,221
22,7,0,260,340,229,126,141,42
22,7,1,260,340,229,126,364,268
23,0,0,358,10,74,335,131,176
23,0,1,358,10,335,74,176,131
23,1,0,80,26,272,142,262,63
23,1,1,26,80,358,272,262,337
23,2,0,262,287,349,21,26,44
23,2,1,349,193,184,262,287,26
23,3,0,48,312,317,348,0,86
23,3,1,48,317,354,305,333,343
23,4,0,241,67,124,298,96,176
23,4,1,241,67,12,176,298,124
23,5,0,255,1,48,354,100,314
23,5,1,48,1,255,343,353,100
23,6,0,26,100,354,120,314,10
23,6,1,100,26,351,354,147,362
23,7,0,241,26,287,354,94,27
23,7,1,241,26,287,354,27,94
24,0,0,82,246,265,231,380,15
24,0,1,82,246,380,15,265,128
24,1,0,222,114,309,39,218,206
24,1,1,202,218,70,259,283,114
24,2,0,122,70,9,195,377,38
24,2,1,70,122,9,246,118,271
24,3,0,246,239,265,186,82,191
24,3,1,241,283,246,265,239,191
24,4,0,147,382,15,126,200,246
24,4,1,147,246,126,309,382,70
24,5,0,246,265,82,9,263,157
24,5,1,246,265,82,345,130,9
24,6,0,265,121,246,258,247,341
24,6,1,230,246,258,265,336,52
24,7,0,265,246,87,146,341,52
24,7,1,265,246,146,87,78,341
25,0,0,372,383,107,65,76,74
25,0,1,107,372,334,383,169,378
25,1,0,30,35,361,360,156,203
25,1,1,107,361,278,215,203,30
25,2,0,186,107,334,317,348,236
25,2,1,186,107,334,317,149,236
25,3,0,210,107,347,65,236,337
25,3,1,210,236,347,208,65,101
25,4,0,328,9,378,50,193,284
25,4,1,9,328,107,372,195,158
25,5,0,107,72,45,82,152,7
25,5,1,347,220,175,152,65,117
25,6,0,154,65,72,333,107,11
25,6,1,154,7,65,158,220,153
25,7,0,107,65,273,152,258,26
25,7,1,107,65,258,334,152,133
26,0,0,183,53,158,265,38,173
26,0,1,183,265,272,53,158,113
26,1,0,292,172,375,303,261,252
26,1,1,303,226,113,122,229,82
26,2,0,181,226,279,259,61,357
26,2,1,53,279,172,226,113,183
26,3,0,214,146,53,265,222,226
26,3,1,279,183,226,338,278,179
26,4,0,217,204,265,145,149,238
26,4,1,217,265,149,204,148,337
26,5,0,53,279,172,61,217,272
26,5,1,146,53,61,120,178,135
26,6,0,382,233,53,43,172,304
26,6,1,38,18,14,53,233,316
26,7,0,53,117,135,217,183,281
26,7,1,53,135,151,355,172,382
27,0,0,225,143,251,82,103,237
27,0,1,225,30,177,70,343,219
27,1,0,142,233,316,327,335,298
27,1,1,335,327,171,298,142,316
27,2,0,225,177,78,2,29,228
27,2,1,225,177,128,81,296,284
27,3,0,225,297,62,177,277,24
27,3,1,225,177,316,77,129,226
27,4,0,329,225,103,177,298,228
27,4,1,225,329,104,178,298,228
27,5,0,225,288,6,207,118,107
27,5,1,288,238,225,228,165,77
27,6,0,2,112,70,261,177,294
27,6,1,233,83,70,207,368,214
27,7,0,177,225,132,128,109,250
27,7,1,177,112,326,225,132,128
28,0,0,98,361,222,369,291,22
28,0,1,179,98,369,107,22,51
28,1,0,52,296,252,4,241,51
28,1,1,296,51,270,52,59,58
28,2,0,196,369,228,160,51,270
28,2,1,108,369,310,51,179,361
28,3,0,75,285,310,322,362,126
28,3,1,51,311,107,160,75,53
28,4,0,287,51,160,93,222,332
28,4,1,51,196,160,332,222,110
28,5,0,339,13,285,311,61,191
28,5,1,243,369,380,51,305,266
28,6,0,352,51,269,271,160,312
28,6,1,352,47,21,223,76,264
28,7,0,51,48,31,47,26,285
28,7,1,51,47,48,31,7,137
29,0,0,329,87,311,159,369,280
29,0,1,244,327,159,329,273,239
29,1,0,339,314,332,324,169,111
29,1,1,339,197,270,111,324,266
29,2,0,55,327,87,287,293,9
29,2,1,88,198,344,129,87,148
29,3,0,60,70,281,88,226,89
29,3,1,60,287,70,281,371,331
29,4,0,113,99,173,274,311,322
29,4,1,311,99,274,105,113,173
29,5,0,287,87,188,19,240,267
29,5,1,287,304,187,230,209,87
29,6,0,242,87,334,49,259,127
29,6,1,242,130,287,104,311,265
29,7,0,87,44,229,190,33,230
29,7,1,87,44,113,190,229,328
30,0,0,140,37,260,65,67,215
30,0,1,37,140,318,60,65,236
30,1,0,307,253,162,121,220,142
30,1,1,37,140,184,313,141,307
30,2,0,140,37,50,371,67,74
30,2,1,37,65,120,369,140,19
30,3,0,140,37,213,311,87,111
30,3,1,140,274,311,31,119,113
30,4,0,140,332,110,111,284,374
30,4,1,140,274,110,284,165,202
30,5,0,140,53,241,285,162,185
30,5,1,140,276,241,285,99,213
