idx,op_id,op_name,dst,src1,src2
0,0,INIT_MM_CUR,0,0,0
1,4,EVAL_MM_CUR,0,0,0
2,5,ACCEPT_MM_IF_BETTER,0,0,0
3,9,REG_XOR,1,2,2
4,2,MUTATE_MM_BEST_TO_CUR,2,0,3
5,13,NOP,2,3,1
6,5,ACCEPT_MM_IF_BETTER,3,0,2
7,12,CALL_MM,1,3,1
8,6,ACCEPT_MM_SA,1,2,2
9,7,RESET_MM_CUR_TO_BEST,1,0,0
10,2,MUTATE_MM_BEST_TO_CUR,1,1,3
