sample,cell,anchor_mean,holdout_mean,nearest_seed_norm,mmm_eval_before_accept,mmm_call_count,mm_eval_before_accept,mm_call_count
0,23,47.580078,46.210566,0.933333,true,0,true,1
1,35,47.580078,46.180461,1.000000,true,2,true,0
2,23,47.677734,43.931782,1.000000,true,0,true,0
3,23,47.512451,42.159351,1.000000,true,0,true,0
4,23,47.580078,47.216589,1.000000,true,0,true,0
5,29,47.455078,41.415242,1.000000,true,1,true,0
6,23,47.457520,40.828506,1.000000,true,0,true,0
7,23,47.700317,41.772922,1.000000,true,0,true,1
8,23,47.523926,44.135964,1.000000,true,0,true,2
9,35,47.678955,39.172627,1.000000,true,2,true,1
10,29,47.322632,47.486694,1.000000,true,1,true,0
11,29,47.468506,35.057952,1.000000,true,1,true,0
12,29,47.455078,47.216589,1.000000,true,1,true,0
13,23,47.618989,43.465266,1.000000,true,0,true,1
14,23,47.457520,40.828506,1.000000,true,0,true,0
15,23,47.580078,47.216589,1.000000,true,0,true,0
16,23,47.671533,41.401062,1.000000,true,0,true,0
17,23,47.501050,40.828506,1.000000,true,0,true,0
18,29,47.501050,40.828506,1.000000,true,1,true,0
19,23,47.473877,41.415242,1.000000,true,0,true,0
20,29,47.663696,41.021748,1.000000,true,1,true,0
21,29,47.633179,42.826963,1.000000,true,1,true,0
22,29,47.494141,43.931782,1.000000,true,1,true,0
23,29,47.538574,42.875947,1.000000,true,1,true,2
24,35,47.615479,42.875947,1.000000,true,2,true,2
25,35,47.530078,44.976211,1.000000,true,3,true,0
26,23,47.479980,35.057952,1.000000,true,0,true,1
27,23,47.515503,41.266987,1.000000,true,0,true,0
28,23,47.501050,40.828506,1.000000,true,0,true,0
29,35,47.464146,42.488687,1.000000,true,2,true,3
30,29,47.501050,40.828506,1.000000,true,1,true,0
31,23,47.650269,39.172627,1.000000,true,0,true,0
