idx,op_id,op_name,dst,src1,src2
0,1,AND,234,63,10
1,0,XOR,106,16,235
2,1,AND,165,107,34
3,2,NOT,180,33,72
4,0,XOR,62,55,56
5,1,AND,99,77,109
6,0,XOR,254,44,52
7,2,NOT,202,118,149
8,2,NOT,162,20,6
9,2,NOT,102,1,80
10,0,XOR,5,13,48
11,1,AND,130,212,225
12,0,XOR,240,25,28
13,0,XOR,81,106,62
14,0,XOR,253,35,45
15,1,AND,191,23,210
16,0,XOR,73,168,43
17,0,XOR,49,27,11
18,0,XOR,153,239,0
19,1,AND,145,189,88
20,1,AND,25,184,149
21,0,XOR,148,54,73
22,2,NOT,151,15,97
23,0,XOR,121,102,151
24,2,NOT,66,3,8
25,1,AND,158,99,41
26,0,XOR,2,49,59
27,1,AND,59,105,255
28,0,XOR,175,81,6
29,2,NOT,79,97,105
30,0,XOR,213,15,0
31,1,AND,166,90,172
32,2,NOT,109,84,246
33,0,XOR,9,148,41
34,2,NOT,138,39,77
35,2,NOT,1,114,138
36,2,NOT,15,206,55
37,0,XOR,202,81,79
38,0,XOR,86,25,56
39,0,XOR,148,234,175
40,1,AND,111,139,44
41,0,XOR,178,143,9
42,0,XOR,166,19,148
43,1,AND,234,162,142
44,1,AND,87,107,25
45,0,XOR,16,47,66
46,0,XOR,90,229,116
47,0,XOR,49,22,2
48,0,XOR,225,57,138
49,2,NOT,110,30,89
50,0,XOR,1,84,24
51,0,XOR,46,166,9
52,0,XOR,222,5,180
53,1,AND,156,158,178
54,2,NOT,39,92,226
55,1,AND,167,213,176
56,1,AND,206,196,2
57,0,XOR,20,102,63
58,1,AND,97,211,16
59,0,XOR,77,152,178
60,0,XOR,139,180,146
61,2,NOT,187,111,216
62,0,XOR,147,26,35
63,0,XOR,29,118,207
64,0,XOR,152,37,16
65,0,XOR,197,240,73
66,2,NOT,80,145,79
67,0,XOR,23,175,41
68,0,XOR,24,23,17
69,0,XOR,165,181,225
70,0,XOR,220,47,146
71,0,XOR,0,147,46
72,0,XOR,35,33,77
73,0,XOR,240,4,240
74,2,NOT,195,21,188
75,1,AND,178,58,217
76,0,XOR,210,129,73
77,0,XOR,210,129,73
78,2,NOT,67,210,165
79,2,NOT,17,240,21
80,1,AND,19,127,10
81,0,XOR,160,227,194
82,1,AND,216,51,213
83,2,NOT,156,121,60
84,1,AND,181,153,61
85,1,AND,113,93,56
86,0,XOR,68,71,82
87,1,AND,163,25,171
88,1,AND,89,223,241
89,2,NOT,47,230,175
90,2,NOT,28,67,197
91,2,NOT,186,85,189
92,2,NOT,150,107,52
93,2,NOT,234,87,26
94,2,NOT,116,117,131
95,0,XOR,47,24,49
96,0,XOR,249,247,141
97,1,AND,228,94,2
98,0,XOR,31,47,150
99,2,NOT,199,222,150
100,1,AND,228,94,2
101,0,XOR,31,47,150
102,2,NOT,199,222,150
103,2,NOT,34,0,198
104,0,XOR,9,157,240
105,0,XOR,249,139,240
106,0,XOR,117,172,53
107,0,XOR,202,59,253
108,0,XOR,217,213,225
109,2,NOT,8,237,209
110,2,NOT,128,176,115
111,1,AND,199,147,189
112,0,XOR,33,240,53
113,0,XOR,235,114,239
114,0,XOR,41,61,162
115,0,XOR,40,65,185
116,2,NOT,224,230,103
117,2,NOT,119,27,218
118,2,NOT,71,47,204
119,1,AND,21,72,197
120,1,AND,155,32,186
121,0,XOR,154,15,241
122,0,XOR,153,202,80
123,1,AND,215,58,83
124,0,XOR,104,87,12
125,0,XOR,162,142,82
126,0,XOR,92,45,24
127,0,XOR,92,45,24
128,0,XOR,92,45,24
129,0,XOR,207,254,34
130,2,NOT,182,37,131
131,2,NOT,43,197,26
132,0,XOR,6,48,217
133,2,NOT,28,91,125
134,2,NOT,25,49,95
135,2,NOT,219,31,167
136,2,NOT,52,114,19
137,2,NOT,100,46,195
138,1,AND,57,40,184
139,0,XOR,93,126,15
140,1,AND,129,209,80
141,0,XOR,48,66,110
142,1,AND,115,43,93
143,2,NOT,44,166,8
144,1,AND,252,34,209
145,2,NOT,20,252,34
146,2,NOT,160,18,118
147,0,XOR,52,187,9
148,0,XOR,40,27,43
149,0,XOR,159,108,144
150,2,NOT,55,31,37
151,0,XOR,186,32,227
152,2,NOT,103,134,138
153,0,XOR,3,6,249
154,0,XOR,62,6,92
155,2,NOT,231,1,10
156,1,AND,15,204,205
157,0,XOR,187,198,30
158,1,AND,70,65,104
159,1,AND,70,65,104
160,2,NOT,96,162,71
161,0,XOR,244,121,33
162,0,XOR,6,13,46
163,0,XOR,6,13,46
164,2,NOT,95,147,61
165,0,XOR,15,33,51
166,0,XOR,110,165,46
167,0,XOR,2,156,33
168,1,AND,83,162,2
169,0,XOR,177,149,11
170,0,XOR,47,207,171
171,0,XOR,67,222,110
172,0,XOR,202,46,171
173,0,XOR,127,127,51
174,2,NOT,26,250,78
175,0,XOR,127,127,51
176,0,XOR,17,25,23
177,0,XOR,148,197,191
178,2,NOT,73,48,159
179,0,XOR,249,3,117
180,0,XOR,14,201,175
181,0,XOR,146,39,3
182,1,AND,82,123,39
183,1,AND,250,89,82
184,1,AND,253,110,36
185,0,XOR,24,67,2
186,1,AND,178,81,153
187,0,XOR,166,0,216
188,0,XOR,63,40,13
189,0,XOR,1,67,25
190,2,NOT,158,50,218
191,0,XOR,102,172,49
192,0,XOR,63,40,13
193,0,XOR,1,67,25
194,0,XOR,67,24,102
195,0,XOR,102,172,49
196,2,NOT,108,28,17
197,2,NOT,196,51,150
198,0,XOR,93,195,1
199,2,NOT,179,60,87
200,2,NOT,61,120,202
201,0,XOR,27,59,24
202,2,NOT,53,142,57
203,1,AND,75,46,209
204,0,XOR,50,31,115
205,2,NOT,40,249,114
206,2,NOT,154,24,141
207,1,AND,85,144,3
208,1,AND,165,232,55
209,2,NOT,94,176,95
210,0,XOR,25,154,187
211,0,XOR,22,47,15
212,2,NOT,178,62,229
213,0,XOR,20,179,67
214,0,XOR,70,73,24
215,0,XOR,45,166,48
216,2,NOT,43,93,60
217,0,XOR,56,93,33
218,2,NOT,60,25,113
219,0,XOR,18,170,43
220,0,XOR,26,196,46
221,0,XOR,32,153,56
222,0,XOR,4,25,51
223,0,XOR,30,85,0
224,0,XOR,13,152,67
225,2,NOT,217,0,193
226,2,NOT,42,63,105
227,0,XOR,0,45,114
228,0,XOR,52,34,171
229,2,NOT,12,217,71
230,2,NOT,18,13,134
231,0,XOR,48,249,202
232,0,XOR,5,67,58
233,0,XOR,193,196,137
234,2,NOT,46,32,235
235,2,NOT,152,39,54
236,0,XOR,9,165,56
237,2,NOT,43,13,108
238,2,NOT,58,70,128
239,0,XOR,54,165,27
240,2,NOT,23,13,40
241,0,XOR,61,136,22
242,2,NOT,222,184,190
243,0,XOR,36,166,174
244,2,NOT,200,104,74
245,0,XOR,41,186,22
246,2,NOT,200,104,74
247,0,XOR,59,250,71
248,2,NOT,14,24,220
249,1,AND,15,26,28
250,0,XOR,150,13,181
251,2,NOT,16,46,188
252,0,XOR,53,187,150
253,0,XOR,7,177,249
254,2,NOT,37,58,124
255,2,NOT,29,4,228
256,2,NOT,10,32,36
257,0,XOR,19,231,24
258,0,XOR,11,1,195
259,2,NOT,25,23,234
