gen,train_anchor_mean,holdout_mean,prev_holdout,verdict,accepted,mm_evals,chain_extras_len
0,43.287080,27.967263,0.000000,ADVANCE,0,188,0
1,46.780386,35.696721,27.967263,ADVANCE + STRICT_DOMINATION,2,200,1
2,46.985664,35.696721,35.696721,ADVANCE(tie),3,208,2
3,43.212402,37.256350,35.696721,ADVANCE + STRICT_DOMINATION,2,196,3
4,46.963623,27.967263,37.256350,HALT(holdout_regression),0,188,4
