iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
1,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
2,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
3,true,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
4,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
5,false,false,-502742.654761,-1000000.000000,-1000000.000000,-1000000.000000
6,false,false,-502742.654761,-1000000.000000,-1000000.000000,-1000000.000000
7,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
8,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
9,false,false,-750059.564414,-1000000.000000,-1000000.000000,-1000000.000000
10,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
11,false,false,-502742.654761,-1000000.000000,-1000000.000000,-1000000.000000
12,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
13,false,false,-502742.654761,-1000000.000000,-1000000.000000,-1000000.000000
14,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
15,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
16,false,false,-750063.607358,-1000000.000000,-1000000.000000,-1000000.000000
17,false,false,-750052.419966,-1000000.000000,-1000000.000000,-1000000.000000
18,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
19,false,false,-752680.312500,-1000000.000000,-1000000.000000,-1000000.000000
20,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
21,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
22,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
23,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
24,false,false,-752684.812500,-1000000.000000,-1000000.000000,-1000000.000000
25,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
26,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
27,false,false,-502742.654761,-1000000.000000,-1000000.000000,-1000000.000000
28,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
29,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
30,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
31,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
32,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
33,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
34,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
35,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
36,false,false,-752684.812500,-1000000.000000,-1000000.000000,-1000000.000000
37,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
38,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
39,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
40,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
41,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
42,false,false,-752686.062500,-1000000.000000,-1000000.000000,-1000000.000000
43,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
44,false,false,-500174.740166,-1000000.000000,-1000000.000000,-1000000.000000
45,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
46,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
47,true,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
48,false,false,-750065.240620,-1000000.000000,-1000000.000000,-1000000.000000
49,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
50,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
51,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
52,false,false,-750065.240620,-1000000.000000,-1000000.000000,-1000000.000000
53,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
54,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
55,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
56,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
57,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
58,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
59,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
60,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
61,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
62,false,false,-500174.536797,-1000000.000000,-1000000.000000,-1000000.000000
63,false,false,-500104.907891,-1000000.000000,-1000000.000000,-1000000.000000
64,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
