idx,op_id,op_name,dst,src1,src2
0,8,RAND_REG,1,3,1
1,9,REG_XOR,3,3,1
2,7,RESET_META_CUR_TO_BEST,0,3,3
3,6,ACCEPT_META_SA,0,0,1
4,0,INIT_META_CUR,3,3,2
5,4,EVAL_META_CUR,3,2,3
6,9,REG_XOR,3,3,1
7,9,REG_XOR,1,1,1
8,8,RAND_REG,0,2,1
9,6,ACCEPT_META_SA,2,3,0
10,0,INIT_META_CUR,3,0,0
11,12,CALL_META,2,1,3
12,11,TEMP_DECAY,3,2,2
