opaque_id	phase	seed_hex	input_ops	candidate_ops	strong_fixed_ops	fixed_simplification_ops	equality_saturation_ops	brute_force_ops	random_ops	replay_ops	no_memory_ops	no_probe_ops	candidate_delta_strong_fixed	candidate_globally_minimal	candidate_enodes	candidate_ematches	candidate_prepass_attempts	strong_fixed_enodes	random_enodes	no_probe_enodes	candidate_replay_equal	reuse_calls	candidate_reuse_ops	strong_fixed_reuse_ops	candidate_expr	strong_fixed_expr
artifact_000	HELDOUT	0xf30c6dace261dfa0	10	2	2	6	2	2	2	10	2	2	0	true	5	232	170	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_001	HELDOUT	0x7b974c3c2558646a	12	0	2	10	2	0	6	12	2	0	2	true	1	19	149	10000	5000	5000	true	42	0	84	x	(add (sub x z) z)
artifact_002	HELDOUT	0x1852597a842ebc76	10	2	2	6	2	2	2	10	2	2	0	true	7	300	150	10000	5000	5000	true	42	84	84	(add (mul x y) z)	(add (mul x y) z)
artifact_003	HELDOUT	0x2c6f31d10a54a11e	6	2	2	3	2	2	2	6	2	2	0	true	11	416	136	10000	118	14	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_004	HELDOUT	0xb2cc1b828b0efc45	8	2	2	5	2	2	2	8	2	2	0	true	11	416	202	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_005	HELDOUT	0x5ca7154135d531e1	13	2	2	13	2	2	3	13	2	2	0	true	6	268	156	10000	5000	5000	true	42	84	84	(sub (mul x y) z)	(sub (mul x y) z)
artifact_006	HELDOUT	0xeb9b9e39d506a55f	12	2	2	8	2	2	2	12	2	2	0	true	7	300	146	10000	5000	5000	true	42	84	84	(add (mul x y) z)	(add (mul x y) z)
artifact_007	HELDOUT	0x27eb7a37ee032045	6	2	2	3	2	2	2	6	2	2	0	true	5	232	153	10000	5000	5	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_008	HELDOUT	0xece81957a0a762e5	10	2	2	10	2	2	2	10	2	2	0	true	11	416	186	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul x (sub y z))
artifact_009	HELDOUT	0x5c92b316fb1aa15e	9	2	2	5	2	2	2	9	2	2	0	true	5	232	151	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_010	HELDOUT	0x43bebe4f7bb0af9c	16	2	5	13	5	2	5	16	5	7	3	true	13	510	261	10000	5000	5000	true	42	84	210	(mul (add x z) y)	(add (mul (add (sub y z) z) x) (mul y z))
artifact_011	HELDOUT	0x8ab4c13af2600072	12	2	2	7	2	2	2	12	2	2	0	true	7	300	254	10000	5000	5000	true	42	84	84	(add (mul x y) z)	(add (mul x y) z)
artifact_012	HELDOUT	0xe90d0d5a85afdf93	11	2	5	8	5	2	5	11	5	2	3	true	13	510	184	10000	5000	5000	true	42	84	210	(mul (add y z) x)	(mul (add (sub x (sub z 0)) z) (add y z))
artifact_013	HELDOUT	0xe682a88fe83f32ff	10	2	5	7	5	2	3	10	5	2	3	true	7	300	155	10000	5000	5000	true	42	84	210	(add (mul x y) z)	(add (mul (add (sub 1 y) y) (mul x y)) z)
artifact_014	HELDOUT	0xf87628c426b3711e	11	2	3	10	3	2	3	11	3	2	1	true	13	510	147	10000	5000	5000	true	42	84	126	(mul (add y z) x)	(add (mul (add y z) x) 0)
artifact_015	HELDOUT	0xea34900cedf2f40f	14	2	2	13	2	2	2	14	2	2	0	true	5	232	153	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_016	HELDOUT	0x0fe8a483c6564647	10	0	0	8	0	0	4	10	0	4	0	true	1	19	149	10000	5000	5000	true	42	0	0	x	x
artifact_017	HELDOUT	0xed977ffcf56066ea	8	2	3	7	3	2	3	8	3	2	1	true	13	510	143	10000	5000	5000	true	42	84	126	(mul (add y z) x)	(add (mul (add y z) x) 0)
artifact_018	HELDOUT	0x5d944f31070a48f6	7	2	2	5	2	2	2	7	2	2	0	true	11	416	158	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_019	HELDOUT	0x2639ba0f39250600	13	2	4	11	4	2	4	13	4	6	2	true	13	510	154	10000	5000	5000	true	42	84	168	(mul (add x y) z)	(mul (add (add (sub x z) y) z) z)
