opaque_id	phase	seed_hex	input_ops	candidate_ops	strong_fixed_ops	fixed_simplification_ops	equality_saturation_ops	brute_force_ops	random_ops	replay_ops	no_memory_ops	no_probe_ops	candidate_delta_strong_fixed	candidate_globally_minimal	candidate_enodes	candidate_ematches	candidate_prepass_attempts	strong_fixed_enodes	random_enodes	no_probe_enodes	candidate_replay_equal	reuse_calls	candidate_reuse_ops	strong_fixed_reuse_ops	candidate_expr	strong_fixed_expr
artifact_000	HELDOUT	0xab04d00aa26499fb	8	0	0	5	0	0	0	8	0	0	0	true	1	19	162	10000	5000	5000	true	42	0	0	x	x
artifact_001	HELDOUT	0xec8734451b4556ee	9	2	2	6	2	2	2	9	2	2	0	true	13	510	331	10000	5000	14	true	42	84	84	(mul (add x z) y)	(mul (add x z) y)
artifact_002	HELDOUT	0xc417cfe0d2f8413e	12	2	2	5	2	2	2	12	2	2	0	true	5	232	153	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_003	HELDOUT	0x8458c465ae2e295f	14	2	2	10	2	2	2	14	2	2	0	true	13	510	144	10000	5000	5000	true	42	84	84	(mul (add y z) x)	(mul (add y z) x)
artifact_004	HELDOUT	0x8c923a015a70c3a7	12	2	2	7	2	2	3	12	2	2	0	true	5	232	169	10000	5000	5000	true	42	84	84	(add (mul x x) y)	(add (mul x x) y)
artifact_005	HELDOUT	0xf56c96aabeff7fe7	12	2	2	5	2	2	2	12	2	2	0	true	13	510	187	10000	5000	5000	true	42	84	84	(mul (add y z) x)	(mul (add y z) x)
artifact_006	HELDOUT	0x36ea301eafcf33cd	11	2	2	9	2	2	2	11	2	2	0	true	11	416	145	10000	5000	5000	true	42	84	84	(mul (sub y z) x)	(mul (sub y z) x)
artifact_007	HELDOUT	0x576bae415289eb70	8	0	0	4	0	0	0	8	0	0	0	true	1	19	150	10000	5000	5000	true	42	0	0	x	x
artifact_008	HELDOUT	0x7b7309fce90a89c1	8	0	0	5	0	0	0	8	0	0	0	true	1	19	239	10000	5000	5000	true	42	0	0	x	x
artifact_009	HELDOUT	0xfae9303a85c920cd	14	2	4	11	4	2	4	14	4	4	2	true	13	510	170	10000	5000	5000	true	42	84	168	(mul (add x y) z)	(add (mul (add 0 z) (add x y)) 0)
artifact_010	HELDOUT	0xdca4992b77df34c3	14	2	2	12	2	2	9	14	2	2	0	true	7	300	141	10000	5000	5000	true	42	84	84	(add (mul x y) z)	(add (mul x y) z)
artifact_011	HELDOUT	0xe6f628c174070636	15	2	3	13	3	2	3	15	3	3	1	true	13	510	227	10000	5000	5000	true	42	84	126	(mul (add x z) y)	(add (mul x y) (mul y z))
artifact_012	HELDOUT	0xf2987073f3907c90	12	2	4	12	4	2	4	12	4	4	2	true	11	416	146	10000	5000	5000	true	42	84	168	(mul (sub y z) x)	(mul (add (sub x y) y) (sub y z))
artifact_013	HELDOUT	0x268f6bbb65e94738	9	2	2	8	2	2	2	9	2	2	0	true	13	510	217	10000	5000	5000	true	42	84	84	(mul (add x z) y)	(mul (add x z) y)
artifact_014	HELDOUT	0xb9ab6eda98a65da2	15	2	4	14	4	2	4	15	4	2	2	true	11	416	155	10000	5000	5000	true	42	84	168	(mul (sub y z) x)	(mul (sub (add (sub x x) y) z) x)
