idx,op_id,op_name,dst,src1,src2
350,2,NOT,62,14,187
351,0,XOR,79,19,64
352,0,XOR,15,132,13
353,2,NOT,58,5,55
354,2,NOT,58,5,55
355,0,XOR,33,217,139
356,2,NOT,159,88,104
357,2,NOT,34,33,173
358,0,XOR,49,16,160
359,2,NOT,51,110,174
360,1,AND,44,126,7
361,1,AND,183,106,61
362,1,AND,9,66,61
363,2,NOT,17,11,233
364,1,AND,30,71,9
365,1,AND,9,66,61
366,0,XOR,40,184,150
367,0,XOR,60,223,61
368,0,XOR,115,178,78
369,0,XOR,19,52,189
370,0,XOR,50,54,123
371,2,NOT,56,4,158
372,2,NOT,119,68,165
373,2,NOT,27,51,169
374,2,NOT,254,156,39
375,0,XOR,48,169,46
376,0,XOR,83,55,104
377,2,NOT,164,189,187
378,0,XOR,29,205,22
379,2,NOT,1,28,111
380,0,XOR,31,237,9
381,0,XOR,31,237,9
